step,energy,drift,timestamp
0,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:27.897561Z
1,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:27.909106Z
2,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:27.920547Z
3,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:27.931641Z
4,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:27.942402Z
5,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:27.952988Z
6,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:27.963800Z
7,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:27.974442Z
8,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:27.984970Z
9,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:27.995273Z
10,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.005484Z
11,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.015695Z
12,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.025813Z
13,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.035979Z
14,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.047062Z
15,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.057235Z
16,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.067603Z
17,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.077733Z
18,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.087588Z
19,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.097442Z
20,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.107360Z
21,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.117268Z
22,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.127628Z
23,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.138018Z
24,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.148666Z
25,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.159221Z
26,1.5630467058e+00,1.278530e-15,2025-10-27T22:41:28.168928Z
27,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.178598Z
28,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.188102Z
29,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.197667Z
30,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.207616Z
31,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.217517Z
32,1.5630467058e+00,-7.102942e-16,2025-10-27T22:41:28.227293Z
33,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.237269Z
34,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.246831Z
35,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.256429Z
36,1.5630467058e+00,-1.562647e-15,2025-10-27T22:41:28.266059Z
37,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.277842Z
38,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.288783Z
39,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.299570Z
40,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.310187Z
41,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.320416Z
42,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.330434Z
43,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.340661Z
44,1.5630467058e+00,1.136471e-15,2025-10-27T22:41:28.350728Z
45,1.5630467058e+00,1.278530e-15,2025-10-27T22:41:28.360667Z
46,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.371139Z
47,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.381375Z
48,1.5630467058e+00,1.420588e-15,2025-10-27T22:41:28.391488Z
49,1.5630467058e+00,-7.102942e-16,2025-10-27T22:41:28.401187Z
50,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.410871Z
51,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.420497Z
52,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.430149Z
53,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.439739Z
54,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:28.449628Z
55,1.5630467058e+00,1.704706e-15,2025-10-27T22:41:28.459566Z
56,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:28.469291Z
57,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.478897Z
58,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.488417Z
59,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.497936Z
60,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.507464Z
61,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.517159Z
62,1.5630467058e+00,1.136471e-15,2025-10-27T22:41:28.527256Z
63,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:28.536993Z
64,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.546957Z
65,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.556575Z
66,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.566188Z
67,1.5630467058e+00,-1.562647e-15,2025-10-27T22:41:28.575812Z
68,1.5630467058e+00,-1.136471e-15,2025-10-27T22:41:28.585325Z
69,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.596012Z
70,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.606392Z
71,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.616670Z
72,1.5630467058e+00,-1.988824e-15,2025-10-27T22:41:28.627193Z
73,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.636817Z
74,1.5630467058e+00,1.704706e-15,2025-10-27T22:41:28.646465Z
75,1.5630467058e+00,1.136471e-15,2025-10-27T22:41:28.656062Z
76,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.665556Z
77,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.675136Z
78,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.684996Z
79,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.694870Z
80,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.704639Z
81,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.714157Z
82,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:28.723894Z
83,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.733512Z
84,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.743085Z
85,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.752698Z
86,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.762515Z
87,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.775884Z
88,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.787738Z
89,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.798081Z
90,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.808669Z
91,1.5630467058e+00,-5.682354e-16,2025-10-27T22:41:28.819059Z
92,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:28.829136Z
93,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.840048Z
94,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:28.850517Z
95,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.860850Z
96,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:28.871142Z
97,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.880983Z
98,1.5630467058e+00,4.261765e-16,2025-10-27T22:41:28.890838Z
99,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.900674Z
100,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:28.910446Z
101,1.5630467058e+00,-8.523531e-16,2025-10-27T22:41:28.920246Z
102,1.5630467058e+00,1.136471e-15,2025-10-27T22:41:28.930219Z
103,1.5630467058e+00,-7.102942e-16,2025-10-27T22:41:28.940170Z
104,1.5630467058e+00,1.704706e-15,2025-10-27T22:41:28.950354Z
105,1.5630467058e+00,7.102942e-16,2025-10-27T22:41:28.959942Z
106,1.5630467058e+00,5.682354e-16,2025-10-27T22:41:28.976854Z
107,1.5630467058e+00,-2.841177e-16,2025-10-27T22:41:28.987124Z
108,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:28.997287Z
109,1.5630467058e+00,8.523531e-16,2025-10-27T22:41:29.007415Z
110,1.5630467058e+00,-1.420588e-16,2025-10-27T22:41:29.017776Z
111,1.5630467058e+00,1.420588e-16,2025-10-27T22:41:29.028351Z
112,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:29.039241Z
113,1.5630467058e+00,0.000000e+00,2025-10-27T22:41:29.049829Z
