step,energy,drift,timestamp
0,2.8772606111e+00,0.000000e+00,2025-10-28T22:30:24.298471Z
1,4.3067858696e+00,4.968355e-01,2025-10-28T22:30:24.329151Z
2,5.9578204588e+00,1.070657e+00,2025-10-28T22:30:24.361331Z
3,7.3321707586e+00,1.548317e+00,2025-10-28T22:30:24.391744Z
4,8.0369110026e+00,1.793251e+00,2025-10-28T22:30:24.423656Z
5,7.9047054257e+00,1.747303e+00,2025-10-28T22:30:24.453267Z
6,7.0353186116e+00,1.445145e+00,2025-10-28T22:30:24.481677Z
7,5.7478083125e+00,9.976669e-01,2025-10-28T22:30:24.510115Z
8,4.4639721152e+00,5.514660e-01,2025-10-28T22:30:24.539230Z
9,3.5661499497e+00,2.394254e-01,2025-10-28T22:30:24.569525Z
10,3.2787994014e+00,1.395559e-01,2025-10-28T22:30:24.599459Z
11,3.6119016063e+00,2.553265e-01,2025-10-28T22:30:24.627028Z
12,4.3802518077e+00,5.223688e-01,2025-10-28T22:30:24.654970Z
13,5.2853979564e+00,8.369549e-01,2025-10-28T22:30:24.683918Z
14,6.0264172101e+00,1.094498e+00,2025-10-28T22:30:24.712989Z
15,6.3987759822e+00,1.223913e+00,2025-10-28T22:30:24.740920Z
16,6.3486514715e+00,1.206492e+00,2025-10-28T22:30:24.769803Z
17,5.9691071667e+00,1.074580e+00,2025-10-28T22:30:24.797923Z
18,5.4465395090e+00,8.929601e-01,2025-10-28T22:30:24.825965Z
19,4.9825206913e+00,7.316890e-01,2025-10-28T22:30:24.856269Z
20,4.7219375953e+00,6.411227e-01,2025-10-28T22:30:24.887553Z
21,4.7121585955e+00,6.377239e-01,2025-10-28T22:30:24.915281Z
22,4.9034243262e+00,7.041989e-01,2025-10-28T22:30:24.944001Z
23,5.1841352134e+00,8.017607e-01,2025-10-28T22:30:24.971634Z
24,5.4326661216e+00,8.881384e-01,2025-10-28T22:30:24.999118Z
25,5.5638252443e+00,9.337231e-01,2025-10-28T22:30:25.026448Z
26,5.5533872829e+00,9.300953e-01,2025-10-28T22:30:25.053751Z
27,5.4350887531e+00,8.889803e-01,2025-10-28T22:30:25.082370Z
28,5.2760451763e+00,8.337043e-01,2025-10-28T22:30:25.109801Z
29,5.1440646159e+00,7.878341e-01,2025-10-28T22:30:25.138428Z
30,5.0813204828e+00,7.660272e-01,2025-10-28T22:30:25.168990Z
31,5.0938013565e+00,7.703650e-01,2025-10-28T22:30:25.201400Z
32,5.1577952809e+00,7.926062e-01,2025-10-28T22:30:25.228974Z
33,5.2372468653e+00,8.202198e-01,2025-10-28T22:30:25.256042Z
34,5.3022116105e+00,8.427985e-01,2025-10-28T22:30:25.285585Z
35,5.3398753064e+00,8.558886e-01,2025-10-28T22:30:25.314482Z
36,5.3545105389e+00,8.609752e-01,2025-10-28T22:30:25.342102Z
37,5.3586223887e+00,8.624042e-01,2025-10-28T22:30:25.371016Z
38,5.3615592629e+00,8.634250e-01,2025-10-28T22:30:25.401556Z
39,5.3623402180e+00,8.636964e-01,2025-10-28T22:30:25.431570Z
40,5.3504935135e+00,8.595790e-01,2025-10-28T22:30:25.459753Z
41,5.3140378435e+00,8.469088e-01,2025-10-28T22:30:25.488868Z
42,5.2497844730e+00,8.245773e-01,2025-10-28T22:30:25.520020Z
43,5.1698292287e+00,7.967887e-01,2025-10-28T22:30:25.547744Z
44,5.1000054860e+00,7.725212e-01,2025-10-28T22:30:25.576197Z
45,5.0701779910e+00,7.621546e-01,2025-10-28T22:30:25.604488Z
46,5.1005267221e+00,7.727024e-01,2025-10-28T22:30:25.633491Z
47,5.1903075190e+00,8.039059e-01,2025-10-28T22:30:25.661626Z
48,5.3148264177e+00,8.471828e-01,2025-10-28T22:30:25.692460Z
49,5.4328334416e+00,8.881965e-01,2025-10-28T22:30:25.724594Z
50,5.5018361518e+00,9.121786e-01,2025-10-28T22:30:25.757888Z
51,5.4951091566e+00,9.098406e-01,2025-10-28T22:30:25.788837Z
52,5.4131478051e+00,8.813547e-01,2025-10-28T22:30:25.817979Z
53,5.2844826136e+00,8.366368e-01,2025-10-28T22:30:25.848599Z
54,5.1552058139e+00,7.917062e-01,2025-10-28T22:30:25.878524Z
55,5.0713301411e+00,7.625550e-01,2025-10-28T22:30:25.908337Z
56,5.0611326620e+00,7.590109e-01,2025-10-28T22:30:25.940028Z
57,5.1246364005e+00,7.810818e-01,2025-10-28T22:30:25.967722Z
58,5.2343794619e+00,8.192233e-01,2025-10-28T22:30:25.995852Z
59,5.3469331289e+00,8.583416e-01,2025-10-28T22:30:26.024570Z
60,5.4202658255e+00,8.838286e-01,2025-10-28T22:30:26.054637Z
61,5.4298288745e+00,8.871523e-01,2025-10-28T22:30:26.084811Z
62,5.3770218440e+00,8.687990e-01,2025-10-28T22:30:26.113961Z
63,5.2870450679e+00,8.375274e-01,2025-10-28T22:30:26.143588Z
64,5.1975688417e+00,8.064296e-01,2025-10-28T22:30:26.173203Z
65,5.1432635106e+00,7.875557e-01,2025-10-28T22:30:26.204825Z
66,5.1425912335e+00,7.873220e-01,2025-10-28T22:30:26.236419Z
67,5.1919274281e+00,8.044689e-01,2025-10-28T22:30:26.264600Z
68,5.2687739171e+00,8.311772e-01,2025-10-28T22:30:26.295268Z
69,5.3420421594e+00,8.566417e-01,2025-10-28T22:30:26.326025Z
70,5.3847194897e+00,8.714744e-01,2025-10-28T22:30:26.353938Z
71,5.3836989951e+00,8.711197e-01,2025-10-28T22:30:26.382517Z
72,5.3431989443e+00,8.570438e-01,2025-10-28T22:30:26.414259Z
73,5.2811462127e+00,8.354772e-01,2025-10-28T22:30:26.445030Z
74,5.2207997802e+00,8.145036e-01,2025-10-28T22:30:26.474007Z
75,5.1815350466e+00,8.008570e-01,2025-10-28T22:30:26.500917Z
76,5.1725362263e+00,7.977295e-01,2025-10-28T22:30:26.530655Z
77,5.1914267103e+00,8.042949e-01,2025-10-28T22:30:26.560081Z
78,5.2275210790e+00,8.168396e-01,2025-10-28T22:30:26.591727Z
79,5.2675016465e+00,8.307350e-01,2025-10-28T22:30:26.621272Z
80,5.3006771570e+00,8.422652e-01,2025-10-28T22:30:26.650172Z
81,5.3217019098e+00,8.495724e-01,2025-10-28T22:30:26.677743Z
82,5.3302118415e+00,8.525301e-01,2025-10-28T22:30:26.704818Z
83,5.3284171386e+00,8.519063e-01,2025-10-28T22:30:26.733867Z
84,5.3185127277e+00,8.484640e-01,2025-10-28T22:30:26.762435Z
85,5.3015071935e+00,8.425537e-01,2025-10-28T22:30:26.789393Z
86,5.2779720502e+00,8.343740e-01,2025-10-28T22:30:26.817604Z
87,5.2499284882e+00,8.246274e-01,2025-10-28T22:30:26.847287Z
88,5.2223275556e+00,8.150346e-01,2025-10-28T22:30:26.874676Z
89,5.2027490343e+00,8.082300e-01,2025-10-28T22:30:26.902376Z
90,5.1989498187e+00,8.069096e-01,2025-10-28T22:30:26.931920Z
91,5.2151960700e+00,8.125560e-01,2025-10-28T22:30:26.960251Z
92,5.2492101394e+00,8.243777e-01,2025-10-28T22:30:26.987721Z
93,5.2915414083e+00,8.390901e-01,2025-10-28T22:30:27.020332Z
94,5.3281744258e+00,8.518220e-01,2025-10-28T22:30:27.050012Z
95,5.3456587437e+00,8.578987e-01,2025-10-28T22:30:27.078768Z
96,5.3367149252e+00,8.547902e-01,2025-10-28T22:30:27.107680Z
97,5.3038131331e+00,8.433551e-01,2025-10-28T22:30:27.137052Z
98,5.2589177320e+00,8.277516e-01,2025-10-28T22:30:27.165225Z
99,5.2191866077e+00,8.139430e-01,2025-10-28T22:30:27.195915Z
