step,energy,drift
1,4.4092180991e-01,0.000000e+00
2,4.4092180991e-01,3.776938e-16
3,4.4092180991e-01,0.000000e+00
4,4.4092180991e-01,1.258979e-16
5,4.4092180991e-01,0.000000e+00
6,4.4092180991e-01,0.000000e+00
7,4.4092180991e-01,-2.517959e-16
8,4.4092180991e-01,-8.812856e-16
9,4.4092180991e-01,1.258979e-16
10,4.4092180991e-01,3.776938e-16
11,4.4092180991e-01,0.000000e+00
12,4.4092180991e-01,1.258979e-16
13,4.4092180991e-01,-2.517959e-16
14,4.4092180991e-01,-2.517959e-16
15,4.4092180991e-01,7.553877e-16
16,4.4092180991e-01,-1.007184e-15
17,4.4092180991e-01,-2.517959e-16
18,4.4092180991e-01,-3.776938e-16
19,4.4092180991e-01,-8.812856e-16
20,4.4092180991e-01,-3.776938e-16
21,4.4092180991e-01,-3.776938e-16
22,4.4092180991e-01,-8.812856e-16
23,4.4092180991e-01,-1.384877e-15
24,4.4092180991e-01,-8.812856e-16
25,4.4092180991e-01,-1.007184e-15
26,4.4092180991e-01,0.000000e+00
27,4.4092180991e-01,-3.776938e-16
28,4.4092180991e-01,-1.888469e-15
29,4.4092180991e-01,-3.776938e-16
30,4.4092180991e-01,-3.776938e-16
31,4.4092180991e-01,1.762571e-15
32,4.4092180991e-01,2.392061e-15
33,4.4092180991e-01,2.140265e-15
34,4.4092180991e-01,2.392061e-15
35,4.4092180991e-01,-2.895653e-15
36,4.4092180991e-01,2.014367e-15
37,4.4092180991e-01,2.769755e-15
38,4.4092180991e-01,6.294897e-16
39,4.4092180991e-01,-6.294897e-16
40,4.4092180991e-01,-2.266163e-15
41,4.4092180991e-01,1.636673e-15
42,4.4092180991e-01,-2.014367e-15
43,4.4092180991e-01,1.384877e-15
44,4.4092180991e-01,1.636673e-15
45,4.4092180991e-01,7.553877e-16
46,4.4092180991e-01,-3.776938e-16
47,4.4092180991e-01,2.769755e-15
48,4.4092180991e-01,1.762571e-15
49,4.4092180991e-01,-6.294897e-16
50,4.4092180991e-01,0.000000e+00
51,4.4092180991e-01,-1.636673e-15
52,4.4092180991e-01,0.000000e+00
53,4.4092180991e-01,-8.812856e-16
54,4.4092180991e-01,-3.776938e-16
55,4.4092180991e-01,2.392061e-15
56,4.4092180991e-01,-4.028734e-15
57,4.4092180991e-01,-4.028734e-15
58,4.4092180991e-01,-2.266163e-15
59,4.4092180991e-01,-3.776938e-16
60,4.4092180991e-01,-1.888469e-15
61,4.4092180991e-01,-2.392061e-15
62,4.4092180991e-01,1.133082e-15
63,4.4092180991e-01,4.154632e-15
64,4.4092180991e-01,6.294897e-16
65,4.4092180991e-01,-1.007184e-15
66,4.4092180991e-01,3.776938e-16
67,4.4092180991e-01,1.636673e-15
68,4.4092180991e-01,-2.895653e-15
69,4.4092180991e-01,4.154632e-15
70,4.4092180991e-01,6.294897e-16
71,4.4092180991e-01,1.762571e-15
72,4.4092180991e-01,5.161816e-15
73,4.4092180991e-01,3.399245e-15
74,4.4092180991e-01,1.636673e-15
75,4.4092180991e-01,-2.895653e-15
76,4.4092180991e-01,-2.014367e-15
77,4.4092180991e-01,4.406428e-15
78,4.4092180991e-01,3.776938e-15
79,4.4092180991e-01,3.147449e-15
80,4.4092180991e-01,3.651041e-15
81,4.4092180991e-01,-1.384877e-15
82,4.4092180991e-01,3.399245e-15
83,4.4092180991e-01,-3.273347e-15
84,4.4092180991e-01,-1.888469e-15
85,4.4092180991e-01,-7.427979e-15
86,4.4092180991e-01,-2.643857e-15
87,4.4092180991e-01,8.057469e-15
88,4.4092180991e-01,-5.665408e-15
89,4.4092180991e-01,3.399245e-15
90,4.4092180991e-01,4.154632e-15
91,4.4092180991e-01,-3.399245e-15
92,4.4092180991e-01,0.000000e+00
93,4.4092180991e-01,2.014367e-15
94,4.4092180991e-01,1.762571e-15
95,4.4092180991e-01,9.442346e-15
96,4.4092180991e-01,2.140265e-15
97,4.4092180991e-01,3.147449e-15
98,4.4092180991e-01,7.553877e-16
99,4.4092180991e-01,-1.007184e-15
100,4.4092180991e-01,1.384877e-15
101,4.4092180991e-01,3.399245e-15
102,4.4092180991e-01,3.776938e-16
103,4.4092180991e-01,-1.007184e-15
104,4.4092180991e-01,2.392061e-15
105,4.4092180991e-01,-1.384877e-15
106,4.4092180991e-01,1.636673e-15
107,4.4092180991e-01,1.636673e-15
108,4.4092180991e-01,-6.294897e-16
109,4.4092180991e-01,-3.776938e-16
110,4.4092180991e-01,-2.517959e-16
111,4.4092180991e-01,-1.384877e-15
112,4.4092180991e-01,-4.406428e-15
113,4.4092180991e-01,7.553877e-16
114,4.4092180991e-01,-3.021551e-15
115,4.4092180991e-01,2.392061e-15
116,4.4092180991e-01,6.294897e-16
117,4.4092180991e-01,-2.392061e-15
118,4.4092180991e-01,-6.294897e-16
119,4.4092180991e-01,3.651041e-15
120,4.4092180991e-01,-3.651041e-15
121,4.4092180991e-01,1.258979e-16
122,4.4092180991e-01,2.769755e-15
123,4.4092180991e-01,7.553877e-16
124,4.4092180991e-01,3.776938e-16
125,4.4092180991e-01,-8.812856e-16
126,4.4092180991e-01,-3.021551e-15
127,4.4092180991e-01,3.776938e-16
128,4.4092180991e-01,-2.266163e-15
129,4.4092180991e-01,1.258979e-16
130,4.4092180991e-01,-3.776938e-16
131,4.4092180991e-01,6.294897e-16
132,4.4092180991e-01,2.140265e-15
133,4.4092180991e-01,1.007184e-15
134,4.4092180991e-01,-1.007184e-15
135,4.4092180991e-01,-3.776938e-16
136,4.4092180991e-01,1.007184e-15
137,4.4092180991e-01,2.769755e-15
138,4.4092180991e-01,-1.888469e-15
139,4.4092180991e-01,0.000000e+00
140,4.4092180991e-01,-3.776938e-16
141,4.4092180991e-01,-3.776938e-16
142,4.4092180991e-01,3.021551e-15
143,4.4092180991e-01,3.776938e-16
144,4.4092180991e-01,-6.294897e-16
145,4.4092180991e-01,6.294897e-16
146,4.4092180991e-01,-8.812856e-16
147,4.4092180991e-01,1.636673e-15
148,4.4092180991e-01,-8.812856e-16
149,4.4092180991e-01,1.258979e-16
150,4.4092180991e-01,-8.812856e-16
151,4.4092180991e-01,-2.517959e-16
152,4.4092180991e-01,-1.384877e-15
153,4.4092180991e-01,-1.384877e-15
154,4.4092180991e-01,2.769755e-15
155,4.4092180991e-01,-1.258979e-15
156,4.4092180991e-01,-3.021551e-15
157,4.4092180991e-01,2.014367e-15
158,4.4092180991e-01,0.000000e+00
159,4.4092180991e-01,-8.812856e-16
160,4.4092180991e-01,4.154632e-15
161,4.4092180991e-01,-1.384877e-15
162,4.4092180991e-01,-3.776938e-16
163,4.4092180991e-01,-3.776938e-16
164,4.4092180991e-01,7.553877e-16
165,4.4092180991e-01,1.762571e-15
166,4.4092180991e-01,-1.384877e-15
167,4.4092180991e-01,-1.384877e-15
168,4.4092180991e-01,0.000000e+00
169,4.4092180991e-01,-6.294897e-16
170,4.4092180991e-01,-2.517959e-16
171,4.4092180991e-01,1.007184e-15
172,4.4092180991e-01,-3.273347e-15
173,4.4092180991e-01,1.007184e-15
174,4.4092180991e-01,-1.384877e-15
175,4.4092180991e-01,1.007184e-15
176,4.4092180991e-01,1.636673e-15
177,4.4092180991e-01,6.294897e-16
178,4.4092180991e-01,-2.517959e-16
179,4.4092180991e-01,1.636673e-15
180,4.4092180991e-01,-6.294897e-16
181,4.4092180991e-01,-6.294897e-16
182,4.4092180991e-01,-1.636673e-15
183,4.4092180991e-01,3.399245e-15
184,4.4092180991e-01,-1.258979e-15
185,4.4092180991e-01,0.000000e+00
186,4.4092180991e-01,0.000000e+00
187,4.4092180991e-01,3.776938e-16
188,4.4092180991e-01,-8.812856e-16
189,4.4092180991e-01,-2.517959e-16
190,4.4092180991e-01,3.776938e-15
191,4.4092180991e-01,-1.384877e-15
192,4.4092180991e-01,6.294897e-16
193,4.4092180991e-01,-1.258979e-15
194,4.4092180991e-01,-2.266163e-15
195,4.4092180991e-01,6.294897e-16
196,4.4092180991e-01,-2.643857e-15
197,4.4092180991e-01,-2.014367e-15
198,4.4092180991e-01,6.294897e-16
199,4.4092180991e-01,-1.007184e-15
200,4.4092180991e-01,-1.888469e-15
