step,drift_serial,drift_parallel
1,-1.4205884194178612e-16,0.0
2,0.0,-1.4205884194178612e-16
3,-1.4205884194178612e-16,0.0
4,0.0,-1.4205884194178612e-16
5,-1.4205884194178612e-16,0.0
6,-1.4205884194178612e-16,-1.4205884194178612e-16
7,-4.261765258253584e-16,-1.4205884194178612e-16
8,5.682353677671445e-16,-4.261765258253584e-16
9,-1.4205884194178612e-16,5.682353677671445e-16
10,0.0,-1.4205884194178612e-16
11,-2.8411768388357224e-16,0.0
12,-1.4205884194178612e-16,-2.8411768388357224e-16
13,-2.8411768388357224e-16,-1.4205884194178612e-16
14,2.8411768388357224e-16,-2.8411768388357224e-16
15,-2.8411768388357224e-16,2.8411768388357224e-16
16,-1.4205884194178612e-16,-2.8411768388357224e-16
17,0.0,-1.4205884194178612e-16
18,-2.8411768388357224e-16,0.0
19,5.682353677671445e-16,-2.8411768388357224e-16
20,0.0,5.682353677671445e-16
21,-2.8411768388357224e-16,0.0
22,-4.261765258253584e-16,-2.8411768388357224e-16
23,-4.261765258253584e-16,-4.261765258253584e-16
24,0.0,-4.261765258253584e-16
25,4.261765258253584e-16,0.0
26,2.8411768388357224e-16,4.261765258253584e-16
27,1.136470735534289e-15,2.8411768388357224e-16
28,4.261765258253584e-16,1.136470735534289e-15
29,2.8411768388357224e-16,4.261765258253584e-16
30,-7.102942097089306e-16,2.8411768388357224e-16
31,2.8411768388357224e-16,-7.102942097089306e-16
32,0.0,2.8411768388357224e-16
33,-8.523530516507168e-16,0.0
34,4.261765258253584e-16,-8.523530516507168e-16
35,-1.4205884194178612e-16,4.261765258253584e-16
36,5.682353677671445e-16,-1.4205884194178612e-16
37,-1.7047061033014335e-15,5.682353677671445e-16
38,-7.102942097089306e-16,-1.7047061033014335e-15
39,-1.4205884194178612e-16,-7.102942097089306e-16
40,-1.4205884194178612e-16,-1.4205884194178612e-16
41,2.8411768388357224e-16,-1.4205884194178612e-16
42,-4.261765258253584e-16,2.8411768388357224e-16
43,0.0,-4.261765258253584e-16
44,-7.102942097089306e-16,0.0
45,9.94411893592503e-16,-7.102942097089306e-16
46,1.136470735534289e-15,9.94411893592503e-16
47,5.682353677671445e-16,1.136470735534289e-15
48,0.0,5.682353677671445e-16
49,1.2785295774760752e-15,0.0
50,-8.523530516507168e-16,1.2785295774760752e-15
