step,x,y,z,r
0,64.000000,96.000000,64.000000,32.000000
1,64.093000,96.000000,64.000000,32.000135
2,64.186000,95.999999,64.000000,32.000539
3,64.279000,95.999997,64.000000,32.001213
4,64.372000,95.999995,64.000000,32.002157
5,64.465000,95.999993,64.000000,32.003371
6,64.558000,95.999990,64.000000,32.004854
7,64.651000,95.999986,64.000000,32.006608
8,64.744000,95.999982,64.000000,32.008630
9,64.837000,95.999978,64.000000,32.010923
10,64.930000,95.999973,64.000000,32.013484
11,65.023000,95.999968,64.000000,32.016316
12,65.116000,95.999962,64.000000,32.019416
13,65.208999,95.999956,64.000000,32.022786
14,65.301999,95.999949,64.000000,32.026425
15,65.394999,95.999941,64.000000,32.030334
16,65.487999,95.999934,64.000000,32.034511
17,65.580999,95.999925,64.000000,32.038957
18,65.673999,95.999917,64.000000,32.043672
19,65.766998,95.999907,64.000000,32.048656
20,65.859998,95.999898,64.000000,32.053908
21,65.952998,95.999887,64.000000,32.059429
22,66.045997,95.999877,64.000000,32.065218
23,66.138997,95.999866,64.000000,32.071275
24,66.231997,95.999854,64.000000,32.077601
25,66.324996,95.999842,64.000000,32.084194
26,66.417996,95.999829,64.000000,32.091054
27,66.510995,95.999816,64.000000,32.098182
28,66.603995,95.999802,64.000000,32.105578
29,66.696994,95.999788,64.000000,32.113241
30,66.789994,95.999774,64.000000,32.121170
31,66.882993,95.999759,64.000000,32.129367
32,66.975992,95.999743,64.000000,32.137829
33,67.068992,95.999727,64.000000,32.146559
34,67.161991,95.999710,64.000000,32.155554
35,67.254990,95.999693,64.000000,32.164815
36,67.347989,95.999676,64.000000,32.174342
37,67.440988,95.999658,64.000000,32.184134
38,67.533987,95.999640,64.000000,32.194192
39,67.626986,95.999621,64.000000,32.204514
40,67.719985,95.999601,64.000000,32.215102
41,67.812984,95.999581,64.000000,32.225953
42,67.905983,95.999561,64.000000,32.237069
43,67.998981,95.999540,64.000000,32.248448
44,68.091980,95.999519,64.000000,32.260092
45,68.184979,95.999497,64.000000,32.271998
46,68.277977,95.999475,64.000000,32.284168
47,68.370976,95.999452,64.000000,32.296600
48,68.463974,95.999429,64.000000,32.309295
49,68.556972,95.999405,64.000000,32.322252
50,68.649971,95.999381,64.000000,32.335470
51,68.742969,95.999357,64.000000,32.348950
52,68.835967,95.999332,64.000000,32.362691
53,68.928965,95.999306,64.000000,32.376693
54,69.021963,95.999280,64.000000,32.390956
55,69.114961,95.999253,64.000000,32.405479
56,69.207959,95.999226,64.000000,32.420261
57,69.300957,95.999199,64.000000,32.435303
58,69.393954,95.999171,64.000000,32.450604
59,69.486952,95.999143,64.000000,32.466164
60,69.579950,95.999114,64.000000,32.481982
61,69.672947,95.999085,64.000000,32.498058
62,69.765945,95.999055,64.000000,32.514391
63,69.858942,95.999025,64.000000,32.530982
64,69.951939,95.998994,64.000000,32.547829
65,70.044936,95.998963,64.000000,32.564933
66,70.137933,95.998931,64.000000,32.582293
67,70.230930,95.998899,64.000000,32.599908
68,70.323927,95.998866,64.000000,32.617779
69,70.416924,95.998833,64.000000,32.635904
70,70.509920,95.998800,64.000000,32.654284
71,70.602917,95.998766,64.000000,32.672917
72,70.695914,95.998732,64.000000,32.691804
73,70.788910,95.998697,64.000000,32.710944
74,70.881906,95.998661,64.000000,32.730337
75,70.974902,95.998626,64.000000,32.749982
76,71.067899,95.998589,64.000000,32.769878
77,71.160895,95.998553,64.000000,32.790026
78,71.253890,95.998516,64.000000,32.810424
79,71.346886,95.998478,64.000000,32.831073
80,71.439882,95.998440,64.000000,32.851971
81,71.532877,95.998402,64.000000,32.873119
82,71.625873,95.998363,64.000000,32.894515
83,71.718868,95.998323,64.000000,32.916160
84,71.811864,95.998283,64.000000,32.938053
85,71.904859,95.998243,64.000000,32.960193
86,71.997854,95.998202,64.000000,32.982581
87,72.090849,95.998161,64.000000,33.005214
88,72.183844,95.998120,64.000000,33.028093
89,72.276838,95.998078,64.000000,33.051218
90,72.369833,95.998035,64.000000,33.074588
91,72.462827,95.997992,64.000000,33.098202
92,72.555822,95.997949,64.000000,33.122059
93,72.648816,95.997905,64.000000,33.146160
94,72.741810,95.997861,64.000000,33.170504
95,72.834804,95.997816,64.000000,33.195090
96,72.927798,95.997771,64.000000,33.219917
97,73.020792,95.997725,64.000000,33.244986
98,73.113785,95.997679,64.000000,33.270295
99,73.206779,95.997633,64.000000,33.295845
100,73.299772,95.997586,64.000000,33.321634
101,73.392766,95.997539,64.000000,33.347661
102,73.485759,95.997491,64.000000,33.373928
103,73.578752,95.997443,64.000000,33.400432
104,73.671745,95.997394,64.000000,33.427173
105,73.764737,95.997345,64.000000,33.454151
106,73.857730,95.997296,64.000000,33.481365
107,73.950722,95.997246,64.000000,33.508814
108,74.043715,95.997195,64.000000,33.536498
109,74.136707,95.997145,64.000000,33.564417
110,74.229699,95.997094,64.000000,33.592570
111,74.322691,95.997042,64.000000,33.620956
112,74.415683,95.996990,64.000000,33.649574
113,74.508675,95.996938,64.000000,33.678424
114,74.601666,95.996885,64.000000,33.707506
115,74.694658,95.996832,64.000000,33.736819
116,74.787649,95.996778,64.000000,33.766361
117,74.880640,95.996724,64.000000,33.796134
118,74.973631,95.996669,64.000000,33.826135
119,75.066622,95.996614,64.000000,33.856365
120,75.159613,95.996559,64.000000,33.886823
121,75.252603,95.996503,64.000000,33.917507
122,75.345594,95.996447,64.000000,33.948419
123,75.438584,95.996391,64.000000,33.979556
124,75.531574,95.996334,64.000000,34.010918
125,75.624564,95.996276,64.000000,34.042506
126,75.717554,95.996219,64.000000,34.074317
127,75.810543,95.996160,64.000000,34.106352
128,75.903533,95.996102,64.000000,34.138609
129,75.996522,95.996043,64.000000,34.171089
130,76.089512,95.995984,64.000000,34.203790
131,76.182501,95.995924,64.000000,34.236712
132,76.275490,95.995864,64.000000,34.269855
133,76.368478,95.995803,64.000000,34.303217
134,76.461467,95.995742,64.000000,34.336798
135,76.554456,95.995681,64.000000,34.370597
136,76.647444,95.995619,64.000000,34.404614
137,76.740432,95.995557,64.000000,34.438848
138,76.833420,95.995494,64.000000,34.473299
139,76.926408,95.995431,64.000000,34.507965
140,77.019396,95.995368,64.000000,34.542846
141,77.112383,95.995304,64.000000,34.577942
142,77.205371,95.995240,64.000000,34.613252
143,77.298358,95.995176,64.000000,34.648775
144,77.391345,95.995111,64.000000,34.684510
145,77.484332,95.995046,64.000000,34.720457
146,77.577318,95.994980,64.000000,34.756616
147,77.670305,95.994914,64.000000,34.792984
148,77.763291,95.994848,64.000000,34.829563
149,77.856278,95.994781,64.000000,34.866351
150,77.949264,95.994714,64.000000,34.903348
151,78.042250,95.994646,64.000000,34.940552
152,78.135236,95.994578,64.000000,34.977963
153,78.228221,95.994510,64.000000,35.015582
154,78.321207,95.994441,64.000000,35.053406
155,78.414192,95.994372,64.000000,35.091435
156,78.507177,95.994303,64.000000,35.129669
157,78.600162,95.994233,64.000000,35.168106
158,78.693147,95.994163,64.000000,35.206747
159,78.786131,95.994093,64.000000,35.245590
160,78.879116,95.994022,64.000000,35.284636
161,78.972100,95.993951,64.000000,35.323882
162,79.065084,95.993879,64.000000,35.363329
163,79.158068,95.993807,64.000000,35.402976
164,79.251052,95.993735,64.000000,35.442822
165,79.344035,95.993662,64.000000,35.482867
166,79.437019,95.993589,64.000000,35.523109
167,79.530002,95.993516,64.000000,35.563549
168,79.622985,95.993442,64.000000,35.604185
