step,drift,rate_of_change
0,0.000000000e+00,2.520096481e-06
102,2.571527022e-04,2.520096481e-06
204,5.143054043e-04,2.520096481e-06
306,7.714581065e-04,2.520096481e-06
408,1.028610809e-03,2.520096481e-06
510,1.285763511e-03,2.520096481e-06
612,1.542916213e-03,2.520096481e-06
714,1.800068915e-03,2.520096481e-06
816,2.057221617e-03,2.520096481e-06
918,2.314374319e-03,2.520096481e-06
1020,2.571527022e-03,2.520096481e-06
1122,2.828679724e-03,2.520096481e-06
1224,3.085832426e-03,2.520096481e-06
1326,3.342985128e-03,2.520096481e-06
1428,3.600137830e-03,2.520096481e-06
1530,3.857290532e-03,2.520096481e-06
1632,4.114443235e-03,2.520096481e-06
1734,4.371595937e-03,2.520096481e-06
1836,4.628748639e-03,2.520096481e-06
1938,4.885901341e-03,2.520096481e-06
2040,5.143054043e-03,2.520096481e-06
2142,5.400206745e-03,2.520096481e-06
2244,5.657359448e-03,2.520096481e-06
2346,5.914512150e-03,2.520096481e-06
2448,6.171664852e-03,2.520096481e-06
2551,6.428817554e-03,2.520096481e-06
2653,6.685970256e-03,2.520096481e-06
2755,6.943122958e-03,2.520096481e-06
2857,7.200275661e-03,2.520096481e-06
2959,7.457428363e-03,2.520096481e-06
3061,7.714581065e-03,2.520096481e-06
3163,7.971733767e-03,2.520096481e-06
3265,8.228886469e-03,2.520096481e-06
3367,8.486039171e-03,2.520096481e-06
3469,8.743191874e-03,2.520096481e-06
3571,9.000344576e-03,2.520096481e-06
3673,9.257497278e-03,2.520096481e-06
3775,9.514649980e-03,2.520096481e-06
3877,9.771802682e-03,2.520096481e-06
3979,1.002895538e-02,2.520096481e-06
4081,1.028610809e-02,2.520096481e-06
4183,1.054326079e-02,2.520096481e-06
4285,1.080041349e-02,2.520096481e-06
4387,1.105756619e-02,2.520096481e-06
4489,1.131471890e-02,2.520096481e-06
4591,1.157187160e-02,2.520096481e-06
4693,1.182902430e-02,2.520096481e-06
4795,1.208617700e-02,2.520096481e-06
4897,1.234332970e-02,2.520096481e-06
5000,1.260048241e-02,2.520096481e-06
