step,energy,drift,timestamp
0,1.2905094653e-05,0.000000e+00,2025-11-10T22:04:47.881169Z
25,8.6459943114e-03,6.689675e+02,2025-11-10T22:04:47.952314Z
50,3.2423579196e-02,2.511463e+03,2025-11-10T22:04:48.018500Z
75,6.9019237251e-02,5.347216e+03,2025-11-10T22:04:48.093559Z
100,1.1492757577e-01,8.904597e+03,2025-11-10T22:04:48.170012Z
125,1.6590341797e-01,1.285465e+04,2025-11-10T22:04:48.249418Z
150,2.1748081776e-01,1.685132e+04,2025-11-10T22:04:48.347765Z
175,2.6549818868e-01,2.057213e+04,2025-11-10T22:04:48.447910Z
200,3.0655745783e-01,2.375376e+04,2025-11-10T22:04:48.537086Z
225,3.3835764289e-01,2.621792e+04,2025-11-10T22:04:48.643145Z
250,3.5986438666e-01,2.788445e+04,2025-11-10T22:04:48.733174Z
275,3.7130289544e-01,2.877081e+04,2025-11-10T22:04:48.830395Z
300,3.7398814502e-01,2.897888e+04,2025-11-10T22:04:48.930586Z
325,3.7002883687e-01,2.867208e+04,2025-11-10T22:04:49.025429Z
350,3.6195712783e-01,2.804662e+04,2025-11-10T22:04:49.122135Z
375,3.5234262432e-01,2.730160e+04,2025-11-10T22:04:49.201215Z
400,3.4344624572e-01,2.661223e+04,2025-11-10T22:04:49.312401Z
425,3.3695852437e-01,2.610950e+04,2025-11-10T22:04:49.449570Z
450,3.3385019269e-01,2.586864e+04,2025-11-10T22:04:49.661980Z
475,3.3434363969e-01,2.590688e+04,2025-11-10T22:04:49.785460Z
500,3.3799525479e-01,2.618984e+04,2025-11-10T22:04:50.187177Z
525,3.4386360330e-01,2.664457e+04,2025-11-10T22:04:50.431562Z
550,3.5072872782e-01,2.717654e+04,2025-11-10T22:04:50.530016Z
575,3.5732449575e-01,2.768764e+04,2025-11-10T22:04:50.871901Z
600,3.6254857211e-01,2.809245e+04,2025-11-10T22:04:51.287470Z
625,3.6562214916e-01,2.833061e+04,2025-11-10T22:04:51.464418Z
650,3.6618224667e-01,2.837401e+04,2025-11-10T22:04:51.553532Z
675,3.6430122492e-01,2.822826e+04,2025-11-10T22:04:51.646465Z
700,3.6043922421e-01,2.792899e+04,2025-11-10T22:04:51.763131Z
725,3.5534406566e-01,2.753418e+04,2025-11-10T22:04:51.864404Z
