time,x_light,x_heavy
0.000000,256.000000,256.000000
0.240000,255.999986,255.999986
0.480000,255.999897,255.999897
0.720000,255.999663,255.999663
0.960000,255.999202,255.999202
1.200000,255.998436,255.998436
1.440000,255.997285,255.997285
1.680000,255.995673,255.995673
1.920000,255.993522,255.993522
2.160000,255.990755,255.990755
2.400000,255.987295,255.987295
2.640000,255.983067,255.983067
2.880000,255.977996,255.977996
3.120000,255.972009,255.972009
3.360000,255.965032,255.965032
3.600000,255.956995,255.956995
3.840000,255.947826,255.947826
4.080000,255.937458,255.937458
4.320000,255.925811,255.925811
4.560000,255.895596,255.895596
4.800000,253.626215,253.626215
5.040000,242.645886,242.645886
5.280000,245.985520,245.985521
5.520000,255.478828,255.478828
5.760000,255.880685,255.880685
6.000000,255.881617,255.881617
6.240000,255.884986,255.884986
6.480000,255.890001,255.890001
6.720000,255.896408,255.896408
6.960000,255.903960,255.903960
7.200000,255.912410,255.912410
7.440000,255.921514,255.921514
7.680000,255.931028,255.931028
7.920000,255.940714,255.940714
8.160000,255.950335,255.950335
8.400000,255.959656,255.959656
8.640000,255.968447,255.968447
8.880000,255.976482,255.976482
9.120000,255.983538,255.983538
9.360000,255.989396,255.989396
9.600000,255.993843,255.993843
9.840000,255.996752,255.996752
10.080000,255.998540,255.998540
10.320000,255.998716,255.998716
10.560000,255.998446,255.998446
10.800000,256.000950,256.000950
11.040000,256.005089,256.005089
11.280000,256.010337,256.010337
11.520000,256.016275,256.016275
11.760000,256.022485,256.022485
12.000000,256.028551,256.028551
12.240000,256.034062,256.034062
12.480000,256.038611,256.038611
12.720000,256.041795,256.041795
12.960000,256.043217,256.043217
13.200000,256.042486,256.042486
13.440000,256.039217,256.039217
13.680000,256.033033,256.033033
13.920000,256.023563,256.023563
14.160000,256.010447,256.010447
14.400000,255.993373,255.993373
14.640000,255.973762,255.973762
14.880000,255.838326,255.838326
15.120000,250.545396,250.545396
15.360000,241.517112,241.517112
15.600000,250.116176,250.116176
15.840000,255.866114,255.866114
16.080000,255.843846,255.843846
16.320000,255.836778,255.836778
16.560000,255.834500,255.834500
16.800000,255.836340,255.836340
17.040000,255.841676,255.841676
17.280000,255.849901,255.849901
17.520000,255.860415,255.860415
17.760000,255.872632,255.872632
18.000000,255.885982,255.885982
18.240000,255.899902,255.899902
18.480000,255.913851,255.913851
18.720000,255.927296,255.927296
18.960000,255.939726,255.939726
19.200000,255.950644,255.950644
19.440000,255.959568,255.959568
19.680000,255.966039,255.966039
19.920000,255.969652,255.969652
20.160000,255.972733,255.972733
20.400000,255.982627,255.982627
20.640000,255.975791,255.975791
20.880000,255.960625,255.960625
21.120000,255.964022,255.964022
21.360000,255.971358,255.971358
21.600000,255.981418,255.981418
21.840000,255.993366,255.993366
22.080000,256.006388,256.006388
22.320000,256.019689,256.019689
22.560000,256.032498,256.032498
22.800000,256.044067,256.044067
23.040000,256.053671,256.053671
23.280000,256.060611,256.060611
23.520000,256.064213,256.064213
23.760000,256.063832,256.063832
