x_position,intensity_no_detector,intensity_with_detector,intensity_slit1,intensity_slit2
0.0,7.02233048498136e-06,2.846764258364907e-05,1.942371156389137e-05,9.043931019757699e-06
0.08,7.0767297840285975e-06,2.868664214279808e-05,1.9573731807036614e-05,9.112910335761464e-06
0.16,7.131558377040775e-06,2.890735531774776e-05,1.972493157567467e-05,9.182423742073092e-06
0.24,7.186819728512575e-06,2.912979579402715e-05,1.9877320345072107e-05,9.252475448955043e-06
0.32,7.242517331666176e-06,2.9353977369193358e-05,2.003090766861214e-05,9.323069700581217e-06
0.4,7.298654708697476e-06,2.9579913953776575e-05,2.018570317845932e-05,9.394210775317254e-06
0.48,7.355235411024327e-06,2.980761957223286e-05,2.0341716586229683e-05,9.465902986003179e-06
0.56,7.412263019537184e-06,3.003710836390579e-05,2.049895768366726e-05,9.538150680238534e-06
0.64,7.4697411448518e-06,3.0268394583996013e-05,2.0657436343326175e-05,9.61095824066984e-06
0.72,7.527673427564385e-06,3.0501492604539724e-05,2.0817162519259163e-05,9.684330085280561e-06
0.8,7.586063538508802e-06,3.073641691539535e-05,2.0978146247711757e-05,9.758270667683593e-06
0.88,7.644915179016252e-06,3.097318212523906e-05,2.1140397647822935e-05,9.832784477416129e-06
0.96,7.70423208117725e-06,3.12118029625691e-05,2.1303926922331953e-05,9.907876040237148e-06
1.04,7.764018008105812e-06,3.145229427671867e-05,2.1468744358291217e-05,9.983549918427451e-06
1.12,7.824276754206158e-06,3.169467103887773e-05,2.1634860327785615e-05,1.0059810711092115e-05
1.2,7.885012145441716e-06,3.1938948343124066e-05,2.180228528865833e-05,1.0136663054465736e-05
1.28,7.946228039606605e-06,3.2185141407463095e-05,2.1971029785242947e-05,1.0214111622220148e-05
1.36,8.007928326599443e-06,3.2433265574876834e-05,2.2141104449102017e-05,1.0292161125774816e-05
1.44,8.070116928699683e-06,3.2683336314382144e-05,2.2312519999772282e-05,1.0370816314609866e-05
1.52,8.132797800846466e-06,3.293536922209842e-05,2.2485287245516607e-05,1.0450081976581817e-05
1.6,8.195974930919814e-06,3.318938002232425e-05,2.2659417084082228e-05,1.052996293824202e-05
1.68,8.259652340024545e-06,3.3445384568624005e-05,2.2834920503466198e-05,1.0610464065157805e-05
1.76,8.323834082776567e-06,3.370339884492358e-05,2.301180858268724e-05,1.0691590262236339e-05
1.84,8.388524247591901e-06,3.3963438966616284e-05,2.3190092492564877e-05,1.0773346474051404e-05
1.92,8.45372695697812e-06,3.42255211816778e-05,2.3369783496504982e-05,1.0855737685172813e-05
2.0,8.519446367828568e-06,3.4489661871791533e-05,2.3550892951292813e-05,1.0938768920498719e-05
2.08,8.58568667171914e-06,3.4755877553483604e-05,2.373343230789281e-05,1.1022445245590792e-05
2.16,8.652452095207719e-06,3.5024184879267896e-05,2.3917413112255607e-05,1.1106771767012289e-05
2.24,8.719746900136382e-06,3.5294600638801125e-05,2.4102847006132225e-05,1.1191753632668902e-05
2.32,8.787575383936264e-06,3.5567141760048294e-05,2.4289745727895583e-05,1.1277396032152712e-05
2.4,8.855941879935166e-06,3.584182531045824e-05,2.4478121113369244e-05,1.1363704197088997e-05
2.48,8.924850757667964e-06,3.611866849814951e-05,2.466798509666356e-05,1.1450683401485952e-05
2.56,8.994306423189815e-06,3.639768867310702e-05,2.4859349711019414e-05,1.153833896208761e-05
2.64,9.06431331939221e-06,3.667890332838902e-05,2.505222708965941e-05,1.1626676238729608e-05
2.72,9.13487592632174e-06,3.696233010134469e-05,2.5246629466646547e-05,1.1715700634698144e-05
2.8000000000000003,9.20599876150195e-06,3.7247986774842655e-05,2.544256917775074e-05,1.1805417597091912e-05
2.88,9.277686380257982e-06,3.753589127851041e-05,2.564005866132317e-05,1.189583261718724e-05
2.96,9.34994337604409e-06,3.782606168998445e-05,2.5839110459178084e-05,1.1986951230806366e-05
3.04,9.422774380774278e-06,3.811851623617179e-05,2.6039737217482945e-05,1.207877901868884e-05
3.12,9.496184065155738e-06,3.8413273294522165e-05,2.6241951687656085e-05,1.217132160686608e-05
3.2,9.570177139025565e-06,3.8710351394312404e-05,2.6445766727273053e-05,1.2264584667039351e-05
3.2800000000000002,9.644758351690177e-06,3.900976921794105e-05,2.665119530098022e-05,1.235857391696083e-05
3.36,9.719932492268094e-06,3.931154560223528e-05,2.685825048141733e-05,1.2453295120817948e-05
3.44,9.79570439003574e-06,3.961569953976921e-05,2.7066945450148026e-05,1.2548754089621183e-05
3.52,9.872078914776265e-06,3.992225018019366e-05,2.727729349859857e-05,1.264495668159509e-05
3.6,9.949060977131702e-06,4.0231216831578024e-05,2.748930802900528e-05,1.2741908802572743e-05
3.68,1.0026655528958244e-05,4.054261896176402e-05,2.7703002555370428e-05,1.2839616406393588e-05
3.7600000000000002,1.0104867563684645e-05,4.085647619973105e-05,2.791839070442637e-05,1.2938085495304682e-05
3.84,1.018370211667411e-05,4.117280833697455e-05,2.8135486216608998e-05,1.3037322120365553e-05
3.92,1.0263164265589209e-05,4.149163532889557e-05,2.8354302947039226e-05,1.3137332381856342e-05
4.0,1.0343259130760346e-05,4.181297729620364e-05,2.8574854866513987e-05,1.3238122429689651e-05
4.08,1.0423991875557376e-05,4.213685452633144e-05,2.8797156062505552e-05,1.3339698463825889e-05
4.16,1.050536770676472e-05,4.2463287474862386e-05,2.9021220740170214e-05,1.3442066734692168e-05
4.24,1.0587391874959927e-05,4.279229676697099e-05,2.9247063223366073e-05,1.3545233543604913e-05
4.32,1.0670069674895523e-05,4.312390319887585e-05,2.9474697955679735e-05,1.3649205243196115e-05
4.4,1.075340644588448e-05,4.3458127739305566e-05,2.9704139501462383e-05,1.3753988237843184e-05
4.48,1.0837407572189182e-05,4.379499153097807e-05,2.993540254687542e-05,1.385958898410265e-05
4.5600000000000005,1.0922078483413939e-05,4.41345158920929e-05,3.0168501900945334e-05,1.3966013991147565e-05
4.64,1.1007424654900946e-05,4.447672231783667e-05,3.040345249662793e-05,1.4073269821208747e-05
4.72,1.1093451608130065e-05,4.482163248190225e-05,3.064026939188253e-05,1.4181363090019717e-05
4.8,1.1180164911122155e-05,4.516926823802143e-05,3.087896777075577e-05,1.429030046726566e-05
4.88,1.126757017884604e-05,4.5519651621511235e-05,3.111956294447496e-05,1.4400088677036269e-05
4.96,1.135567307362926e-05,4.587280485083398e-05,3.136207035255164e-05,1.4510734498282343e-05
5.04,1.1444479305572658e-05,4.62287503291717e-05,3.160650556389507e-05,1.4622244765276627e-05
5.12,1.1533994632968516e-05,4.6587510646013856e-05,3.185288427793551e-05,1.473462636807835e-05
5.2,1.1624224862722803e-05,4.694910857876035e-05,3.210122232575819e-05,1.4847886253002157e-05
5.28,1.1715175850781082e-05,4.73135670943378e-05,3.235153567124702e-05,1.496203142309078e-05
5.36,1.1806853502558493e-05,4.768090935083121e-05,3.260384041223919e-05,1.5077068938592019e-05
5.44,1.1899263773373463e-05,4.805115869912963e-05,3.285815278168973e-05,1.51930059174399e-05
5.5200000000000005,1.199241266888556e-05,4.842433868458674e-05,3.3114489148846924e-05,1.5309849535739816e-05
5.6000000000000005,1.2086306245537414e-05,4.880047304869672e-05,3.337286602043861e-05,1.542760702825811e-05
