t,E_sum_sq,rel_drift
0.000000000000000000e+00,2.215567313631894564e+01,6.258360002910472999e-04
2.500000000000000139e-02,2.214874492555115637e+01,3.129343498265847018e-04
5.000000000000000278e-02,2.214181599076010798e+01,0.000000000000000000e+00
7.500000000000001110e-02,2.213491228369697694e+01,-3.117949795089972986e-04
1.000000000000000056e-01,2.212805959871517203e+01,-6.212856276412270350e-04
1.250000000000000000e-01,2.212128341236699214e+01,-9.273213363205705080e-04
1.500000000000000222e-01,2.211460872576770242e+01,-1.228772969830445923e-03
1.750000000000000167e-01,2.210805991109069168e+01,-1.524539797616549517e-03
2.000000000000000111e-01,2.210166056351113895e+01,-1.813556181016322180e-03
2.250000000000000056e-01,2.209543335985518198e+01,-2.094797957145055727e-03
2.500000000000000000e-01,2.208939992513705874e+01,-2.367288466534213983e-03
2.750000000000000222e-01,2.208358070808001727e+01,-2.630104175032101522e-03
3.000000000000000444e-01,2.207799486661795640e+01,-2.882379844940652185e-03
3.250000000000000111e-01,2.207266016426627075e+01,-3.123313215261851270e-03
3.500000000000000333e-01,2.206759287813287429e+01,-3.352169156233949718e-03
3.750000000000000000e-01,2.206280771921561623e+01,-3.568283268972260482e-03
4.000000000000000222e-01,2.205831776550220980e+01,-3.771064906904764147e-03
4.250000000000000444e-01,2.205413440825448390e+01,-3.959999601758683319e-03
4.500000000000000111e-01,2.205026731172258891e+01,-4.134650883004483031e-03
4.750000000000000333e-01,2.204672438639793342e+01,-4.294661485844556391e-03
5.000000000000000000e-01,2.204351177577799348e+01,-4.439753948959622096e-03
5.250000000000000222e-01,2.204063385648360907e+01,-4.569730609211219811e-03
5.500000000000000444e-01,2.203809325144096221e+01,-4.684473006298570802e-03
5.750000000000000666e-01,2.203589085571826445e+01,-4.783940715885572591e-03
6.000000000000000888e-01,2.203402587449205541e+01,-4.868169634913140607e-03
6.250000000000000000e-01,2.203249587251169928e+01,-4.937269747613680371e-03
6.500000000000000222e-01,2.203129683433369479e+01,-4.991422405124014763e-03
6.750000000000000444e-01,2.203042323451141016e+01,-5.030877155477337173e-03
7.000000000000000666e-01,2.202986811685078195e+01,-5.055948164145273975e-03
7.250000000000000888e-01,2.202962318177984358e+01,-5.067010268131711542e-03
7.500000000000000000e-01,2.202967888082922343e+01,-5.064494708910955226e-03
7.750000000000000222e-01,2.203002451718306176e+01,-5.048884591205046735e-03
8.000000000000000444e-01,2.203064835123446130e+01,-5.020710115739264803e-03
8.250000000000000666e-01,2.203153771006708084e+01,-4.980543634679595807e-03
8.500000000000000888e-01,2.203267909978397654e+01,-4.928994578478784749e-03
8.750000000000000000e-01,2.203405831961660510e+01,-4.866704302324194667e-03
9.000000000000000222e-01,2.203566057676950862e+01,-4.794340899359770050e-03
9.250000000000000444e-01,2.203747060098990573e+01,-4.712594026332172191e-03
9.500000000000000666e-01,2.203947275789431259e+01,-4.622169785373690318e-03
