step,energy,drift,timestamp
0,8.8339963826e+00,0.000000e+00,2025-11-13T19:57:04.525361Z
1,8.8340286533e+00,3.653013e-06,2025-11-13T19:57:04.527017Z
2,8.8340734379e+00,8.722593e-06,2025-11-13T19:57:04.528103Z
3,8.8341303475e+00,1.516470e-05,2025-11-13T19:57:04.529193Z
4,8.8341988893e+00,2.292357e-05,2025-11-13T19:57:04.530207Z
5,8.8342784724e+00,3.193230e-05,2025-11-13T19:57:04.531123Z
6,8.8343684143e+00,4.211364e-05,2025-11-13T19:57:04.532005Z
7,8.8344679483e+00,5.338080e-05,2025-11-13T19:57:04.532864Z
8,8.8345762321e+00,6.563842e-05,2025-11-13T19:57:04.533744Z
9,8.8346923566e+00,7.878360e-05,2025-11-13T19:57:04.534696Z
10,8.8348153561e+00,9.270702e-05,2025-11-13T19:57:04.536721Z
11,8.8349442182e+00,1.072941e-04,2025-11-13T19:57:04.537882Z
12,8.8350778948e+00,1.224262e-04,2025-11-13T19:57:04.538774Z
13,8.8352153130e+00,1.379818e-04,2025-11-13T19:57:04.539799Z
14,8.8353553858e+00,1.538379e-04,2025-11-13T19:57:04.540738Z
15,8.8354970236e+00,1.698711e-04,2025-11-13T19:57:04.541794Z
16,8.8356391446e+00,1.859591e-04,2025-11-13T19:57:04.542816Z
17,8.8357806853e+00,2.019814e-04,2025-11-13T19:57:04.543808Z
18,8.8359206110e+00,2.178208e-04,2025-11-13T19:57:04.544906Z
19,8.8360579249e+00,2.333646e-04,2025-11-13T19:57:04.545728Z
20,8.8361916775e+00,2.485053e-04,2025-11-13T19:57:04.547160Z
21,8.8363209742e+00,2.631416e-04,2025-11-13T19:57:04.548218Z
22,8.8364449829e+00,2.771792e-04,2025-11-13T19:57:04.549341Z
23,8.8365629408e+00,2.905320e-04,2025-11-13T19:57:04.550367Z
24,8.8366741594e+00,3.031218e-04,2025-11-13T19:57:04.551472Z
25,8.8367780291e+00,3.148797e-04,2025-11-13T19:57:04.552620Z
26,8.8368740232e+00,3.257462e-04,2025-11-13T19:57:04.553466Z
27,8.8369616996e+00,3.356711e-04,2025-11-13T19:57:04.554329Z
28,8.8370407032e+00,3.446142e-04,2025-11-13T19:57:04.555200Z
29,8.8371107656e+00,3.525452e-04,2025-11-13T19:57:04.556097Z
30,8.8371717050e+00,3.594435e-04,2025-11-13T19:57:04.558246Z
31,8.8372234245e+00,3.652981e-04,2025-11-13T19:57:04.559595Z
32,8.8372659101e+00,3.701074e-04,2025-11-13T19:57:04.560566Z
33,8.8372992275e+00,3.738789e-04,2025-11-13T19:57:04.561743Z
34,8.8373235177e+00,3.766285e-04,2025-11-13T19:57:04.562985Z
35,8.8373389934e+00,3.783804e-04,2025-11-13T19:57:04.564487Z
36,8.8373459328e+00,3.791659e-04,2025-11-13T19:57:04.565534Z
37,8.8373446749e+00,3.790235e-04,2025-11-13T19:57:04.566474Z
38,8.8373356127e+00,3.779977e-04,2025-11-13T19:57:04.567407Z
39,8.8373191872e+00,3.761383e-04,2025-11-13T19:57:04.568573Z
40,8.8372958809e+00,3.735001e-04,2025-11-13T19:57:04.570290Z
41,8.8372662109e+00,3.701415e-04,2025-11-13T19:57:04.571466Z
42,8.8372307219e+00,3.661241e-04,2025-11-13T19:57:04.572711Z
43,8.8371899800e+00,3.615122e-04,2025-11-13T19:57:04.573558Z
44,8.8371445657e+00,3.563713e-04,2025-11-13T19:57:04.574491Z
45,8.8370950677e+00,3.507682e-04,2025-11-13T19:57:04.575414Z
