k,|F|
-6.250000000000000000e+01,3.425143447839752133e-11
-6.225585937500000000e+01,4.295977533190445544e-11
-6.201171875000000000e+01,6.215440130766985546e-11
-6.176757812500000000e+01,8.501517163343280389e-11
-6.152343750000000000e+01,1.092763818623769871e-10
-6.127929687500000000e+01,1.341936829095537105e-10
-6.103515625000000000e+01,1.594742874264611261e-10
-6.079101562500000000e+01,1.849844630905037583e-10
-6.054687500000000000e+01,2.106565715437847517e-10
-6.030273437500000000e+01,2.364542702908257864e-10
-6.005859375000000000e+01,2.623571074782186801e-10
-5.981445312500000000e+01,2.883537658727872805e-10
-5.957031250000000000e+01,3.144383191764528444e-10
-5.932617187500000000e+01,3.406082988895386185e-10
-5.908203125000000000e+01,3.668630197925383707e-10
-5.883789062500000000e+01,3.932037700862075631e-10
-5.859375000000000000e+01,4.196325407587720217e-10
-5.834960937500000000e+01,4.461521862814068060e-10
-5.810546875000000000e+01,4.727661007034120691e-10
-5.786132812500000000e+01,4.994781081823478142e-10
-5.761718750000000000e+01,5.262924067439059157e-10
-5.737304687500000000e+01,5.532131795019094675e-10
-5.712890625000000000e+01,5.802453578307105166e-10
-5.688476562500000000e+01,6.073935193668288860e-10
-5.664062500000000000e+01,6.346626577008484046e-10
-5.639648437500000000e+01,6.620579823009220748e-10
-5.615234375000000000e+01,6.895846776587283216e-10
-5.590820312500000000e+01,7.172479428898538057e-10
-5.566406250000000000e+01,7.450535238332266047e-10
-5.541992187500000000e+01,7.730066324320894469e-10
-5.517578125000000000e+01,8.011132951939202248e-10
-5.493164062500000000e+01,8.293789643863892790e-10
-5.468750000000000000e+01,8.578097265188709778e-10
-5.444335937500000000e+01,8.864114287477726333e-10
-5.419921875000000000e+01,9.151901790777521359e-10
-5.395507812500000000e+01,9.441520713394564713e-10
-5.371093750000000000e+01,9.733034834863515585e-10
-5.346679687500000000e+01,1.002650714900855607e-09
-5.322265625000000000e+01,1.032200261085945179e-09
-5.297851562500000000e+01,1.061958727490476762e-09
-5.273437500000000000e+01,1.091932735894907944e-09
-5.249023437500000000e+01,1.122129251347151619e-09
-5.224609375000000000e+01,1.152555003049811255e-09
-5.200195312500000000e+01,1.183217282009412224e-09
-5.175781250000000000e+01,1.214123113635362364e-09
-5.151367187500000000e+01,1.245279804163386556e-09
-5.126953125000000000e+01,1.276694911581449614e-09
-5.102539062500000000e+01,1.308375857567530392e-09
-5.078125000000000000e+01,1.340330636173372758e-09
-5.053710937500000000e+01,1.372566844326322865e-09
-5.029296875000000000e+01,1.405092651090633058e-09
-5.004882812500000000e+01,1.437916233337923468e-09
-4.980468750000000000e+01,1.471045916016579230e-09
-4.956054687500000000e+01,1.504490282074117386e-09
-4.931640625000000000e+01,1.538257950578887451e-09
-4.907226562500000000e+01,1.572357748044062417e-09
-4.882812500000000000e+01,1.606798975029267881e-09
-4.858398437500000000e+01,1.641590581350306810e-09
-4.833984375000000000e+01,1.676742255241808837e-09
-4.809570312500000000e+01,1.712263454284625901e-09
-4.785156250000000000e+01,1.748164259218695075e-09
-4.760742187500000000e+01,1.784454549946828601e-09
-4.736328125000000000e+01,1.821144815401113759e-09
-4.711914062500000000e+01,1.858245526818819506e-09
-4.687500000000000000e+01,1.895767441703920232e-09
-4.663085937500000000e+01,1.933721712742002179e-09
-4.638671875000000000e+01,1.972119474925817872e-09
-4.614257812500000000e+01,2.010972556523349095e-09
-4.589843750000000000e+01,2.050292521844295559e-09
-4.565429687500000000e+01,2.090091783100750876e-09
-4.541015625000000000e+01,2.130382557660227891e-09
-4.516601562500000000e+01,2.171177584116125915e-09
-4.492187500000000000e+01,2.212490211150007681e-09
-4.467773437500000000e+01,2.254333527934744890e-09
-4.443359375000000000e+01,2.296721311013027158e-09
-4.418945312500000000e+01,2.339667803888185805e-09
-4.394531250000000000e+01,2.383187296894471040e-09
-4.370117187500000000e+01,2.427294697821860204e-09
-4.345703125000000000e+01,2.472005172451266012e-09
-4.321289062500000000e+01,2.517334319832510240e-09
-4.296875000000000000e+01,2.563298416864762576e-09
-4.272460937500000000e+01,2.609913516738173419e-09
-4.248046875000000000e+01,2.657196902625191811e-09
-4.223632812500000000e+01,2.705165892214374669e-09
-4.199218750000000000e+01,2.753838178148414757e-09
-4.174804687500000000e+01,2.803232437085869750e-09
-4.150390625000000000e+01,2.853367293891483357e-09
-4.125976562500000000e+01,2.904262244910833270e-09
-4.101562500000000000e+01,2.955937514070276520e-09
-4.077148437500000000e+01,3.008413220637990994e-09
-4.052734375000000000e+01,3.061710998333993805e-09
-4.028320312500000000e+01,3.115852409758186912e-09
-4.003906250000000000e+01,3.170859709470485810e-09
-3.979492187500000000e+01,3.226756441071693127e-09
-3.955078125000000000e+01,3.283566091713276150e-09
-3.930664062500000000e+01,3.341313301379875537e-09
-3.906250000000000000e+01,3.400023186172928907e-09
-3.881835937500000000e+01,3.459722037584870126e-09
-3.857421875000000000e+01,3.520436586324765197e-09
-3.833007812500000000e+01,3.582194479414588682e-09
-3.808593750000000000e+01,3.645024453438997259e-09
-3.784179687500000000e+01,3.708955852401078983e-09
-3.759765625000000000e+01,3.774019120803590632e-09
-3.735351562500000000e+01,3.840245811943601881e-09
-3.710937500000000000e+01,3.907668096594735051e-09
-3.686523437500000000e+01,3.976319670210571392e-09
-3.662109375000000000e+01,4.046235186682937249e-09
-3.637695312500000000e+01,4.117450098130116985e-09
-3.613281250000000000e+01,4.190001747100695088e-09
-3.588867187500000000e+01,4.263927951265053164e-09
-3.564453125000000000e+01,4.339268496819466956e-09
-3.540039062500000000e+01,4.416064110155038521e-09
-3.515625000000000000e+01,4.494357071811981064e-09
-3.491210937500000000e+01,4.574191164713657803e-09
-3.466796875000000000e+01,4.655611536267249929e-09
-3.442382812500000000e+01,4.738665266322267271e-09
-3.417968750000000000e+01,4.823400867741945468e-09
-3.393554687500000000e+01,4.909868319176593487e-09
-3.369140625000000000e+01,4.998120274247409767e-09
-3.344726562500000000e+01,5.088210299267238582e-09
-3.320312500000000000e+01,5.180194692780461835e-09
