t,projection
0.00000000,4.9903331596e-01
0.00250000,4.9894155654e-01
0.00500000,4.9866628339e-01
0.00750000,4.9820759775e-01
0.01000000,4.9756566832e-01
0.01250000,4.9674073123e-01
0.01500000,4.9573308987e-01
0.01750000,4.9454311488e-01
0.02000000,4.9317124392e-01
0.02250000,4.9161798158e-01
0.02500000,4.8988389916e-01
0.02750000,4.8796963447e-01
0.03000000,4.8587589158e-01
0.03250000,4.8360344059e-01
0.03500000,4.8115311732e-01
0.03750000,4.7852582301e-01
0.04000000,4.7572252399e-01
0.04250000,4.7274425134e-01
0.04500000,4.6959210048e-01
0.04750000,4.6626723079e-01
0.05000000,4.6277086519e-01
0.05250000,4.5910428965e-01
0.05500000,4.5526885276e-01
0.05750000,4.5126596523e-01
0.06000000,4.4709709933e-01
0.06250000,4.4276378840e-01
0.06500000,4.3826762626e-01
0.06750000,4.3361026663e-01
0.07000000,4.2879342250e-01
0.07250000,4.2381886555e-01
0.07500000,4.1868842545e-01
0.07750000,4.1340398920e-01
0.08000000,4.0796750046e-01
0.08250000,4.0238095879e-01
0.08500000,3.9664641895e-01
0.08750000,3.9076599016e-01
0.09000000,3.8474183526e-01
0.09250000,3.7857616998e-01
0.09500000,3.7227126208e-01
0.09750000,3.6582943055e-01
0.10000000,3.5925304473e-01
0.10250000,3.5254452346e-01
0.10500000,3.4570633418e-01
0.10750000,3.3874099200e-01
0.11000000,3.3165105883e-01
0.11250000,3.2443914239e-01
0.11500000,3.1710789526e-01
0.11750000,3.0966001392e-01
0.12000000,3.0209823775e-01
0.12250000,2.9442534800e-01
0.12500000,2.8664416683e-01
0.12750000,2.7875755619e-01
0.13000000,2.7076841683e-01
0.13250000,2.6267968720e-01
0.13500000,2.5449434239e-01
0.13750000,2.4621539301e-01
0.14000000,2.3784588411e-01
0.14250000,2.2938889406e-01
0.14500000,2.2084753337e-01
0.14750000,2.1222494362e-01
0.15000000,2.0352429625e-01
0.15250000,1.9474879140e-01
0.15500000,1.8590165677e-01
0.15750000,1.7698614638e-01
0.16000000,1.6800553940e-01
0.16250000,1.5896313897e-01
0.16500000,1.4986227094e-01
0.16750000,1.4070628264e-01
0.17000000,1.3149854173e-01
0.17250000,1.2224243485e-01
0.17500000,1.1294136646e-01
0.17750000,1.0359875755e-01
0.18000000,9.4218044385e-02
0.18250000,8.4802677254e-02
0.18500000,7.5356119182e-02
0.18750000,6.5881844673e-02
0.19000000,5.6383338420e-02
0.19250000,4.6864094034e-02
0.19500000,3.7327612749e-02
0.19750000,2.7777402141e-02
0.20000000,1.8216974836e-02
0.20250000,8.6498472166e-03
0.20500000,-9.2046186880e-04
0.20750000,-1.0490432403e-02
0.21000000,-2.0056544492e-02
0.21250000,-2.9615279662e-02
0.21500000,-3.9163122153e-02
0.21750000,-4.8696560209e-02
0.22000000,-5.8212087375e-02
0.22250000,-6.7706203781e-02
0.22500000,-7.7175417435e-02
0.22750000,-8.6616245501e-02
0.23000000,-9.6025215585e-02
0.23250000,-1.0539886701e-01
0.23500000,-1.1473375210e-01
0.23750000,-1.2402643741e-01
0.24000000,-1.3327350505e-01
0.24250000,-1.4247155388e-01
0.24500000,-1.5161720080e-01
0.24750000,-1.6070708201e-01
0.25000000,-1.6973785416e-01
0.25250000,-1.7870619571e-01
0.25500000,-1.8760880803e-01
0.25750000,-1.9644241670e-01
0.26000000,-2.0520377264e-01
0.26250000,-2.1388965340e-01
0.26500000,-2.2249686424e-01
0.26750000,-2.3102223938e-01
0.27000000,-2.3946264314e-01
0.27250000,-2.4781497109e-01
0.27500000,-2.5607615118e-01
0.27750000,-2.6424314491e-01
0.28000000,-2.7231294841e-01
0.28250000,-2.8028259354e-01
0.28500000,-2.8814914904e-01
0.28750000,-2.9590972154e-01
0.29000000,-3.0356145663e-01
0.29250000,-3.1110153998e-01
0.29500000,-3.1852719830e-01
0.29750000,-3.2583570038e-01
0.30000000,-3.3302435810e-01
0.30250000,-3.4009052745e-01
0.30500000,-3.4703160943e-01
0.30750000,-3.5384505108e-01
0.31000000,-3.6052834637e-01
0.31250000,-3.6707903714e-01
0.31500000,-3.7349471402e-01
0.31750000,-3.7977301727e-01
0.32000000,-3.8591163770e-01
0.32250000,-3.9190831748e-01
0.32500000,-3.9776085101e-01
0.32750000,-4.0346708567e-01
0.33000000,-4.0902492269e-01
0.33250000,-4.1443231786e-01
0.33500000,-4.1968728231e-01
0.33750000,-4.2478788323e-01
0.34000000,-4.2973224458e-01
0.34250000,-4.3451854780e-01
0.34500000,-4.3914503246e-01
0.34750000,-4.4360999691e-01
0.35000000,-4.4791179891e-01
0.35250000,-4.5204885623e-01
0.35500000,-4.5601964723e-01
0.35750000,-4.5982271144e-01
0.36000000,-4.6345665006e-01
0.36250000,-4.6692012651e-01
0.36500000,-4.7021186690e-01
0.36750000,-4.7333066051e-01
0.37000000,-4.7627536023e-01
0.37250000,-4.7904488297e-01
0.37500000,-4.8163821010e-01
0.37750000,-4.8405438777e-01
0.38000000,-4.8629252730e-01
0.38250000,-4.8835180548e-01
0.38500000,-4.9023146490e-01
0.38750000,-4.9193081421e-01
0.39000000,-4.9344922838e-01
0.39250000,-4.9478614893e-01
0.39500000,-4.9594108412e-01
0.39750000,-4.9691360917e-01
0.40000000,-4.9770336638e-01
0.40250000,-4.9831006527e-01
0.40500000,-4.9873348268e-01
0.40750000,-4.9897346289e-01
0.41000000,-4.9902991764e-01
0.41250000,-4.9890282614e-01
0.41500000,-4.9859223516e-01
0.41750000,-4.9809825893e-01
0.42000000,-4.9742107913e-01
0.42250000,-4.9656094483e-01
0.42500000,-4.9551817240e-01
0.42750000,-4.9429314538e-01
0.43000000,-4.9288631434e-01
0.43250000,-4.9129819672e-01
0.43500000,-4.8952937664e-01
0.43750000,-4.8758050468e-01
0.44000000,-4.8545229765e-01
0.44250000,-4.8314553831e-01
0.44500000,-4.8066107511e-01
0.44750000,-4.7799982185e-01
0.45000000,-4.7516275735e-01
0.45250000,-4.7215092510e-01
0.45500000,-4.6896543287e-01
0.45750000,-4.6560745231e-01
0.46000000,-4.6207821850e-01
0.46250000,-4.5837902951e-01
0.46500000,-4.5451124593e-01
0.46750000,-4.5047629036e-01
0.47000000,-4.4627564687e-01
0.47250000,-4.4191086048e-01
0.47500000,-4.3738353660e-01
0.47750000,-4.3269534039e-01
0.48000000,-4.2784799621e-01
0.48250000,-4.2284328694e-01
0.48500000,-4.1768305334e-01
0.48750000,-4.1236919338e-01
0.49000000,-4.0690366152e-01
0.49250000,-4.0128846802e-01
0.49500000,-3.9552567819e-01
0.49750000,-3.8961741161e-01
0.50000000,-3.8356584138e-01
0.50250000,-3.7737319330e-01
0.50500000,-3.7104174507e-01
0.50750000,-3.6457382543e-01
0.51000000,-3.5797181333e-01
0.51250000,-3.5123813701e-01
0.51500000,-3.4437527318e-01
0.51750000,-3.3738574603e-01
0.52000000,-3.3027212636e-01
0.52250000,-3.2303703059e-01
0.52500000,-3.1568311983e-01
0.52750000,-3.0821309891e-01
0.53000000,-3.0062971534e-01
0.53250000,-2.9293575833e-01
0.53500000,-2.8513405777e-01
0.53750000,-2.7722748318e-01
0.54000000,-2.6921894263e-01
0.54250000,-2.6111138172e-01
0.54500000,-2.5290778245e-01
0.54750000,-2.4461116217e-01
0.55000000,-2.3622457242e-01
0.55250000,-2.2775109783e-01
0.55500000,-2.1919385501e-01
0.55750000,-2.1055599135e-01
0.56000000,-2.0184068393e-01
0.56250000,-1.9305113827e-01
0.56500000,-1.8419058723e-01
0.56750000,-1.7526228978e-01
0.57000000,-1.6626952979e-01
0.57250000,-1.5721561486e-01
0.57500000,-1.4810387506e-01
0.57750000,-1.3893766177e-01
0.58000000,-1.2972034636e-01
0.58250000,-1.2045531902e-01
0.58500000,-1.1114598747e-01
0.58750000,-1.0179577576e-01
0.59000000,-9.2408122950e-02
0.59250000,-8.2986481866e-02
0.59500000,-7.3534317850e-02
0.59750000,-6.4055107466e-02
0.60000000,-5.4552337224e-02
0.60250000,-4.5029502300e-02
0.60500000,-3.5490105253e-02
0.60750000,-2.5937654729e-02
0.61000000,-1.6375664178e-02
0.61250000,-6.8076505586e-03
0.61500000,2.7628669562e-03
0.61750000,1.2332368272e-02
0.62000000,2.1897333667e-02
0.62250000,3.1454245091e-02
0.62500000,4.0999587451e-02
0.62750000,5.0529849915e-02
0.63000000,6.0041527193e-02
0.63250000,6.9531120832e-02
0.63500000,7.8995140503e-02
0.63750000,8.8430105281e-02
0.64000000,9.7832544930e-02
0.64250000,1.0719900117e-01
0.64500000,1.1652602897e-01
0.64750000,1.2581019779e-01
0.65000000,1.3504809286e-01
0.65250000,1.4423631641e-01
0.65500000,1.5337148898e-01
0.65750000,1.6245025057e-01
0.66000000,1.7146926198e-01
0.66250000,1.8042520595e-01
0.66500000,1.8931478844e-01
0.66750000,1.9813473979e-01
0.67000000,2.0688181599e-01
0.67250000,2.1555279979e-01
0.67500000,2.2414450197e-01
0.67750000,2.3265376244e-01
0.68000000,2.4107745144e-01
0.68250000,2.4941247069e-01
0.68500000,2.5765575452e-01
0.68750000,2.6580427100e-01
0.69000000,2.7385502305e-01
0.69250000,2.8180504956e-01
0.69500000,2.8965142646e-01
0.69750000,2.9739126781e-01
0.70000000,3.0502172684e-01
0.70250000,3.1253999703e-01
0.70500000,3.1994331311e-01
0.70750000,3.2722895210e-01
0.71000000,3.3439423429e-01
0.71250000,3.4143652424e-01
0.71500000,3.4835323178e-01
0.71750000,3.5514181287e-01
0.72000000,3.6179977065e-01
0.72250000,3.6832465628e-01
0.72500000,3.7471406986e-01
0.72750000,3.8096566133e-01
0.73000000,3.8707713132e-01
0.73250000,3.9304623199e-01
0.73500000,3.9887076786e-01
0.73750000,4.0454859664e-01
0.74000000,4.1007763000e-01
0.74250000,4.1545583431e-01
0.74500000,4.2068123144e-01
0.74750000,4.2575189945e-01
0.75000000,4.3066597334e-01
0.75250000,4.3542164566e-01
0.75500000,4.4001716725e-01
0.75750000,4.4445084786e-01
0.76000000,4.4872105675e-01
0.76250000,4.5282622331e-01
0.76500000,4.5676483763e-01
0.76750000,4.6053545107e-01
0.77000000,4.6413667677e-01
0.77250000,4.6756719019e-01
0.77500000,4.7082572955e-01
0.77750000,4.7391109635e-01
0.78000000,4.7682215577e-01
0.78250000,4.7955783710e-01
0.78500000,4.8211713415e-01
0.78750000,4.8449910559e-01
0.79000000,4.8670287531e-01
0.79250000,4.8872763276e-01
0.79500000,4.9057263322e-01
0.79750000,4.9223719808e-01
0.80000000,4.9372071511e-01
0.80250000,4.9502263867e-01
0.80500000,4.9614248989e-01
0.80750000,4.9707985689e-01
0.81000000,4.9783439490e-01
0.81250000,4.9840582639e-01
0.81500000,4.9879394120e-01
0.81750000,4.9899859656e-01
0.82000000,4.9901971721e-01
0.82250000,4.9885729537e-01
0.82500000,4.9851139079e-01
0.82750000,4.9798213070e-01
0.83000000,4.9726970975e-01
0.83250000,4.9637438998e-01
0.83500000,4.9529650069e-01
0.83750000,4.9403643835e-01
0.84000000,4.9259466640e-01
0.84250000,4.9097171514e-01
0.84500000,4.8916818150e-01
0.84750000,4.8718472884e-01
0.85000000,4.8502208667e-01
0.85250000,4.8268105043e-01
0.85500000,4.8016248117e-01
0.85750000,4.7746730523e-01
0.86000000,4.7459651392e-01
0.86250000,4.7155116312e-01
0.86500000,4.6833237295e-01
0.86750000,4.6494132728e-01
0.87000000,4.6137927337e-01
0.87250000,4.5764752136e-01
0.87500000,4.5374744381e-01
0.87750000,4.4968047519e-01
0.88000000,4.4544811137e-01
0.88250000,4.4105190902e-01
0.88500000,4.3649348510e-01
0.88750000,4.3177451623e-01
0.89000000,4.2689673807e-01
0.89250000,4.2186194469e-01
0.89500000,4.1667198793e-01
0.89750000,4.1132877668e-01
0.90000000,4.0583427621e-01
0.90250000,4.0019050743e-01
0.90500000,3.9439954614e-01
0.90750000,3.8846352231e-01
0.91000000,3.8238461924e-01
0.91250000,3.7616507277e-01
0.91500000,3.6980717051e-01
0.91750000,3.6331325093e-01
0.92000000,3.5668570253e-01
0.92250000,3.4992696296e-01
0.92500000,3.4303951812e-01
0.92750000,3.3602590127e-01
0.93000000,3.2888869205e-01
0.93250000,3.2163051557e-01
0.93500000,3.1425404143e-01
0.93750000,3.0676198275e-01
0.94000000,2.9915709515e-01
0.94250000,2.9144217575e-01
0.94500000,2.8362006215e-01
0.94750000,2.7569363137e-01
0.95000000,2.6766579879e-01
0.95250000,2.5953951711e-01
0.95500000,2.5131777522e-01
0.95750000,2.4300359712e-01
0.96000000,2.3460004082e-01
0.96250000,2.2611019721e-01
0.96500000,2.1753718889e-01
0.96750000,2.0888416907e-01
0.97000000,2.0015432038e-01
0.97250000,1.9135085372e-01
0.97500000,1.8247700706e-01
0.97750000,1.7353604424e-01
0.98000000,1.6453125381e-01
0.98250000,1.5546594778e-01
0.98500000,1.4634346044e-01
0.98750000,1.3716714708e-01
0.99000000,1.2794038281e-01
0.99250000,1.1866656130e-01
0.99500000,1.0934909350e-01
0.99750000,9.9991406437e-02
1.00000000,9.0596941930e-02
1.00250000,8.1169155317e-02
1.00500000,7.1711514196e-02
1.00750000,6.2227497145e-02
1.01000000,5.2720592442e-02
1.01250000,4.3194296785e-02
1.01500000,3.3652114003e-02
1.01750000,2.4097553770e-02
1.02000000,1.4534130309e-02
1.02250000,4.9653611078e-03
1.02500000,-4.6052343839e-03
1.02750000,-1.4174136042e-02
1.03000000,-2.3737824368e-02
1.03250000,-3.3292781777e-02
1.03500000,-4.2835493899e-02
1.03750000,-5.2362450865e-02
1.04000000,-6.1870148605e-02
1.04250000,-7.1355090128e-02
1.04500000,-8.0813786815e-02
1.04750000,-9.0242759701e-02
1.05000000,-9.9638540752e-02
1.05250000,-1.0899767414e-01
1.05500000,-1.1831671753e-01
1.05750000,-1.2759224330e-01
1.06000000,-1.3682083988e-01
1.06250000,-1.4599911291e-01
1.06500000,-1.5512368659e-01
1.06750000,-1.6419120483e-01
1.07000000,-1.7319833255e-01
1.07250000,-1.8214175688e-01
1.07500000,-1.9101818835e-01
1.07750000,-1.9982436218e-01
1.08000000,-2.0855703940e-01
1.08250000,-2.1721300806e-01
1.08500000,-2.2578908447e-01
1.08750000,-2.3428211427e-01
1.09000000,-2.4268897370e-01
1.09250000,-2.5100657064e-01
1.09500000,-2.5923184584e-01
1.09750000,-2.6736177400e-01
1.10000000,-2.7539336487e-01
1.10250000,-2.8332366438e-01
1.10500000,-2.9114975574e-01
1.10750000,-2.9886876044e-01
1.11000000,-3.0647783940e-01
1.11250000,-3.1397419395e-01
1.11500000,-3.2135506688e-01
1.11750000,-3.2861774347e-01
1.12000000,-3.3575955245e-01
