x,y,l_z_initial,l_z_final
-3.200000,-3.200000,-4.5868178141e-04,8.9179140375e-03
-3.200000,-3.100000,-4.4754551387e-04,2.3153607232e-03
-3.200000,-3.000000,-4.3654529734e-04,-1.7175934401e-03
-3.200000,-2.900000,-4.2470218058e-04,1.1011298192e-02
-3.200000,-2.800000,-4.1201959346e-04,2.6120162346e-02
-3.200000,-2.700000,-3.9850679149e-04,-7.8196377986e-03
-3.200000,-2.600000,-3.8417961374e-04,-5.1365778917e-02
-3.200000,-2.500000,-3.6906127288e-04,-4.3026480492e-02
-3.200000,-2.400000,-3.5318316414e-04,-1.5032724802e-02
-3.200000,-2.300000,-3.3658567584e-04,-1.9573468833e-02
-3.200000,-2.200000,-3.1931897939e-04,-3.0858164671e-02
-3.200000,-2.100000,-3.0144377139e-04,-1.8694460581e-02
-3.200000,-2.000000,-2.8303193547e-04,-6.1326432856e-03
-3.200000,-1.900000,-2.6416708627e-04,-7.9308024690e-03
-3.200000,-1.800000,-2.4494495341e-04,-1.7382929839e-02
-3.200000,-1.700000,-2.2547356009e-04,-2.3790335903e-02
-3.200000,-1.600000,-2.0587314856e-04,-2.0199237353e-02
-3.200000,-1.500000,-1.8627580560e-04,-1.2429032948e-02
-3.200000,-1.400000,-1.6682474380e-04,-7.8961682222e-03
-3.200000,-1.300000,-1.4767320114e-04,-9.2226647720e-03
-3.200000,-1.200000,-1.2898293177e-04,-1.3797733357e-02
-3.200000,-1.100000,-1.1092227475e-04,-1.5894951893e-02
-3.200000,-1.000000,-9.3663805767e-05,-1.6502346837e-02
-3.200000,-0.900000,-7.7381597899e-05,-1.6799640100e-02
-3.200000,-0.800000,-6.2248140855e-05,-1.3635379794e-02
-3.200000,-0.700000,-4.8430992315e-05,-1.2181829822e-02
-3.200000,-0.600000,-3.6089258109e-05,-9.8691229261e-03
-3.200000,-0.500000,-2.5370018167e-05,-9.0769007446e-03
-3.200000,-0.400000,-1.6404830328e-05,-7.6871371151e-03
-3.200000,-0.300000,-9.3064523997e-06,-7.4224603922e-03
-3.200000,-0.200000,-4.1659229952e-06,-6.6723990089e-03
-3.200000,-0.100000,-1.0501327859e-06,-6.3138391157e-03
-3.200000,0.000000,0.0000000000e+00,-5.8205024089e-03
-3.200000,0.100000,-1.0293380766e-06,-5.4021822139e-03
-3.200000,0.200000,-4.1244710238e-06,-4.9721490630e-03
-3.200000,0.300000,-9.2446155047e-06,-4.2662138639e-03
-3.200000,0.400000,-1.6323010723e-05,-4.2177019533e-03
-3.200000,0.500000,-2.5268740646e-05,-2.4660988001e-03
-3.200000,0.600000,-3.5969160740e-05,-2.4537206287e-03
-3.200000,0.700000,-4.8292815443e-05,2.4218639958e-04
-3.200000,0.800000,-6.2092714780e-05,2.1311825763e-03
-3.200000,0.900000,-7.7209829640e-05,4.0578085637e-03
-3.200000,1.000000,-9.3476665290e-05,6.7710881549e-03
-3.200000,1.100000,-1.1072078106e-04,5.7817745090e-03
-3.200000,1.200000,-1.2876813920e-04,4.3889908046e-03
-3.200000,1.300000,-1.4744618622e-04,3.1781906591e-03
-3.200000,1.400000,-1.6658659283e-04,1.5210014827e-03
-3.200000,1.500000,-1.8602760332e-04,3.4767407764e-03
-3.200000,1.600000,-2.0561596785e-04,1.2317665309e-02
-3.200000,1.700000,-2.2520845301e-04,2.1890215814e-02
-3.200000,1.800000,-2.4467294346e-04,2.0669174062e-02
-3.200000,1.900000,-2.6388916192e-04,1.2976387993e-02
-3.200000,2.000000,-2.8274904497e-04,1.2693534783e-02
-3.200000,2.100000,-3.0115681872e-04,2.8230607062e-02
-3.200000,2.200000,-3.1902882129e-04,4.1663049061e-02
-3.200000,2.300000,-3.3629311983e-04,2.8289457878e-02
-3.200000,2.400000,-3.5288896741e-04,2.3841295658e-02
-3.200000,2.500000,-3.6876614191e-04,5.6245820016e-02
-3.200000,2.600000,-3.8388420457e-04,6.3815063447e-02
