step,time,L_z
0,0.000000,-2.3055377428e-02
20,0.100000,-8.8192442062e-03
40,0.200000,-1.5084140384e-02
60,0.300000,-1.5455557362e-02
80,0.400000,-1.0774158048e-02
100,0.500000,-1.5133741538e-02
120,0.600000,-1.2856567139e-02
140,0.700000,-1.1692641239e-02
160,0.800000,-1.4088204178e-02
180,0.900000,-1.1569214361e-02
200,1.000000,-1.2133706370e-02
220,1.100000,-1.2724843974e-02
240,1.200000,-1.1069702442e-02
260,1.300000,-1.2024122953e-02
280,1.400000,-1.1491335719e-02
300,1.500000,-1.0978895058e-02
320,1.600000,-1.1408612956e-02
340,1.700000,-1.0658764123e-02
360,1.800000,-1.0900715047e-02
380,1.900000,-1.0491516287e-02
400,2.000000,-1.0248998142e-02
420,2.100000,-1.0506524021e-02
440,2.200000,-9.5252942836e-03
460,2.300000,-1.0021438628e-02
480,2.400000,-9.6013913763e-03
500,2.500000,-8.6395607075e-03
520,2.600000,-9.5288018075e-03
540,2.700000,-8.0867721460e-03
560,2.800000,-7.6609313170e-03
580,2.900000,-8.1502749673e-03
600,3.000000,-5.7144107776e-03
620,3.100000,-5.8258361023e-03
640,3.200000,-4.8202840930e-03
660,3.300000,-1.4957473933e-03
680,3.400000,-1.8662000547e-03
700,3.500000,2.0798392804e-04
720,3.600000,1.7932570510e-03
740,3.700000,6.1518407139e-04
760,3.800000,4.2205693128e-03
780,3.900000,4.2327271307e-03
800,4.000000,3.2837671837e-03
820,4.100000,7.5062575632e-03
840,4.200000,6.1865772612e-03
860,4.300000,6.2708826042e-03
880,4.400000,9.6597067438e-03
900,4.500000,7.8225797240e-03
920,4.600000,8.9751932252e-03
940,4.700000,1.0320388498e-02
960,4.800000,9.7407174286e-03
980,4.900000,1.0043205886e-02
