step,time,momentum
0,0.000000,5.6025978457e-09
40,0.200000,5.6025978767e-09
80,0.400000,5.6025978923e-09
120,0.600000,5.6025820738e-09
160,0.800000,5.6021845585e-09
200,1.000000,5.5991303083e-09
240,1.200000,5.6215431732e-09
280,1.400000,6.0312787231e-09
320,1.600000,6.3938219741e-09
360,1.800000,-9.6465166888e-09
400,2.000000,-7.5975588863e-08
440,2.200000,-8.9231515830e-08
480,2.400000,1.1284580737e-07
520,2.600000,1.1926104404e-07
560,2.800000,-9.7293598766e-08
600,3.000000,1.0768095228e-07
640,3.200000,-6.4758167673e-09
680,3.400000,-2.6640463143e-07
720,3.600000,7.8978160365e-08
760,3.800000,2.0129851616e-07
800,4.000000,2.9261184942e-08
840,4.200000,-1.5219969802e-08
880,4.400000,3.9345298974e-09
920,4.600000,7.5553681733e-09
960,4.800000,6.0900396637e-09
1000,5.000000,5.6437748008e-09
1040,5.200000,5.5575873481e-09
1080,5.400000,5.3678025891e-09
1120,5.600000,6.5431988272e-09
1160,5.800000,1.4661617349e-08
1200,6.000000,-2.9863278883e-08
1240,6.200000,-3.9167998416e-07
1280,6.400000,-7.5785815308e-07
1320,6.600000,3.9911097761e-07
1360,6.800000,1.0537634935e-06
1400,7.000000,-2.2158510911e-06
1440,7.200000,-2.5068633827e-06
1480,7.400000,2.1188711311e-06
1520,7.600000,2.4806109590e-06
1560,7.800000,9.3586565526e-08
1600,8.000000,-2.2978978027e-07
1640,8.200000,1.0579444236e-07
1680,8.400000,8.0914424521e-08
1720,8.600000,1.7842669040e-08
1760,8.800000,5.8265755887e-09
1800,9.000000,5.5178625513e-09
1840,9.200000,5.5988694703e-09
1880,9.400000,5.6029128204e-09
1920,9.600000,5.6026261319e-09
1960,9.800000,5.6025993600e-09
