time,entropy
0.000000,4.692608443e-01
0.010101,4.699394601e-01
0.020202,4.706180758e-01
0.030303,4.712966915e-01
0.040404,4.719753072e-01
0.050505,4.726539229e-01
0.060606,4.733325386e-01
0.070707,4.740111543e-01
0.080808,4.746897700e-01
0.090909,4.753683857e-01
0.101010,4.760470014e-01
0.111111,4.767256171e-01
0.121212,4.774042328e-01
0.131313,4.780828485e-01
0.141414,4.787614642e-01
0.151515,4.794400799e-01
0.161616,4.801186956e-01
0.171717,4.807973113e-01
0.181818,4.814759270e-01
0.191919,4.821545427e-01
0.202020,4.828331584e-01
0.212121,4.835117741e-01
0.222222,4.841903899e-01
0.232323,4.848690056e-01
0.242424,4.855476213e-01
0.252525,4.862262370e-01
0.262626,4.869048527e-01
0.272727,4.875834684e-01
0.282828,4.882620841e-01
0.292929,4.889406998e-01
0.303030,4.896193155e-01
0.313131,4.902979312e-01
0.323232,4.909765469e-01
0.333333,4.916551626e-01
0.343434,4.923337783e-01
0.353535,4.930123940e-01
0.363636,4.936910097e-01
0.373737,4.943696254e-01
0.383838,4.950482411e-01
0.393939,4.957268568e-01
0.404040,4.964054725e-01
0.414141,4.970840882e-01
0.424242,4.977627039e-01
0.434343,4.984413196e-01
0.444444,4.991199354e-01
0.454545,4.997985511e-01
0.464646,5.004771668e-01
0.474747,5.011557825e-01
0.484848,5.018343982e-01
0.494949,5.025130139e-01
0.505051,5.031916296e-01
0.515152,5.038702453e-01
0.525253,5.045488610e-01
0.535354,5.052274767e-01
0.545455,5.059060924e-01
0.555556,5.065847081e-01
0.565657,5.072633238e-01
0.575758,5.079419395e-01
0.585859,5.086205552e-01
0.595960,5.092991709e-01
0.606061,5.099777866e-01
0.616162,5.106564023e-01
0.626263,5.113350180e-01
0.636364,5.120136337e-01
0.646465,5.126922494e-01
0.656566,5.133708652e-01
0.666667,5.140494809e-01
0.676768,5.147280966e-01
0.686869,5.154067123e-01
0.696970,5.160853280e-01
0.707071,5.167639437e-01
0.717172,5.174425594e-01
0.727273,5.181211751e-01
0.737374,5.187997908e-01
0.747475,5.194784065e-01
0.757576,5.201570222e-01
0.767677,5.208356379e-01
0.777778,5.215142536e-01
0.787879,5.221928693e-01
0.797980,5.228714850e-01
0.808081,5.235501007e-01
0.818182,5.242287164e-01
0.828283,5.249073321e-01
0.838384,5.255859478e-01
0.848485,5.262645635e-01
0.858586,5.269431792e-01
0.868687,5.276217949e-01
0.878788,5.283004107e-01
0.888889,5.289790264e-01
0.898990,5.296576421e-01
0.909091,5.303362578e-01
0.919192,5.310148735e-01
0.929293,5.316934892e-01
0.939394,5.323721049e-01
0.949495,5.330507206e-01
0.959596,5.337293363e-01
0.969697,5.344079520e-01
0.979798,5.350865677e-01
0.989899,5.357651834e-01
1.000000,5.364437991e-01
