test_id,excluded,world_class_pass,summary_ok,manifest_ok,schema_domain,schema_status,schema_complete,missing_required,artifact_failures,energy_drift,primary_metric
COUP-01,False,True,True,True,coupling,validated,True,,,2.8233231941558782e-05,0.0010888569057818205
COUP-02,False,True,True,True,coupling,validated,True,,,0.0,0.1472683567149681
COUP-03,False,True,True,True,coupling,validated,True,,,0.049015272345121264,
COUP-04,False,True,True,True,coupling,validated,True,,,0.0002935715693971838,0.16149588069201126
COUP-05,False,True,True,True,coupling,validated,True,,,0.005202508865948619,0.018845160265398953
COUP-06,False,True,True,True,coupling,validated,True,,,0.012804802973554807,2.5479285348239955e-11
COUP-07,False,True,True,True,coupling,validated,True,,,0.018004432633606418,2.4985872343743014
COUP-08,False,True,True,True,coupling,validated,True,,,2.6168236908116203e-05,0.04064569651763151
COUP-09,False,True,True,True,coupling,validated,True,,,0.06719798086415277,0.1893665886706767
COUP-10,False,True,True,True,coupling,validated,True,,,9.348728891129568e-05,0.6902808389096966
COUP-11,False,True,True,True,coupling,validated,True,,,0.008633716452998425,0.8223027505294952
COUP-12,False,True,True,True,coupling,validated,True,,,4.682082207344366e-06,0.13137084989847608
EM-01,False,True,True,True,maxwell_equations,validated,True,,,,
EM-02,False,True,True,True,maxwell_equations,validated,True,,,,
EM-03,False,True,True,True,maxwell_equations,validated,True,,,,
EM-04,False,True,True,True,maxwell_equations,validated,True,,,,
EM-05,False,True,True,True,maxwell_equations,validated,True,,,,
EM-06,False,True,True,True,maxwell_equations,validated,True,,,,
EM-07,False,True,True,True,maxwell_equations,validated,True,,,,
EM-08,False,True,True,True,maxwell_equations,validated,True,,,,
EM-09,False,True,True,True,maxwell_equations,validated,True,,,,
EM-10,False,True,True,True,maxwell_equations,validated,True,,,,
EM-11,False,True,True,True,maxwell_equations,validated,True,,,,
EM-12,False,True,True,True,maxwell_equations,validated,True,,,,
EM-13,False,True,True,True,maxwell_equations,validated,True,,,,
EM-14,False,True,True,True,maxwell_equations,validated,True,,,,
EM-15,False,True,True,True,maxwell_equations,validated,True,,,,
EM-16,False,True,True,True,maxwell_equations,validated,True,,,,
EM-17,False,True,True,True,maxwell_equations,validated,True,,,,
EM-18,False,True,True,True,maxwell_equations,validated,True,,,,
EM-19,False,True,True,True,maxwell_equations,validated,True,,,,
EM-20,False,True,True,True,maxwell_equations,validated,True,,,,
EM-21,False,True,True,True,maxwell_equations,validated,True,,,,
ENER-01,False,True,True,True,energy_conservation,validated,True,,,0.0021498656572412904,
ENER-02,False,True,True,True,energy_conservation,validated,True,,,0.007110527209833629,
ENER-03,False,True,True,True,energy_conservation,validated,True,,,0.005627176952048953,
