step,energy,drift,timestamp
0,6.2036064664e-06,0.000000e+00,2025-11-05T01:46:09.897733Z
25,4.1635208558e-03,6.701452e+02,2025-11-05T01:46:09.994440Z
50,1.5691781846e-02,2.528461e+03,2025-11-05T01:46:10.089070Z
75,3.3678904483e-02,5.427923e+03,2025-11-05T01:46:10.182168Z
100,5.6729790047e-02,9.143647e+03,2025-11-05T01:46:10.280619Z
125,8.3114159973e-02,1.339672e+04,2025-11-05T01:46:10.369473Z
150,1.1094577703e-01,1.788308e+04,2025-11-05T01:46:10.453309Z
175,1.3837109017e-01,2.230394e+04,2025-11-05T01:46:10.535856Z
200,1.6374491657e-01,2.639412e+04,2025-11-05T01:46:10.620266Z
225,1.8577330145e-01,2.994502e+04,2025-11-05T01:46:10.698779Z
250,2.0360876576e-01,3.282003e+04,2025-11-05T01:46:10.773535Z
275,2.1688989877e-01,3.496090e+04,2025-11-05T01:46:10.853411Z
300,2.2572468082e-01,3.638504e+04,2025-11-05T01:46:10.931708Z
325,2.3062393389e-01,3.717478e+04,2025-11-05T01:46:11.015507Z
350,2.3239697618e-01,3.746059e+04,2025-11-05T01:46:11.100247Z
375,2.3202520805e-01,3.740066e+04,2025-11-05T01:46:11.182075Z
400,2.3053066319e-01,3.715975e+04,2025-11-05T01:46:11.269220Z
425,2.2885554117e-01,3.688973e+04,2025-11-05T01:46:11.347152Z
450,2.2776576239e-01,3.671406e+04,2025-11-05T01:46:11.427664Z
475,2.2778724643e-01,3.671752e+04,2025-11-05T01:46:11.512376Z
500,2.2917863885e-01,3.694181e+04,2025-11-05T01:46:11.596168Z
525,2.3193932854e-01,3.738682e+04,2025-11-05T01:46:11.672991Z
550,2.3584743778e-01,3.801679e+04,2025-11-05T01:46:11.755874Z
575,2.4051948361e-01,3.876991e+04,2025-11-05T01:46:11.837284Z
600,2.4548183276e-01,3.956983e+04,2025-11-05T01:46:11.922667Z
625,2.5024391911e-01,4.033746e+04,2025-11-05T01:46:12.002514Z
650,2.5436428271e-01,4.100165e+04,2025-11-05T01:46:12.088504Z
675,2.5750251307e-01,4.150752e+04,2025-11-05T01:46:12.171877Z
700,2.5945274874e-01,4.182189e+04,2025-11-05T01:46:12.261555Z
725,2.6015711066e-01,4.193543e+04,2025-11-05T01:46:12.351181Z
750,2.5969997343e-01,4.186174e+04,2025-11-05T01:46:12.435173Z
775,2.5828604355e-01,4.163382e+04,2025-11-05T01:46:12.531478Z
800,2.5620664406e-01,4.129863e+04,2025-11-05T01:46:12.613856Z
825,2.5379934060e-01,4.091058e+04,2025-11-05T01:46:12.698846Z
850,2.5140610829e-01,4.052480e+04,2025-11-05T01:46:12.772468Z
875,2.4933473562e-01,4.019090e+04,2025-11-05T01:46:12.844568Z
900,2.4782723319e-01,3.994790e+04,2025-11-05T01:46:12.918223Z
925,2.4703783249e-01,3.982065e+04,2025-11-05T01:46:13.001335Z
950,2.4702188416e-01,3.981808e+04,2025-11-05T01:46:13.084135Z
975,2.4773574321e-01,3.993315e+04,2025-11-05T01:46:13.158460Z
1000,2.4904666885e-01,4.014447e+04,2025-11-05T01:46:13.232513Z
1025,2.5075094363e-01,4.041919e+04,2025-11-05T01:46:13.307040Z
1050,2.5259786231e-01,4.071691e+04,2025-11-05T01:46:13.392780Z
1075,2.5431695939e-01,4.099402e+04,2025-11-05T01:46:13.471718Z
1100,2.5564581190e-01,4.120822e+04,2025-11-05T01:46:13.551983Z
1125,2.5635593319e-01,4.132269e+04,2025-11-05T01:46:13.629415Z
1150,2.5627461593e-01,4.130959e+04,2025-11-05T01:46:13.703215Z
1175,2.5530103887e-01,4.115265e+04,2025-11-05T01:46:13.773571Z
1200,2.5341548613e-01,4.084870e+04,2025-11-05T01:46:13.849168Z
1225,2.5068113071e-01,4.040794e+04,2025-11-05T01:46:13.933368Z
1250,2.4723848218e-01,3.985299e+04,2025-11-05T01:46:14.016972Z
1275,2.4329319598e-01,3.921703e+04,2025-11-05T01:46:14.094700Z
1300,2.3909838967e-01,3.854084e+04,2025-11-05T01:46:14.172125Z
1325,2.3493295996e-01,3.786938e+04,2025-11-05T01:46:14.261721Z
1350,2.3107777069e-01,3.724794e+04,2025-11-05T01:46:14.348890Z
1375,2.2779186770e-01,3.671826e+04,2025-11-05T01:46:14.427537Z
1400,2.2529084016e-01,3.631511e+04,2025-11-05T01:46:14.511672Z
1425,2.2372920186e-01,3.606338e+04,2025-11-05T01:46:14.600242Z
1450,2.2318840853e-01,3.597620e+04,2025-11-05T01:46:14.684001Z
1475,2.2367165923e-01,3.605410e+04,2025-11-05T01:46:14.767377Z
1500,2.2510589969e-01,3.628530e+04,2025-11-05T01:46:14.850671Z
1525,2.2735079291e-01,3.664716e+04,2025-11-05T01:46:14.934526Z
1550,2.3021380490e-01,3.710867e+04,2025-11-05T01:46:15.020461Z
1575,2.3346985688e-01,3.763354e+04,2025-11-05T01:46:15.101174Z
1600,2.3688355403e-01,3.818381e+04,2025-11-05T01:46:15.189719Z
1625,2.4023179821e-01,3.872354e+04,2025-11-05T01:46:15.281140Z
1650,2.4332447843e-01,3.922207e+04,2025-11-05T01:46:15.363671Z
1675,2.4602117059e-01,3.965677e+04,2025-11-05T01:46:15.448449Z
1700,2.4824223775e-01,4.001479e+04,2025-11-05T01:46:15.532629Z
1725,2.4997324661e-01,4.029383e+04,2025-11-05T01:46:15.624052Z
1750,2.5126237604e-01,4.050163e+04,2025-11-05T01:46:15.716722Z
1775,2.5221122788e-01,4.065458e+04,2025-11-05T01:46:15.823225Z
1800,2.5296009794e-01,4.077530e+04,2025-11-05T01:46:15.906484Z
1825,2.5366939954e-01,4.088963e+04,2025-11-05T01:46:15.992762Z
1850,2.5449928152e-01,4.102341e+04,2025-11-05T01:46:16.073353Z
1875,2.5558966252e-01,4.119917e+04,2025-11-05T01:46:16.154424Z
1900,2.5704287426e-01,4.143343e+04,2025-11-05T01:46:16.234421Z
1925,2.5891076656e-01,4.173452e+04,2025-11-05T01:46:16.317249Z
1950,2.6118768319e-01,4.210156e+04,2025-11-05T01:46:16.394093Z
1975,2.6381006203e-01,4.252427e+04,2025-11-05T01:46:16.482074Z
2000,2.6666268343e-01,4.298411e+04,2025-11-05T01:46:16.566687Z
2025,2.6959089648e-01,4.345612e+04,2025-11-05T01:46:16.652381Z
2050,2.7241745110e-01,4.391176e+04,2025-11-05T01:46:16.736341Z
2075,2.7496207588e-01,4.432194e+04,2025-11-05T01:46:16.827950Z
2100,2.7706160187e-01,4.466038e+04,2025-11-05T01:46:16.911900Z
2125,2.7858833680e-01,4.490648e+04,2025-11-05T01:46:17.004110Z
2150,2.7946458070e-01,4.504773e+04,2025-11-05T01:46:17.100215Z
2175,2.7967154092e-01,4.508109e+04,2025-11-05T01:46:17.189005Z
2200,2.7925153457e-01,4.501339e+04,2025-11-05T01:46:17.272248Z
2225,2.7830307921e-01,4.486050e+04,2025-11-05T01:46:17.360041Z
2250,2.7696926694e-01,4.464549e+04,2025-11-05T01:46:17.444264Z
2275,2.7542058409e-01,4.439585e+04,2025-11-05T01:46:17.527000Z
2300,2.7383396103e-01,4.414009e+04,2025-11-05T01:46:17.597204Z
2325,2.7237032130e-01,4.390416e+04,2025-11-05T01:46:17.677577Z
2350,2.7115309026e-01,4.370794e+04,2025-11-05T01:46:17.764275Z
2375,2.7025008517e-01,4.356238e+04,2025-11-05T01:46:17.849373Z
2400,2.6966088005e-01,4.346741e+04,2025-11-05T01:46:17.928570Z
2425,2.6931120240e-01,4.341104e+04,2025-11-05T01:46:18.013810Z
2450,2.6905525329e-01,4.336978e+04,2025-11-05T01:46:18.098818Z
2475,2.6868604260e-01,4.331026e+04,2025-11-05T01:46:18.179486Z
2500,2.6795301798e-01,4.319210e+04,2025-11-05T01:46:18.263804Z
2525,2.6658546450e-01,4.297166e+04,2025-11-05T01:46:18.347884Z
2550,2.6431957347e-01,4.260641e+04,2025-11-05T01:46:18.434106Z
2575,2.6092671575e-01,4.205949e+04,2025-11-05T01:46:18.522825Z
2600,2.5624027451e-01,4.130405e+04,2025-11-05T01:46:18.614046Z
2625,2.5017840507e-01,4.032690e+04,2025-11-05T01:46:18.715355Z
2650,2.4276035824e-01,3.913113e+04,2025-11-05T01:46:18.791487Z
2675,2.3411455966e-01,3.773746e+04,2025-11-05T01:46:18.874936Z
2700,2.2447726963e-01,3.618396e+04,2025-11-05T01:46:18.955727Z
2725,2.1418140036e-01,3.452430e+04,2025-11-05T01:46:19.030957Z
2750,2.0363596371e-01,3.282442e+04,2025-11-05T01:46:19.113574Z
2775,1.9329756727e-01,3.115790e+04,2025-11-05T01:46:19.188728Z
2800,1.8363617530e-01,2.960052e+04,2025-11-05T01:46:19.273838Z
2825,1.7509803016e-01,2.822420e+04,2025-11-05T01:46:19.350198Z
2850,1.6806917750e-01,2.709117e+04,2025-11-05T01:46:19.419686Z
2875,1.6284318856e-01,2.624876e+04,2025-11-05T01:46:19.492362Z
2900,1.5959645696e-01,2.572540e+04,2025-11-05T01:46:19.568213Z
2925,1.5837391259e-01,2.552833e+04,2025-11-05T01:46:19.637198Z
2950,1.5908707265e-01,2.564329e+04,2025-11-05T01:46:19.700559Z
2975,1.6152505637e-01,2.603628e+04,2025-11-05T01:46:19.778922Z
3000,1.6537780949e-01,2.665733e+04,2025-11-05T01:46:19.854502Z
3025,1.7026936736e-01,2.744584e+04,2025-11-05T01:46:19.930972Z
3050,1.7579764974e-01,2.833698e+04,2025-11-05T01:46:20.013347Z
3075,1.8157638389e-01,2.926849e+04,2025-11-05T01:46:20.096804Z
3100,1.8727433027e-01,3.018698e+04,2025-11-05T01:46:20.180926Z
3125,1.9264711729e-01,3.105305e+04,2025-11-05T01:46:20.255951Z
3150,1.9755779787e-01,3.184464e+04,2025-11-05T01:46:20.341723Z
3175,2.0198359047e-01,3.255806e+04,2025-11-05T01:46:20.422542Z
3200,2.0600793213e-01,3.320677e+04,2025-11-05T01:46:20.506209Z
3225,2.0979889485e-01,3.381786e+04,2025-11-05T01:46:20.592246Z
3250,2.1357681922e-01,3.442685e+04,2025-11-05T01:46:20.675827Z
3275,2.1757544525e-01,3.507141e+04,2025-11-05T01:46:20.758231Z
3300,2.2200176647e-01,3.578492e+04,2025-11-05T01:46:20.833802Z
3325,2.2700000702e-01,3.659062e+04,2025-11-05T01:46:20.907734Z
3350,2.3262456255e-01,3.749728e+04,2025-11-05T01:46:20.978137Z
3375,2.3882555739e-01,3.849686e+04,2025-11-05T01:46:21.051886Z
3400,2.4544892367e-01,3.956452e+04,2025-11-05T01:46:21.129474Z
3425,2.5225091318e-01,4.066098e+04,2025-11-05T01:46:21.210852Z
3450,2.5892499959e-01,4.173682e+04,2025-11-05T01:46:21.286918Z
3475,2.6513739500e-01,4.273824e+04,2025-11-05T01:46:21.370024Z
3500,2.7056626804e-01,4.361335e+04,2025-11-05T01:46:21.447233Z
3525,2.7493927707e-01,4.431826e+04,2025-11-05T01:46:21.530146Z
3550,2.7806427942e-01,4.482200e+04,2025-11-05T01:46:21.607805Z
3575,2.7984908674e-01,4.510971e+04,2025-11-05T01:46:21.684741Z
3600,2.8030765028e-01,4.518363e+04,2025-11-05T01:46:21.743753Z
3625,2.7955196817e-01,4.506181e+04,2025-11-05T01:46:21.799751Z
3650,2.7777101245e-01,4.477473e+04,2025-11-05T01:46:21.862966Z
3675,2.7519974054e-01,4.436025e+04,2025-11-05T01:46:21.927814Z
3700,2.7208261172e-01,4.385778e+04,2025-11-05T01:46:21.997968Z
3725,2.6863675214e-01,4.330232e+04,2025-11-05T01:46:22.072617Z
3750,2.6501995413e-01,4.271930e+04,2025-11-05T01:46:22.136161Z
3775,2.6130809599e-01,4.212097e+04,2025-11-05T01:46:22.207202Z
3800,2.5748528355e-01,4.150474e+04,2025-11-05T01:46:22.273161Z
3825,2.5344830089e-01,4.085399e+04,2025-11-05T01:46:22.335194Z
3850,2.4902503485e-01,4.014098e+04,2025-11-05T01:46:22.398459Z
3875,2.4400466565e-01,3.933171e+04,2025-11-05T01:46:22.461381Z
3900,2.3817584774e-01,3.839213e+04,2025-11-05T01:46:22.523703Z
3925,2.3136792999e-01,3.729471e+04,2025-11-05T01:46:22.587067Z
3950,2.2348977831e-01,3.602478e+04,2025-11-05T01:46:22.659561Z
3975,2.1456098617e-01,3.458549e+04,2025-11-05T01:46:22.722927Z
4000,2.0473110870e-01,3.300095e+04,2025-11-05T01:46:22.793050Z
4025,1.9428395393e-01,3.131690e+04,2025-11-05T01:46:22.864629Z
4050,1.8362574159e-01,2.959884e+04,2025-11-05T01:46:22.933498Z
4075,1.7325791614e-01,2.792758e+04,2025-11-05T01:46:23.006237Z
4100,1.6373723800e-01,2.639288e+04,2025-11-05T01:46:23.086661Z
4125,1.5562728583e-01,2.508558e+04,2025-11-05T01:46:23.150905Z
4150,1.4944658757e-01,2.408928e+04,2025-11-05T01:46:23.217438Z
4175,1.4561900667e-01,2.347228e+04,2025-11-05T01:46:23.279632Z
4200,1.4443174648e-01,2.328090e+04,2025-11-05T01:46:23.347556Z
4225,1.4600548184e-01,2.353458e+04,2025-11-05T01:46:23.409734Z
4250,1.5027977294e-01,2.422358e+04,2025-11-05T01:46:23.473463Z
4275,1.5701520925e-01,2.530931e+04,2025-11-05T01:46:23.537714Z
4300,1.6581189146e-01,2.672731e+04,2025-11-05T01:46:23.597688Z
4325,1.7614219716e-01,2.839252e+04,2025-11-05T01:46:23.661420Z
4350,1.8739433838e-01,3.020632e+04,2025-11-05T01:46:23.721053Z
4375,1.9892224605e-01,3.206458e+04,2025-11-05T01:46:23.780947Z
4400,2.1009692310e-01,3.386590e+04,2025-11-05T01:46:23.843224Z
4425,2.2035450650e-01,3.551939e+04,2025-11-05T01:46:23.902911Z
4450,2.2923687735e-01,3.695120e+04,2025-11-05T01:46:23.964776Z
4475,2.3642165310e-01,3.810936e+04,2025-11-05T01:46:24.039701Z
4500,2.4173961211e-01,3.896659e+04,2025-11-05T01:46:24.107673Z
4525,2.4517885264e-01,3.952099e+04,2025-11-05T01:46:24.182200Z
4550,2.4687621091e-01,3.979460e+04,2025-11-05T01:46:24.269472Z
4575,2.4709747913e-01,3.983026e+04,2025-11-05T01:46:24.342736Z
4600,2.4620868054e-01,3.968699e+04,2025-11-05T01:46:24.410049Z
4625,2.4464115733e-01,3.943431e+04,2025-11-05T01:46:24.473295Z
4650,2.4285341693e-01,3.914613e+04,2025-11-05T01:46:24.542564Z
4675,2.4129263801e-01,3.889454e+04,2025-11-05T01:46:24.609805Z
4700,2.4035856859e-01,3.874397e+04,2025-11-05T01:46:24.676168Z
4725,2.4037221157e-01,3.874617e+04,2025-11-05T01:46:24.739734Z
4750,2.4155128440e-01,3.893624e+04,2025-11-05T01:46:24.802069Z
4775,2.4399399280e-01,3.932999e+04,2025-11-05T01:46:24.863170Z
