step,time_s,detector_value
0,0.0,-2.6337090342232277e-12
1,0.01,-2.6247655522249674e-12
2,0.02,-2.6165666701096017e-12
3,0.03,-2.6091012856999805e-12
4,0.04,-2.602357915844509e-12
5,0.05,-2.5963246881111765e-12
6,0.06,-2.590989331911168e-12
7,0.07,-2.586339169048385e-12
8,0.08,-2.5823611036908764e-12
9,0.09,-2.5790416117598757e-12
10,0.1,-2.5763667297318253e-12
11,0.11,-2.5743220428484564e-12
12,0.12,-2.572892672729677e-12
13,0.13,-2.572063264383707e-12
14,0.14,-2.571817972608576e-12
15,0.15,-2.5721404477787965e-12
16,0.16,-2.5730138210106884e-12
17,0.17,-2.5744206886995224e-12
18,0.18,-2.5763430964213268e-12
19,0.19,-2.5787625221918766e-12
20,0.2,-2.581659859075061e-12
21,0.21,-2.5850153971324996e-12
22,0.22,-2.5888088047059495e-12
23,0.23,-2.5930191090237186e-12
24,0.24,-2.597624676121966e-12
25,0.25,-2.602603190071442e-12
26,0.26,-2.6079316314998777e-12
27,0.27,-2.61358625539991e-12
28,0.28,-2.6195425682120758e-12
29,0.29,-2.6257753041720763e-12
30,0.3,-2.6322584009111687e-12
31,0.31,-2.6389649742981925e-12
32,0.32,-2.6458672925113937e-12
33,0.33,-2.6529367493278616e-12
34,0.34,-2.660143836618033e-12
35,0.35000000000000003,-2.6674581160323728e-12
36,0.36,-2.6748481898669715e-12
37,0.37,-2.68228167109445e-12
38,0.38,-2.689725152546191e-12
39,0.39,-2.6971441752315495e-12
40,0.4,-2.704503195779336e-12
41,0.41000000000000003,-2.7117655529864764e-12
42,0.42,-2.718893433458396e-12
43,0.43,-2.725847836325279e-12
44,0.44,-2.7325885370179877e-12
45,0.45,-2.7390740500870316e-12
46,0.46,-2.7452615910475887e-12
47,0.47000000000000003,-2.7511070372331966e-12
48,0.48,-2.756564887640325e-12
49,0.49,-2.7615882217456545e-12
50,0.5,-2.7661286572774685e-12
51,0.51,-2.7701363069221794e-12
52,0.52,-2.77355973394658e-12
53,0.53,-2.7763459067160095e-12
54,0.54,-2.7784401520882046e-12
55,0.55,-2.7797861076621797e-12
