step,time_s,detector_value
0,0.0,-2.6337090342232277e-12
1,0.01,-2.6247655522249674e-12
2,0.02,-2.6165666701096017e-12
3,0.03,-2.6091012857000822e-12
4,0.04,-2.602357915845337e-12
5,0.05,-2.5963246881149586e-12
6,0.06,-2.5909893319239594e-12
7,0.07,-2.5863391690840677e-12
8,0.08,-2.5823611037777296e-12
9,0.09,-2.579041611950691e-12
10,0.1,-2.5763667301187297e-12
11,0.11,-2.574322043583804e-12
12,0.12,-2.5728926740545922e-12
13,0.13,-2.57206326666608e-12
14,0.14,-2.5718179763925657e-12
15,0.15,-2.5721404538481373e-12
16,0.16,-2.5730138304683742e-12
17,0.17,-2.5744207030667207e-12
18,0.18,-2.576343117758671e-12
19,0.19,-2.578762553246595e-12
20,0.2,-2.5816599034577245e-12
21,0.21,-2.5850154595275103e-12
22,0.22,-2.5888088911202476e-12
23,0.23,-2.5930192270785483e-12
24,0.24,-2.5976248353929314e-12
25,0.25,-2.6026034024824762e-12
26,0.26,-2.6079319117771722e-12
27,0.27,-2.613586621592275e-12
28,0.28,-2.619543042284652e-12
29,0.29,-2.6257759126807872e-12
30,0.3,-2.632259175765775e-12
31,0.31,-2.6389659536223137e-12
32,0.32,-2.645868521608382e-12
33,0.33,-2.6529382817619354e-12
34,0.34,-2.6601457354206405e-12
35,0.35000000000000003,-2.6674604550443197e-12
36,0.36,-2.674851055227441e-12
37,0.37,-2.682285162888647e-12
38,0.38,-2.689729386623977e-12
39,0.39,-2.697149285210079e-12
40,0.4,-2.7045093352433747e-12
41,0.41000000000000003,-2.7117728979007767e-12
42,0.42,-2.7189021848072085e-12
43,0.43,-2.7258582229948217e-12
44,0.44,-2.7326008189384435e-12
45,0.45,-2.7390885216514252e-12
46,0.46,-2.7452785848257002e-12
47,0.47000000000000003,-2.7511269279994866e-12
48,0.48,-2.7565880967357056e-12
49,0.49,-2.761615221793806e-12
50,0.5,-2.7661599772773126e-12
51,0.51,-2.7701725377390333e-12
52,0.52,-2.7736015342254794e-12
53,0.53,-2.776394009241662e-12
54,0.54,-2.7784953706170435e-12
55,0.55,-2.7798493442530255e-12
