step,x_peak,max_amplitude
0,1,0.017657264372699762
25,1,0.017686298808082555
50,1,0.016479702147432253
75,2,0.017082667451882885
100,2,0.01722200257017325
125,2,0.016767606893479323
150,3,0.01595609654971492
175,3,0.016690717961624177
200,3,0.017028381439702502
225,3,0.0168911832444809
250,4,0.017727455947490083
275,4,0.0186374771817034
300,4,0.01912143867162819
325,4,0.019115328558377144
350,5,0.019649374199130386
375,5,0.02037512919866642
400,5,0.020673707679453885
425,5,0.020499011108793548
450,6,0.020079911261967585
475,6,0.020667479947150225
500,6,0.020861211949439448
525,6,0.020620757769638832
550,6,0.01992045300200176
575,7,0.020489422050371856
600,7,0.020688211765030152
625,7,0.020473560291078215
650,7,0.019821423475670976
675,8,0.0203097822980167
700,8,0.020528775913757156
725,8,0.020347135030869185
750,8,0.01974276326726381
775,9,0.020147080876312787
800,9,0.02038541795570816
825,9,0.020234199435951034
850,9,0.01967268428683037
875,10,0.01999105630984115
900,10,0.02024894938739151
925,10,0.020127095315755357
950,10,0.019605612255320082
975,11,0.019839647156559368
1000,11,0.020117220359413376
1025,11,0.02002385741432979
1050,11,0.019540194016550612
1075,12,0.019691734577600692
1100,12,0.01998890391888314
1125,12,0.019923193342136034
1150,12,0.019475505066928307
1175,13,0.01954649105875729
1200,13,0.0198630254016499
1225,13,0.01982415504195435
1250,13,0.019410861675187782
1275,14,0.019403301237926728
1300,14,0.01973886155619019
1325,14,0.019726038275618737
1350,14,0.01934575248735493
1375,15,0.019261705070635522
1400,15,0.01961587127435785
1425,15,0.019628315187371386
1450,15,0.0192797925688984
1475,16,0.01912135860727371
1500,16,0.019493648730403285
1525,16,0.019530589051543402
1550,16,0.019212692428264233
1575,17,0.018982006113744787
1600,17,0.01937189060076157
1625,17,0.019432562824017074
1650,17,0.019144236374060725
1675,18,0.01884345972435456
1700,18,0.019250372455985224
1725,18,0.01933401660690502
1750,18,0.019074266900798085
1775,19,0.01870558425265631
1800,19,0.01912893132137116
1825,19,0.019234791054649876
1850,19,0.019002673088427634
1875,20,0.01856828563422348
1900,20,0.019007452508553846
1925,20,0.019134774857448158
1950,20,0.018929381750814715
1975,21,0.01843150199153244
2000,21,0.018885859483242992
2025,21,0.019033895098962687
2050,21,0.018854350518499787
2075,21,0.018336428924184717
2100,22,0.01876410594364484
2125,22,0.018932109691265353
2150,22,0.018777562318368357
2175,22,0.018288973449405957
2200,23,0.018642169544071236
2225,23,0.018829401346174876
2250,23,0.018699020887928613
2275,23,0.018238858206304203
2300,24,0.01852004686745504
2325,24,0.018725772707751623
2350,24,0.0186187470747997
2375,24,0.018186137921722606
