x_index,x_position,E_init,Eprev_init,E_dot_analytic,E_dot_from_pair,envelope,carrier_cos,chi_field
0,0.0,-0.005611117445682736,-0.005194411631652487,-0.007988188528168412,-0.008334116280604986,0.9231163463866358,-0.9792584688181541,0.05000000074505806
1,1.0,0.0026008474114907133,0.003027740982745934,-0.008534793837943732,-0.008537871425104409,0.9459594689067654,-0.9957915031106371,0.05000000074505806
2,2.0,0.010942417874080452,0.011353147522629035,-0.008233188057949979,-0.008214592970971664,0.9650691177896804,-0.9258262665087622,0.05000000074505806
3,3.0,0.018567540904160233,0.018919836968669303,-0.007084873730270736,-0.007045921290181403,0.9801986733067553,-0.7754402079261544,0.05000000074505806
4,4.0,0.024680985186211923,0.0249377650972742,-0.005191167968566223,-0.005135598221245527,0.9911505004882849,-0.5576964374550153,0.05000000074505806
5,5.0,0.028633342042769124,0.028767182279110695,-0.002743236783318923,-0.0026768047268314193,0.9977802450856064,-0.2915090144992832,0.05000000074505806
6,6.0,0.03,0.029996489605100287,0.0,7.020789799423721e-05,1.0,0.0,0.05000000074505806
7,7.0,0.028633342042769124,0.028492858600778805,0.002743236783318923,0.0028096688398063924,0.9977802450856064,0.2915090144992832,0.05000000074505806
8,8.0,0.024680985186211923,0.024418648300417577,0.005191167968566223,0.0052467377158869205,0.9911505004882849,0.5576964374550153,0.05000000074505806
9,9.0,0.018567540904160233,0.018211349595642228,0.007084873730270736,0.007123826170360101,0.9801986733067553,0.7754402079261544,0.05000000074505806
10,10.0,0.010942417874080452,0.010529828716834038,0.008233188057949979,0.00825178314492827,0.9650691177896804,0.9258262665087622,0.05000000074505806
11,11.0,0.0026008474114907133,0.002174261598951561,0.008534793837943732,0.008531716250783049,0.9459594689067654,0.9957915031106371,0.05000000074505806
12,12.0,-0.005611117445682736,-0.006009349135252973,0.007988188528168412,0.007964633791404732,0.9231163463866358,0.9792584688181541,0.05000000074505806
13,13.0,-0.01289492062691626,-0.013227315818136593,0.006688469170039712,0.0066479038244066785,0.8968300597468688,0.8776632864285752,0.05000000074505806
14,14.0,-0.018588347286678093,-0.01882631951185707,0.004811804331012718,0.004759444503579582,0.8674284731834108,0.6998309033133572,0.05000000074505806
15,15.0,-0.022233851720619955,-0.022360465712000743,0.002590188724405192,0.002532279827615752,0.835270211411272,0.4612085226274165,0.05000000074505806
16,16.0,-0.02361858491621919,-0.023629752645826924,0.0002803498674493139,0.00022335459215469533,0.8007374029168081,0.18252379997089918,0.05000000074505806
17,17.0,-0.022782553566503865,-0.022686609784848086,-0.001868684713198237,-0.0019188756331155882,0.7642281651714904,-0.11201564030997238,0.05000000074505806
18,18.0,-0.019995841808042147,-0.01981165954152153,-0.0036449154915867282,-0.003683645330412322,0.7261490370736909,-0.39682497226026503,0.05000000074505806
19,19.0,-0.015709926104613303,-0.015463917577269044,-0.0048958691762508,-0.0049201705468851845,0.6869075574573879,-0.6471645644698669,0.05000000074505806
20,20.0,-0.010491230393850417,-0.010213702205063274,-0.005541764958537738,-0.00555056377574286,0.6469051754643523,-0.8412889593857796,0.05000000074505806
21,21.0,-0.004946810072724502,-0.0046681894586901905,-0.0055783500302240396,-0.00557241228068623,0.6065306597126334,-0.962335767194285,0.05000000074505806
22,22.0,0.0003477332408324079,0.0006003127148698408,-0.0050699375025962745,-0.0050515894807486575,0.5661541495171976,-0.9997903977025464,0.05000000074505806
23,23.0,0.004909225013648199,0.005114584219753298,-0.004134502695331626,-0.0041071841221019915,0.5261219640934565,-0.950399397988108,0.05000000074505806
24,24.0,0.008390246920681238,0.008534814422533486,-0.002923623257156649,-0.0028913500370449444,0.4867522559599717,-0.8184530598035076,0.05000000074505806
25,25.0,0.010601315642033322,0.010679680511694394,-0.0016004796371302374,-0.0015672973932214299,0.44833156394094303,-0.6154127483724471,0.05000000074505806
26,26.0,0.011511597898015077,0.011526025444594796,-0.00031904930098004846,-0.0002885509315943627,0.41111229050718745,-0.3589153242282578,0.05000000074505806
27,27.0,0.011230724375351895,0.011189827431036786,0.0007929017586809767,0.0008179388863021816,0.37531109885139957,-0.07124113783388604,0.05000000074505806
28,28.0,0.009976442560765762,0.009893287685083123,0.001645272350860127,0.0016630975136527892,0.341108198096592,0.22262132715086155,0.05000000074505806
29,29.0,0.00803409534264041,0.007924060152916319,0.0021907621107174935,0.0022007037944818397,0.30864746123661896,0.4971460494428828,0.05000000074505806
30,30.0,0.00571416601371866,0.005592851998524666,0.002423904416624345,0.002426280303879872,0.27803730045319414,0.7284867582898807,0.05000000074505806
31,31.0,0.003313486610621239,0.003194939602452494,0.0023750224788203697,0.002370940163374897,0.24935220877729622,0.8965483120480142,0.05000000074505806
32,32.0,0.0010843835424553315,0.0009797948099509273,0.0021006829150355885,0.0020917746500880843,0.22263486587889095,0.9867322392918025,0.05000000074505806
33,33.0,-0.0007856779687622517,-0.0008687078518062837,0.001672460625270388,0.0016605976608806416,0.19789869908361465,0.9912048180576798,0.05000000074505806
34,34.0,-0.0021831850994508944,-0.002240824970650607,0.0011657700137280534,0.0011527974239942517,0.17513078834515097,0.9095775429923881,0.05000000074505806
35,35.0,-0.0030672466039224247,-0.003099133557609512,0.0006502159369753466,0.0006377390737417454,0.15429500550156833,0.7489408724186887,0.05000000074505806
36,36.0,-0.0034599016961022453,-0.003468486641471693,0.00018245776403882813,0.00017169890738895008,0.1353352832366127,0.5232483239187735,0.05000000074505806
37,37.0,-0.0034308522771392684,-0.003420541669844048,-0.00019794291061116337,-0.00020621214590441084,0.11817891718178056,0.2521044182562776,0.05000000074505806
38,38.0,-0.0030796105777464635,-0.003055707555873809,-0.0004697169259249215,-0.00047806043745308655,0.10273981490249434,-0.04093824452141462,0.20000000298023224
39,39.0,-0.002517812849055966,-0.0024861317149845108,-0.0006285514314653818,-0.0006336226814291062,0.08892161745938634,-0.3304248542965544,0.20000000298023224
40,40.0,-0.0018538776429073904,-0.001819578666140331,-0.0006839128605036314,-0.0006859795353411895,0.07662063218049349,-0.5912094933600636,0.20000000298023224
41,41.0,-0.0011814305542216241,-0.00114870884052958,-0.0006548312884135194,-0.0006544342738408829,0.06572852861653047,-0.8006394073107063,0.20000000298023224
42,42.0,-0.0005721212739550738,-0.000543958922555793,-0.0005654232428632505,-0.0005632470279856149,0.056134762834133725,-0.9405227102228683,0.20000000298023224
43,43.0,-7.274544137202097e-05,-5.0867693902012414e-05,-0.00044079890548772083,-0.00043755494940017116,0.04772870776316415,-0.9987086016618228,0.20000000298023224
44,44.0,0.00029396232984820977,0.00030896930142971504,-0.00030380427231743674,-0.0003001394316301054,0.04040147887416324,-0.9701428318331156,0.20000000298023224
45,45.0,0.0005258349676013845,0.0005342983664004407,-0.00017283209624466213,-0.00016926797598112346,0.034047454734599344,-0.8573067331132842,0.20000000298023224
46,46.0,0.0006361761950057418,0.0006390580830276628,-6.073427995767484e-05,-5.763776043842027e-05,0.028565500784550377,-0.6700016819985549,0.20000000298023224
47,47.0,0.0006481036912412931,0.0006467181967489853,2.5290778226501352e-05,2.7709889846155855e-05,0.023859911879380247,-0.4244977139336902,0.20000000298023224
48,48.0,0.0005891908721752315,0.0005849540453848085,8.306561507894222e-05,8.473653580846072e-05,0.019841094744370288,-0.1421202456037882,0.20000000298023224
49,49.0,0.0004870088604835954,0.0004812443024766491,0.00011433085730230763,0.00011529116013892535,0.016426015518885544,0.1526023325863687,0.20000000298023224
50,50.0,0.00036589509112543677,0.0003597050210603913,0.00012344161926011756,0.00012380140130090894,0.013538440136652357,0.43406928662033106,0.20000000298023224
51,51.0,0.0002450258448165791,0.00023922599361798536,0.00011608997998043795,0.000115997023971875,0.011108996538242306,0.6778313168587802,0.20000000298023224
52,52.0,0.0001376758733366051,0.00013278454756946657,9.821625652115403e-05,9.78265153427706e-05,0.00907508781565156,0.8627143180201798,0.20000000298023224
53,53.0,5.142258431523544e-05,4.7689727614961775e-05,7.520134631451748e-05,7.465713400547333e-05,0.00738068453767425,0.9726586432123191,0.20000000298023224
54,54.0,-1.1005308826172347e-05,-1.3544525943643584e-05,5.136781352421394e-05,5.0784342349424756e-05,0.005976022895005943,0.9981141064835605,0.20000000298023224
55,55.0,-5.053456736021815e-05,-5.199588018384793e-05,2.9766693402223246e-05,2.922625647259569e-05,0.004817233128106186,0.9368695486194506,0.20000000298023224
56,56.0,-7.046773154664875e-05,-7.10550396864592e-05,1.2193915254620596e-05,1.1746162796208947e-05,0.0038659201394728076,0.7942449069164889,0.20000000298023224
57,57.0,-7.530950685798536e-05,-7.52610648525599e-05,-6.352202516551842e-07,-9.688401085092431e-07,0.0030887154082367687,0.5826291050155137,0.20000000298023224
58,58.0,-6.98188683826929e-05,-6.936660753737513e-05,-8.825665720265963e-06,-9.045216906355459e-06,0.0024568164604892874,0.3204039034569377,0.20000000298023224
59,59.0,-5.83389373968098e-05,-5.768202581385748e-05,-1.3018483107177496e-05,-1.3138231659046406e-05,0.0019455273214659288,0.030347189427875527,0.20000000298023224
60,60.0,-4.440262199721508e-05,-4.369408422595183e-05,-1.4129074485965032e-05,-1.417075542526502e-05,0.001533810679324463,-0.2623455979195619,0.20000000298023224
61,61.0,-3.05751740312232e-05,-2.9918995269453753e-05,-1.3136186542442096e-05,-1.3123575235388947e-05,0.001203859994828203,-0.5322500399899988,0.20000000298023224
62,62.0,-1.8475185395172557e-05,-1.7930741170094895e-05,-1.0933792713582291e-05,-1.088888450155324e-05,0.0009406975448679032,-0.7559212012995808,0.20000000298023224
63,63.0,-8.910532708397169e-06,-8.50123864045536e-06,-8.24510890598459e-06,-8.18588135883617e-06,0.0007318024188804728,-0.9139301465322549,0.20000000298023224
64,64.0,-2.0714032411218673e-06,-1.7950526954836651e-06,-5.589436869748577e-06,-5.527010912764043e-06,0.0005667708074866478,-0.9925516124117496,0.05000000074505806
65,65.0,2.2655094383025927e-06,2.427348709806072e-06,-3.288159476212215e-06,-3.2367854300695896e-06,0.0004370095298997473,-0.9849562367347197,0.05000000074505806
66,66.0,4.553124046018854e-06,4.6259846924754584e-06,-1.495317338512953e-06,-1.4572129291320897e-06,0.00033546262790251185,-0.8918037829765553,0.05000000074505806
67,67.0,5.327945089420743e-06,5.338672400652156e-06,-2.3975182054240337e-07,-2.1454622462826063e-07,0.00025636998860554324,-0.7211858307043423,0.05000000074505806
68,68.0,5.107862159923402e-06,5.080587690677318e-06,5.312614893502442e-07,5.454893849216715e-07,0.00019505631968129753,-0.48792290992760695,0.05000000074505806
69,69.0,4.331433063872941e-06,4.285461652029037e-06,9.135657817738024e-07,9.194282368780763e-07,0.00014774836023203364,-0.21227713299409198,0.05000000074505806
70,70.0,3.3313343470774658e-06,3.280507614339351e-06,1.0163597913828856e-06,1.0165346547622933e-06,0.00011141793776294907,0.08180785023616573,0.05000000074505806
71,71.0,2.3325694315629297e-06,2.2856242840763585e-06,9.420639775878996e-07,9.38902949731424e-07,8.364834722972752e-05,0.36878668969143813,0.05000000074505806
72,72.0,1.4660770542992163e-06,1.4275600260673761e-06,7.750038684481284e-07,7.703405646368039e-07,6.252150377482026e-05,0.6237313022151524,0.05000000074505806
73,73.0,7.897820223836674e-07,7.611708835731964e-07,5.771153150342731e-07,5.722227762094215e-07,4.65233809526075e-05,0.824496220519983,0.05000000074505806
74,74.0,3.1116299865788367e-07,2.919540743980967e-07,3.885337353378086e-07,3.84178485195739e-07,3.446536829740839e-05,0.9536422334504141,0.05000000074505806
75,75.0,7.531888166619737e-09,-3.847442570587851e-09,2.310404325239607e-07,2.2758661474415176e-07,2.5419346516199247e-05,0.9999512227794,0.05000000074505806
76,76.0,-1.5792768141053695e-07,-1.6343981146603815e-07,1.1271448085258532e-07,1.1024260111002394e-07,1.866446911352057e-05,0.9594006120024117,0.05000000074505806
77,77.0,-2.2490688051669545e-07,-2.2645864765920825e-07,3.261847416015727e-08,3.10353428502561e-08,1.3643842701763781e-05,0.8355127827675779,0.05000000074505806
78,78.0,-2.2912309446787882e-07,-2.2832021376568316e-07,-1.5184925914712785e-08,-1.605761404391318e-08,9.929504305851081e-06,0.6390491072900601,0.05000000074505806
79,79.0,-1.990045910277612e-07,-1.970564464907158e-07,-3.8600272880404406e-08,-3.896289074090779e-08,7.194294891475077e-06,0.3870751742691702,0.05000000074505806
80,80.0,-1.5487888468029522e-07,-1.5260278482675603e-07,-4.548596501266774e-08,-4.552199707078389e-08,5.189418606715284e-06,0.10147840637187588,0.05000000074505806
81,81.0,-1.0969909324727916e-07,-1.0757996580399657e-07,-4.2525876459877686e-08,-4.2382548865651755e-08,3.726653172078671e-06,-0.19293316528389862,0.05000000074505806
82,82.0,-7.052665333582694e-08,-6.87988413021033e-08,-3.477333049250432e-08,-3.4556240674472886e-08,2.6643363505138902e-06,-0.4705858219026381,0.05000000074505806
83,83.0,-4.02141227914532e-08,-3.894317151675643e-08,-2.56426154064943e-08,-2.541902549393536e-08,1.8963955441534223e-06,-0.707361588354284,0.05000000074505806
84,84.0,-1.8945724063530725e-08,-1.809782427196832e-08,-1.7151554219276902e-08,-1.6957995831248072e-08,1.3438122776315214e-06,-0.8826932130366925,0.05000000074505806
85,85.0,-5.46702517027395e-09,-4.961183093187177e-09,-1.0265757606119315e-08,-1.0116841541735469e-08,9.480212788595793e-07,-0.9813507182680374,0.05000000074505806
86,86.0,2.0413635837360922e-09,2.298463741423485e-09,-5.245484105446591e-09,-5.142003153747852e-09,6.658361469857315e-07,-0.9947643345869357,0.05000000074505806
87,87.0,5.415617679117024e-09,5.509386479131887e-09,-1.9399909995659493e-09,-1.875376000297268e-09,4.6557157157830866e-07,-0.9217689038107753,0.05000000074505806
88,88.0,6.218810848907094e-09,6.217430013249548e-09,-7.50537991092055e-12,2.7616713150905053e-11,3.240972466449999e-07,-0.7687050891462645,0.05000000074505806
89,89.0,5.6326673244469364e-09,5.584957305420005e-09,9.39221403735893e-10,9.542003805386347e-10,2.2461255678315897e-07,-0.5488686008536503,0.05000000074505806
90,90.0,4.46144639718488e-09,4.398817353202771e-09,1.249882204501224e-09,1.252580879642167e-09,1.5497531357028967e-07,-0.28135527983677516,0.05000000074505806
91,91.0,3.1934320810673843e-09,3.1336337933935455e-09,1.1996874325403454e-09,1.1959657534767769e-09,1.0645371411076024e-07,0.010597640370147831,0.05000000074505806
92,92.0,2.082268508260504e-09,2.033460598531278e-09,9.823842896027008e-10,9.76158194584522e-10,7.279958694767383e-08,0.3016300088704992,0.05000000074505806
93,93.0,1.2253544078199884e-09,1.1896820041826563e-09,7.198619651057649e-10,7.134480727466405e-10,4.956405319172498e-08,0.5664616374211251,0.05000000074505806
94,94.0,6.280593879808088e-10,6.043982395500836e-10,4.78673514862316e-10,4.732229686145043e-10,3.359498997812279e-08,0.7820882345853062,0.05000000074505806
95,95.0,2.503563666351526e-10,2.361936842150881e-10,2.873479100691164e-10,2.8325364840128916e-10,2.2670026075156666e-08,0.9297796467563152,0.05000000074505806
96,96.0,3.704970296348231e-11,2.9627001213518735e-11,1.5123102355631596e-10,1.4845403499927148e-10,1.522997974471263e-08,0.9967068311688426,0.05000000074505806
97,97.0,-6.508479416244391e-11,-6.818074451220587e-11,6.361827668208991e-11,6.191900699523914e-11,1.0186299332860577e-08,0.9770562357796873,0.05000000074505806
98,98.0,-9.94112158112628e-11,-1.0002460652672401e-10,1.3183757493992086e-11,1.22678143092243e-11,6.78271149864835e-09,0.8725347867053069,0.05000000074505806
99,99.0,-9.734843812648723e-11,-9.67451865030336e-11,-1.1662333788557723e-11,-1.2065032469072533e-11,4.49634946228087e-09,0.6922216180697274,0.05000000074505806
100,100.0,-7.942108433366386e-11,-7.838346958206705e-11,-2.0650496683358758e-11,-2.0752295031936247e-11,2.9674716127018893e-09,0.45177942357714224,0.05000000074505806
101,101.0,-5.7620349322626565e-11,-5.65744407626108e-11,-2.0968426247805937e-11,-2.0918171200315306e-11,1.9497677860172307e-09,0.17209393483771834,0.05000000074505806
102,102.0,-3.7973867094715e-11,-3.711018787662994e-11,-1.7382167590605674e-11,-1.7273584361701173e-11,1.2754076295260442e-09,-0.12254029342034206,0.05000000074505806
103,103.0,-2.2765648697440734e-11,-2.2135577381169815e-11,-1.2716178198303412e-11,-1.2601426325418368e-11,8.305866239949058e-10,-0.40653020159469044,0.05000000074505806
104,104.0,-1.2204419341339297e-11,-1.1788414319228848e-11,-8.416852039019843e-12,-8.320100442208968e-12,5.385061373786458e-10,-0.6552073365685945,0.05000000074505806
