x,psi_1,psi_2,psi_3,psi_4,psi_5
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e-01,1.2127106845e-03,2.4253757111e-03,3.6379494236e-03,4.8503861694e-03,6.0626403010e-03
2.0000000000e-01,2.4253757111e-03,4.8503861694e-03,7.2746661775e-03,9.6978506476e-03,1.2119574657e-02
3.0000000000e-01,3.6379494236e-03,7.2746661775e-03,1.0908918010e-02,1.4539473503e-02,1.8165102494e-02
4.0000000000e-01,4.8503861694e-03,9.6978506476e-03,1.4539473503e-02,1.9372338324e-02,2.4193533972e-02
5.0000000000e-01,6.0626403010e-03,1.2119574657e-02,1.8165102494e-02,2.4193533972e-02,3.0199195342e-02
6.0000000000e-01,7.2746661775e-03,1.4539473503e-02,2.1784576486e-02,2.9000156340e-02,3.6176434288e-02
7.0000000000e-01,8.4864181670e-03,1.6957182758e-02,2.5396669071e-02,3.3789310098e-02,4.2119625239e-02
8.0000000000e-01,9.6978506476e-03,1.9372338324e-02,2.9000156340e-02,3.8558110439e-02,4.8023174673e-02
9.0000000000e-01,1.0908918010e-02,2.1784576486e-02,3.2593817300e-02,4.3303684816e-02,5.3881526377e-02
1.0000000000e+00,1.2119574657e-02,2.4193533972e-02,3.6176434288e-02,4.8023174673e-02,5.9689166673e-02
1.1000000000e+00,1.3329775009e-02,2.6598848000e-02,3.9746793382e-02,5.2713737165e-02,6.5440629615e-02
1.2000000000e+00,1.4539473503e-02,2.9000156340e-02,4.3303684816e-02,5.7372546873e-02,7.1130502128e-02
1.3000000000e+00,1.5748624594e-02,3.1397097363e-02,4.6845903386e-02,6.1996797504e-02,7.6753429101e-02
1.4000000000e+00,1.6957182758e-02,3.3789310098e-02,5.0372248857e-02,6.6583703582e-02,8.2304118433e-02
1.5000000000e+00,1.8165102494e-02,3.6176434288e-02,5.3881526377e-02,7.1130502128e-02,8.7777346010e-02
1.6000000000e+00,1.9372338324e-02,3.8558110439e-02,5.7372546873e-02,7.5634454318e-02,9.3167960621e-02
1.7000000000e+00,2.0578844796e-02,4.0933979881e-02,6.0844127462e-02,8.0092847141e-02,9.8470888809e-02
1.8000000000e+00,2.1784576486e-02,4.3303684816e-02,6.4295091845e-02,8.4502995028e-02,1.0368113964e-01
1.9000000000e+00,2.2989488000e-02,4.5666868376e-02,6.7724270711e-02,8.8862241470e-02,1.0879380942e-01
2.0000000000e+00,2.4193533972e-02,4.8023174673e-02,7.1130502128e-02,9.3167960621e-02,1.1380408627e-01
2.1000000000e+00,2.5396669071e-02,5.0372248857e-02,7.4512631940e-02,9.7417558877e-02,1.1870725469e-01
2.2000000000e+00,2.6598848000e-02,5.2713737165e-02,7.7869514161e-02,1.0160847644e-01,1.2349870001e-01
2.3000000000e+00,2.7800025498e-02,5.5047286979e-02,8.1200011354e-02,1.0573818885e-01,1.2817391267e-01
2.4000000000e+00,2.9000156340e-02,5.7372546873e-02,8.4502995028e-02,1.0980420853e-01,1.3272849252e-01
2.5000000000e+00,3.0199195342e-02,5.9689166673e-02,8.7777346010e-02,1.1380408627e-01,1.3715815297e-01
2.6000000000e+00,3.1397097363e-02,6.1996797504e-02,9.1021954832e-02,1.1773541267e-01,1.4145872497e-01
2.7000000000e+00,3.2593817300e-02,6.4295091845e-02,9.4235722101e-02,1.2159581967e-01,1.4562616096e-01
2.8000000000e+00,3.3789310098e-02,6.6583703582e-02,9.7417558877e-02,1.2538298189e-01,1.4965653871e-01
2.9000000000e+00,3.4983530748e-02,6.8862288059e-02,1.0056638704e-01,1.2909461809e-01,1.5354606497e-01
3.0000000000e+00,3.6176434288e-02,7.1130502128e-02,1.0368113964e-01,1.3272849252e-01,1.5729107904e-01
3.1000000000e+00,3.7367975805e-02,7.3388004204e-02,1.0676076130e-01,1.3628241628e-01,1.6088805625e-01
3.2000000000e+00,3.8558110439e-02,7.5634454318e-02,1.0980420853e-01,1.3975424859e-01,1.6433361126e-01
3.3000000000e+00,3.9746793382e-02,7.7869514161e-02,1.1281045010e-01,1.4314189818e-01,1.6762450122e-01
3.4000000000e+00,4.0933979881e-02,8.0092847141e-02,1.1577846738e-01,1.4644332444e-01,1.7075762887e-01
3.5000000000e+00,4.2119625239e-02,8.2304118433e-02,1.1870725469e-01,1.4965653871e-01,1.7373004542e-01
3.6000000000e+00,4.3303684816e-02,8.4502995028e-02,1.2159581967e-01,1.5277960548e-01,1.7653895332e-01
3.7000000000e+00,4.4486114035e-02,8.6689145782e-02,1.2444318356e-01,1.5581064353e-01,1.7918170895e-01
3.8000000000e+00,4.5666868376e-02,8.8862241470e-02,1.2724838156e-01,1.5874782708e-01,1.8165582502e-01
3.9000000000e+00,4.6845903386e-02,9.1021954832e-02,1.3001046318e-01,1.6158938687e-01,1.8395897299e-01
4.0000000000e+00,4.8023174673e-02,9.3167960621e-02,1.3272849252e-01,1.6433361126e-01,1.8608898521e-01
4.1000000000e+00,4.9198637916e-02,9.5299935659e-02,1.3540154862e-01,1.6697884722e-01,1.8804385699e-01
4.2000000000e+00,5.0372248857e-02,9.7417558877e-02,1.3802872574e-01,1.6952350137e-01,1.8982174848e-01
4.3000000000e+00,5.1543963312e-02,9.9520511368e-02,1.4060913371e-01,1.7196604090e-01,1.9142098638e-01
4.4000000000e+00,5.2713737165e-02,1.0160847644e-01,1.4314189818e-01,1.7430499452e-01,1.9284006555e-01
4.5000000000e+00,5.3881526377e-02,1.0368113964e-01,1.4562616096e-01,1.7653895332e-01,1.9407765040e-01
4.6000000000e+00,5.5047286979e-02,1.0573818885e-01,1.4806108030e-01,1.7866657167e-01,1.9513257616e-01
4.7000000000e+00,5.6210975082e-02,1.0777931428e-01,1.5044583116e-01,1.8068656795e-01,1.9600384996e-01
4.8000000000e+00,5.7372546873e-02,1.0980420853e-01,1.5277960548e-01,1.8259772540e-01,1.9669065181e-01
4.9000000000e+00,5.8531958621e-02,1.1181256668e-01,1.5506161252e-01,1.8439889280e-01,1.9719233529e-01
5.0000000000e+00,5.9689166673e-02,1.1380408627e-01,1.5729107904e-01,1.8608898521e-01,1.9750842826e-01
