t,E_sum_sq,rel_drift
0.000000000000000000e+00,1.328699186869259825e-06,6.758880112705362153e-01
2.500000000000000139e-02,9.299624934669800514e-07,1.729615018466323928e-01
5.000000000000000278e-02,6.501195031507685273e-07,-1.800044043146261374e-01
7.500000000000001110e-02,7.928329207760946168e-07,0.000000000000000000e+00
1.000000000000000056e-01,1.144310530264783847e-06,4.433186365982785260e-01
1.250000000000000000e-01,1.268945110002115664e-06,6.005202064010668472e-01
1.500000000000000222e-01,1.062993237485812525e-06,3.407531519317603674e-01
1.750000000000000167e-01,8.469309780421297528e-07,6.823386850924302582e-02
2.000000000000000111e-01,9.093498416431391787e-07,1.469627683383625816e-01
2.250000000000000056e-01,1.133147863349935445e-06,4.292391671131801645e-01
2.500000000000000000e-01,1.188749417161138439e-06,4.993693955057844081e-01
2.750000000000000222e-01,9.996425225914386508e-07,2.608489082578717699e-01
3.000000000000000444e-01,8.377204007805062731e-07,5.661656930248537556e-02
3.250000000000000111e-01,9.361602589692082080e-07,1.807787422005788791e-01
3.500000000000000333e-01,1.166417635841196978e-06,4.712023243174675025e-01
3.750000000000000000e-01,1.218881726665056687e-06,5.373752712890731420e-01
4.000000000000000222e-01,1.026731745022674344e-06,2.950165389419235895e-01
4.250000000000000444e-01,8.497716357415919767e-07,7.181678948164858800e-02
4.500000000000000111e-01,9.152737713617150278e-07,1.544346196746781696e-01
4.750000000000000333e-01,1.116996907600588883e-06,4.088679699465229689e-01
5.000000000000000000e-01,1.176306120356983131e-06,4.836746678045498182e-01
5.250000000000000222e-01,1.027059927423358171e-06,2.954304753364448421e-01
5.500000000000000444e-01,8.919310400283745788e-07,1.249924374422722029e-01
5.750000000000000666e-01,9.602971660942819994e-07,2.112226181958471727e-01
6.000000000000000888e-01,1.126316410499070691e-06,4.206226570366592421e-01
6.250000000000000000e-01,1.146084988903650844e-06,4.455567609147234043e-01
6.500000000000000222e-01,9.834557823913399074e-07,2.404325761708366871e-01
6.750000000000000444e-01,8.604343513069349252e-07,8.526567043238578170e-02
7.000000000000000666e-01,9.486529213095481071e-07,1.965357346424555229e-01
7.250000000000000888e-01,1.134639521825558131e-06,4.311205956418575069e-01
7.500000000000000000e-01,1.178670213619476789e-06,4.866564981505696053e-01
7.750000000000000222e-01,1.038514943722140888e-06,3.098786850394041337e-01
8.000000000000000444e-01,9.125462928860749703e-07,1.509944516340143428e-01
8.250000000000000666e-01,9.578305343841895539e-07,2.081114561269488683e-01
8.500000000000000888e-01,1.084316149144418659e-06,3.676477360236184433e-01
8.750000000000000000e-01,1.101488831031248945e-06,3.893076361574577260e-01
9.000000000000000222e-01,9.936409260069231375e-07,2.532790957195117376e-01
9.250000000000000444e-01,9.320032292262882346e-07,1.755354814403537467e-01
9.500000000000000666e-01,1.017945245930394478e-06,2.839341294429854057e-01
9.750000000000000888e-01,1.132542296150242965e-06,4.284753653286885733e-01
1.000000000000000000e+00,1.107698831098155125e-06,3.971403079653176293e-01
1.025000000000000133e+00,9.707784497376468478e-07,2.244426591006885574e-01
1.050000000000000044e+00,9.102492037203215387e-07,1.480971335414396350e-01
1.074999999999999956e+00,1.009231790142362865e-06,2.729438494486808309e-01
1.100000000000000089e+00,1.126210231352656095e-06,4.204887333011126938e-01
1.125000000000000000e+00,1.094614158181322835e-06,3.806366127050049841e-01
1.150000000000000133e+00,9.598230366035434033e-07,2.106245987666407193e-01
1.175000000000000044e+00,9.164252688030939551e-07,1.558870031607873519e-01
1.200000000000000178e+00,1.031563983278201516e-06,3.011114400603041585e-01
1.225000000000000089e+00,1.145304442922314150e-06,4.445722584289126256e-01
1.250000000000000000e+00,1.092956807107925840e-06,3.785461961368147277e-01
1.275000000000000133e+00,9.400434150550121882e-07,1.856765661733811301e-01
1.300000000000000044e+00,8.975278014256063499e-07,1.320516314421292803e-01
1.325000000000000178e+00,1.030020128630491564e-06,2.991641765105026440e-01
1.350000000000000089e+00,1.161966550198089296e-06,4.655881709107818067e-01
1.375000000000000000e+00,1.115335126769746784e-06,4.067719661261777753e-01
1.400000000000000133e+00,9.525969884677964704e-07,2.015103857384109853e-01
1.425000000000000044e+00,8.905081636186307824e-07,1.231977637191491032e-01
1.450000000000000178e+00,1.005138330402352339e-06,2.677807695200579152e-01
1.475000000000000089e+00,1.134707666248867999e-06,4.312065461889704188e-01
1.500000000000000000e+00,1.108917110083250320e-06,3.986769229987885410e-01
1.525000000000000133e+00,9.813788061433112252e-07,2.378128864561417366e-01
1.550000000000000044e+00,9.438726463968697275e-07,1.905063748777285071e-01
