step,energy,drift,timestamp
0,1.2114746394e-04,0.000000e+00,2025-11-05T01:43:42.114443Z
1,1.9299363726e-04,5.930473e-01,2025-11-05T01:43:42.116207Z
2,2.0238500741e-04,6.705674e-01,2025-11-05T01:43:42.118261Z
3,1.4069418231e-04,1.613465e-01,2025-11-05T01:43:42.119377Z
4,9.1199232949e-05,-2.472048e-01,2025-11-05T01:43:42.120780Z
5,1.1668842256e-04,-3.680672e-02,2025-11-05T01:43:42.122216Z
6,1.7828209007e-04,4.716122e-01,2025-11-05T01:43:42.123100Z
7,1.9191846507e-04,5.841724e-01,2025-11-05T01:43:42.124560Z
8,1.4227057288e-04,1.743587e-01,2025-11-05T01:43:42.125576Z
9,9.9871133489e-05,-1.756234e-01,2025-11-05T01:43:42.126610Z
10,1.2230310699e-04,9.539144e-03,2025-11-05T01:43:42.128535Z
11,1.7681293902e-04,4.594853e-01,2025-11-05T01:43:42.129699Z
12,1.8802759660e-04,5.520556e-01,2025-11-05T01:43:42.131290Z
13,1.4180570406e-04,1.705214e-01,2025-11-05T01:43:42.132442Z
14,1.0249169801e-04,-1.539922e-01,2025-11-05T01:43:42.133678Z
15,1.2298558280e-04,1.517257e-02,2025-11-05T01:43:42.134937Z
16,1.7333130962e-04,4.307465e-01,2025-11-05T01:43:42.136716Z
17,1.8432218870e-04,5.214696e-01,2025-11-05T01:43:42.137869Z
18,1.4294970854e-04,1.799645e-01,2025-11-05T01:43:42.139109Z
19,1.0792511837e-04,-1.091426e-01,2025-11-05T01:43:42.140235Z
20,1.2683491830e-04,4.694654e-02,2025-11-05T01:43:42.142204Z
21,1.7146335713e-04,4.153277e-01,2025-11-05T01:43:42.143850Z
22,1.7919595287e-04,4.791556e-01,2025-11-05T01:43:42.145747Z
23,1.4028495447e-04,1.579686e-01,2025-11-05T01:43:42.147633Z
24,1.0970733065e-04,-9.443147e-02,2025-11-05T01:43:42.149358Z
25,1.2959907139e-04,6.976297e-02,2025-11-05T01:43:42.150292Z
26,1.7159411767e-04,4.164070e-01,2025-11-05T01:43:42.151579Z
27,1.7779133101e-04,4.675613e-01,2025-11-05T01:43:42.152526Z
28,1.4104571861e-04,1.642482e-01,2025-11-05T01:43:42.153613Z
29,1.1296681667e-04,-6.752636e-02,2025-11-05T01:43:42.154910Z
30,1.3101272997e-04,8.143188e-02,2025-11-05T01:43:42.156884Z
31,1.6780269398e-04,3.851111e-01,2025-11-05T01:43:42.157776Z
32,1.7170798179e-04,4.173469e-01,2025-11-05T01:43:42.158877Z
33,1.3930130573e-04,1.498491e-01,2025-11-05T01:43:42.159720Z
34,1.1804987672e-04,-2.556873e-02,2025-11-05T01:43:42.161092Z
35,1.3785166377e-04,1.378832e-01,2025-11-05T01:43:42.162014Z
36,1.6935922192e-04,3.979593e-01,2025-11-05T01:43:42.163413Z
37,1.6695998943e-04,3.781551e-01,2025-11-05T01:43:42.164646Z
38,1.3401530594e-04,1.062164e-01,2025-11-05T01:43:42.165817Z
39,1.1771030897e-04,-2.837166e-02,2025-11-05T01:43:42.167156Z
40,1.4158559642e-04,1.687046e-01,2025-11-05T01:43:42.169131Z
41,1.7191220640e-04,4.190326e-01,2025-11-05T01:43:42.170367Z
42,1.6553096251e-04,3.663593e-01,2025-11-05T01:43:42.171522Z
43,1.3122149450e-04,8.315511e-02,2025-11-05T01:43:42.172831Z
44,1.1757396014e-04,-2.949714e-02,2025-11-05T01:43:42.174189Z
45,1.4429678901e-04,1.910839e-01,2025-11-05T01:43:42.175442Z
46,1.7395859676e-04,4.359244e-01,2025-11-05T01:43:42.176599Z
47,1.6439633776e-04,3.569936e-01,2025-11-05T01:43:42.177887Z
48,1.2833240626e-04,5.930741e-02,2025-11-05T01:43:42.179100Z
49,1.1615913344e-04,-4.117569e-02,2025-11-05T01:43:42.180351Z
50,1.4550176842e-04,2.010302e-01,2025-11-05T01:43:42.182356Z
51,1.7609295529e-04,4.535422e-01,2025-11-05T01:43:42.183272Z
52,1.6546880728e-04,3.658462e-01,2025-11-05T01:43:42.184637Z
53,1.2805118201e-04,5.698607e-02,2025-11-05T01:43:42.185825Z
54,1.1526191601e-04,-4.858169e-02,2025-11-05T01:43:42.187137Z
55,1.4432317983e-04,1.913017e-01,2025-11-05T01:43:42.188614Z
56,1.7474984296e-04,4.424556e-01,2025-11-05T01:43:42.189674Z
57,1.6488562644e-04,3.610324e-01,2025-11-05T01:43:42.191138Z
58,1.2946648967e-04,6.866859e-02,2025-11-05T01:43:42.192419Z
59,1.1831521504e-04,-2.337852e-02,2025-11-05T01:43:42.193672Z
60,1.4651565002e-04,2.093992e-01,2025-11-05T01:43:42.195738Z
61,1.7371293674e-04,4.338966e-01,2025-11-05T01:43:42.196914Z
62,1.6109078741e-04,3.297083e-01,2025-11-05T01:43:42.198426Z
63,1.2605427291e-04,4.050278e-02,2025-11-05T01:43:42.199627Z
64,1.1808279148e-04,-2.529704e-02,2025-11-05T01:43:42.200914Z
65,1.4940275767e-04,2.332306e-01,2025-11-05T01:43:42.201884Z
66,1.7724934305e-04,4.630875e-01,2025-11-05T01:43:42.203773Z
67,1.6276671734e-04,3.435421e-01,2025-11-05T01:43:42.205739Z
68,1.2502748615e-04,3.202727e-02,2025-11-05T01:43:42.207648Z
69,1.1526991773e-04,-4.851564e-02,2025-11-05T01:43:42.209670Z
70,1.4676656606e-04,2.114704e-01,2025-11-05T01:43:42.212367Z
71,1.7680079122e-04,4.593850e-01,2025-11-05T01:43:42.214362Z
72,1.6512275981e-04,3.629898e-01,2025-11-05T01:43:42.216312Z
73,1.2832980033e-04,5.928590e-02,2025-11-05T01:43:42.218270Z
74,1.1626840276e-04,-4.027374e-02,2025-11-05T01:43:42.220260Z
75,1.4405875005e-04,1.891190e-01,2025-11-05T01:43:42.221788Z
76,1.7292483550e-04,4.273913e-01,2025-11-05T01:43:42.223800Z
77,1.6433379572e-04,3.564774e-01,2025-11-05T01:43:42.225926Z
78,1.3177493454e-04,8.772343e-02,2025-11-05T01:43:42.227838Z
