k,|F|
-6.250000000000000000e+01,3.725682874935333687e-07
-6.225585937500000000e+01,7.950130722281811433e-07
-6.201171875000000000e+01,1.177568687772156694e-06
-6.176757812500000000e+01,5.526823457754770129e-07
-6.152343750000000000e+01,4.551897397879188830e-07
-6.127929687500000000e+01,1.162766516642314603e-06
-6.103515625000000000e+01,5.409323001210543520e-06
-6.079101562500000000e+01,7.116032566722891698e-06
-6.054687500000000000e+01,2.313189353684028191e-06
-6.030273437500000000e+01,3.301667751056567499e-06
-6.005859375000000000e+01,2.829277818679166647e-06
-5.981445312500000000e+01,2.820453715440904640e-06
-5.957031250000000000e+01,1.542608915979300003e-06
-5.932617187500000000e+01,2.669403352634144025e-06
-5.908203125000000000e+01,1.175228003686467295e-06
-5.883789062500000000e+01,1.519041234446765257e-06
-5.859375000000000000e+01,9.321549992476538729e-07
-5.834960937500000000e+01,2.475976635887215809e-07
-5.810546875000000000e+01,3.793018371671786893e-07
-5.786132812500000000e+01,5.114203961549949228e-07
-5.761718750000000000e+01,2.043679897336517975e-07
-5.737304687500000000e+01,4.376935954526849150e-07
-5.712890625000000000e+01,5.242686191253974991e-07
-5.688476562500000000e+01,4.491507107287169531e-07
-5.664062500000000000e+01,7.566303322988231715e-07
-5.639648437500000000e+01,7.548123530397797174e-07
-5.615234375000000000e+01,9.298006803303480436e-07
-5.590820312500000000e+01,7.003096278964236228e-07
-5.566406250000000000e+01,1.117029021888852644e-06
-5.541992187500000000e+01,1.413544384653745228e-07
-5.517578125000000000e+01,2.166289515821273926e-06
-5.493164062500000000e+01,1.159198645429450693e-06
-5.468750000000000000e+01,4.001538265492621587e-06
-5.444335937500000000e+01,1.784225542047658002e-06
-5.419921875000000000e+01,1.516130853818766804e-06
-5.395507812500000000e+01,9.384912475881737546e-07
-5.371093750000000000e+01,1.516937038720809082e-06
-5.346679687500000000e+01,4.767741349072172361e-06
-5.322265625000000000e+01,6.496839503064107726e-06
-5.297851562500000000e+01,4.605000744444167250e-06
-5.273437500000000000e+01,1.635460234462041236e-06
-5.249023437500000000e+01,2.937041721254240158e-07
-5.224609375000000000e+01,1.175748636414782775e-06
-5.200195312500000000e+01,1.154580215311592973e-06
-5.175781250000000000e+01,4.060896903154389796e-07
-5.151367187500000000e+01,2.717530001512720491e-07
-5.126953125000000000e+01,5.274880217247751647e-07
-5.102539062500000000e+01,8.509164242888702606e-07
-5.078125000000000000e+01,8.681879092949214991e-07
-5.053710937500000000e+01,8.327630455368409934e-07
-5.029296875000000000e+01,3.039970990845113168e-07
-5.004882812500000000e+01,1.532354440363425884e-06
-4.980468750000000000e+01,1.917906078246049638e-06
-4.956054687500000000e+01,1.271645056978941594e-06
-4.931640625000000000e+01,2.721885422199644812e-06
-4.907226562500000000e+01,1.188171674981739842e-06
-4.882812500000000000e+01,1.044978591109653605e-06
-4.858398437500000000e+01,1.158582885039575999e-06
-4.833984375000000000e+01,9.332176825380661359e-07
-4.809570312500000000e+01,1.245901465204910955e-06
-4.785156250000000000e+01,2.294876827507500052e-07
-4.760742187500000000e+01,2.351746409744562205e-07
-4.736328125000000000e+01,9.442672103165859375e-07
-4.711914062500000000e+01,8.493413363803101532e-07
-4.687500000000000000e+01,1.008482858126685880e-06
-4.663085937500000000e+01,5.363374532398916643e-07
-4.638671875000000000e+01,4.160463450753811143e-07
-4.614257812500000000e+01,2.270082012064053904e-07
-4.589843750000000000e+01,7.323396302276355912e-07
-4.565429687500000000e+01,7.355305506293188571e-07
-4.541015625000000000e+01,8.884960276282290202e-07
-4.516601562500000000e+01,1.177813112640076218e-06
-4.492187500000000000e+01,6.188677308113264387e-07
-4.467773437500000000e+01,1.385233983960336329e-06
-4.443359375000000000e+01,9.167252413325887827e-07
-4.418945312500000000e+01,1.043898102959919749e-06
-4.394531250000000000e+01,1.543298950215925121e-06
-4.370117187500000000e+01,1.284189919553496946e-06
-4.345703125000000000e+01,1.824281335417247582e-06
-4.321289062500000000e+01,2.038121879219468648e-06
-4.296875000000000000e+01,4.966843194730274767e-07
-4.272460937500000000e+01,1.175216652364175929e-06
-4.248046875000000000e+01,8.984396276160372295e-07
-4.223632812500000000e+01,1.464359927424535366e-06
-4.199218750000000000e+01,1.596356487314377652e-06
-4.174804687500000000e+01,2.531783136628623249e-06
-4.150390625000000000e+01,3.056707190986972455e-06
-4.125976562500000000e+01,2.414224430676533689e-06
-4.101562500000000000e+01,1.208223196073841581e-06
-4.077148437500000000e+01,7.588451227580752533e-07
-4.052734375000000000e+01,2.031911462594149829e-06
-4.028320312500000000e+01,2.039931610090553586e-06
-4.003906250000000000e+01,1.520880434183461708e-06
-3.979492187500000000e+01,9.884305503751839273e-07
-3.955078125000000000e+01,1.318300541373630888e-07
-3.930664062500000000e+01,1.438160552959020760e-06
-3.906250000000000000e+01,3.260748906851353372e-06
-3.881835937500000000e+01,3.640390770759333792e-06
-3.857421875000000000e+01,2.073891491886456726e-06
-3.833007812500000000e+01,2.078318523735682453e-06
-3.808593750000000000e+01,2.855988835217837077e-06
-3.784179687500000000e+01,1.978238603064345625e-06
-3.759765625000000000e+01,1.803510289922874289e-06
-3.735351562500000000e+01,1.489713545376009584e-06
-3.710937500000000000e+01,2.379803533923071591e-06
-3.686523437500000000e+01,2.469636817671373639e-06
-3.662109375000000000e+01,3.341037246116916885e-06
-3.637695312500000000e+01,1.988777515870570918e-06
-3.613281250000000000e+01,1.933146411145047695e-06
-3.588867187500000000e+01,1.600044045590011846e-07
-3.564453125000000000e+01,7.956806514416544874e-07
-3.540039062500000000e+01,4.393964332059254703e-07
-3.515625000000000000e+01,4.212862765437393273e-07
-3.491210937500000000e+01,4.164136296769987493e-07
-3.466796875000000000e+01,3.979714073111895597e-07
-3.442382812500000000e+01,2.703729673968650794e-07
-3.417968750000000000e+01,1.439904954117559538e-07
-3.393554687500000000e+01,2.112667060396553040e-07
-3.369140625000000000e+01,2.532404077760914536e-07
-3.344726562500000000e+01,2.136261382070816563e-08
-3.320312500000000000e+01,3.561069154576411644e-07
-3.295898437500000000e+01,1.246429153569990516e-07
-3.271484375000000000e+01,4.475711682335144157e-07
-3.247070312500000000e+01,3.284987423685978214e-07
-3.222656250000000000e+01,4.921733865221620828e-07
-3.198242187500000000e+01,6.105551822976201422e-07
-3.173828125000000000e+01,1.215941261009244242e-06
-3.149414062500000000e+01,1.793213272974001398e-06
-3.125000000000000000e+01,2.195166657776953496e-06
-3.100585937500000000e+01,2.521287867635731299e-06
-3.076171875000000000e+01,1.990651525424024774e-06
-3.051757812500000000e+01,1.796596931510402008e-06
-3.027343750000000000e+01,1.365603275380242428e-06
-3.002929687500000000e+01,1.873667673266122186e-06
-2.978515625000000000e+01,2.137874318329047430e-06
-2.954101562500000000e+01,2.173794105948269425e-06
-2.929687500000000000e+01,2.423923211098119678e-06
-2.905273437500000000e+01,2.968273163441482653e-06
-2.880859375000000000e+01,3.460767099330132518e-06
-2.856445312500000000e+01,5.042461700677739843e-06
-2.832031250000000000e+01,4.544698060327241050e-06
-2.807617187500000000e+01,5.125657749396849177e-06
-2.783203125000000000e+01,7.311786837216344526e-06
-2.758789062500000000e+01,7.312557868860799917e-06
-2.734375000000000000e+01,5.904105029999556760e-06
-2.709960937500000000e+01,5.808960584642973339e-06
-2.685546875000000000e+01,6.789420809823040051e-06
-2.661132812500000000e+01,6.937239662941604525e-06
-2.636718750000000000e+01,6.159602024418805279e-06
-2.612304687500000000e+01,5.425686659022403583e-06
-2.587890625000000000e+01,4.804241101062516545e-06
-2.563476562500000000e+01,4.002023035227874511e-06
-2.539062500000000000e+01,2.989929034990568215e-06
-2.514648437500000000e+01,1.630006851667882549e-06
-2.490234375000000000e+01,2.536218438174922607e-06
-2.465820312500000000e+01,4.708514832244159278e-06
-2.441406250000000000e+01,4.512822726060799047e-06
-2.416992187500000000e+01,2.600931189778869568e-06
-2.392578125000000000e+01,7.389066764025130241e-07
-2.368164062500000000e+01,5.002734674610169473e-07
-2.343750000000000000e+01,8.733783223278508824e-07
-2.319335937500000000e+01,1.994374203902796975e-06
-2.294921875000000000e+01,3.844694905645974699e-06
-2.270507812500000000e+01,4.793389059673211561e-06
-2.246093750000000000e+01,3.803255731639855997e-06
-2.221679687500000000e+01,2.319037589542718184e-06
-2.197265625000000000e+01,1.726398081731862540e-06
-2.172851562500000000e+01,1.579056575314723532e-06
-2.148437500000000000e+01,1.631156177730885571e-06
-2.124023437500000000e+01,1.910393443241114273e-06
-2.099609375000000000e+01,1.733163747368007734e-06
-2.075195312500000000e+01,2.505742471217211018e-06
-2.050781250000000000e+01,3.284215156183266763e-06
-2.026367187500000000e+01,3.254744956198405575e-06
-2.001953125000000000e+01,3.606430203787493602e-06
-1.977539062500000000e+01,3.258953013940485424e-06
-1.953125000000000000e+01,3.695793583163771236e-06
-1.928710937500000000e+01,2.220429027736226958e-06
-1.904296875000000000e+01,1.336786553536712776e-06
-1.879882812500000000e+01,1.299263524875638759e-06
-1.855468750000000000e+01,1.660260348727603165e-06
-1.831054687500000000e+01,1.998831852642522937e-06
-1.806640625000000000e+01,1.555821893049960441e-06
-1.782226562500000000e+01,1.267027921405274626e-06
-1.757812500000000000e+01,1.172649773912995882e-06
-1.733398437500000000e+01,1.254549768362994619e-06
-1.708984375000000000e+01,1.567945977495724417e-06
-1.684570312500000000e+01,1.782324166824378481e-06
-1.660156250000000000e+01,1.699648475478587144e-06
-1.635742187500000000e+01,1.461952254128521324e-06
-1.611328125000000000e+01,1.204313102445804814e-06
-1.586914062500000000e+01,1.004843459333443722e-06
-1.562500000000000000e+01,8.169335406862287984e-07
-1.538085937500000000e+01,4.686526944079305210e-07
