t,projection
0.00000000,4.9902486535e-01
0.00250000,4.9778718020e-01
0.00500000,4.9531487959e-01
0.00750000,4.9161409536e-01
0.01000000,4.8669400622e-01
0.01250000,4.8056681501e-01
0.01500000,4.7324771843e-01
0.01750000,4.6475486936e-01
0.02000000,4.5510933183e-01
0.02250000,4.4433502878e-01
0.02500000,4.3245868269e-01
0.02750000,4.1950974939e-01
0.03000000,4.0552034491e-01
0.03250000,3.9052516587e-01
0.03500000,3.7456140343e-01
0.03750000,3.5766865102e-01
0.04000000,3.3988880619e-01
0.04250000,3.2126596662e-01
0.04500000,3.0184632083e-01
0.04750000,2.8167803357e-01
0.05000000,2.6081112636e-01
0.05250000,2.3929735347e-01
0.05500000,2.1719007352e-01
0.05750000,1.9454411714e-01
0.06000000,1.7141565100e-01
0.06250000,1.4786203850e-01
0.06500000,1.2394169748e-01
0.06750000,9.9713955339e-02
0.07000000,7.5238901914e-02
0.07250000,5.0577240407e-02
0.07500000,2.5790136856e-02
0.07750000,9.3906841579e-04
0.08000000,-2.3914329108e-02
0.08250000,-4.8708414137e-02
0.08500000,-7.3381692196e-02
0.08750000,-9.7872968441e-02
0.09000000,-1.2212149943e-01
0.09250000,-1.4606714376e-01
0.09500000,-1.6965051129e-01
0.09750000,-1.9281311037e-01
0.10000000,-2.1549749295e-01
0.10250000,-2.3764739705e-01
0.10500000,-2.5920788632e-01
0.10750000,-2.8012548628e-01
0.11000000,-3.0034831693e-01
0.11250000,-3.1982622147e-01
0.11500000,-3.3851089065e-01
0.11750000,-3.5635598261e-01
0.12000000,-3.7331723784e-01
0.12250000,-3.8935258889e-01
0.12500000,-4.0442226478e-01
0.12750000,-4.1848888957e-01
0.13000000,-4.3151757513e-01
0.13250000,-4.4347600760e-01
0.13500000,-4.5433452761e-01
0.13750000,-4.6406620376e-01
0.14000000,-4.7264689949e-01
0.14250000,-4.8005533288e-01
0.14500000,-4.8627312948e-01
0.14750000,-4.9128486788e-01
0.15000000,-4.9507811791e-01
0.15250000,-4.9764347154e-01
0.15500000,-4.9897456615e-01
0.15750000,-4.9906810036e-01
0.16000000,-4.9792384217e-01
0.16250000,-4.9554462959e-01
0.16500000,-4.9193636356e-01
0.16750000,-4.8710799332e-01
0.17000000,-4.8107149424e-01
0.17250000,-4.7384183808e-01
0.17500000,-4.6543695589e-01
0.17750000,-4.5587769353e-01
0.18000000,-4.4518775994e-01
0.18250000,-4.3339366838e-01
0.18500000,-4.2052467063e-01
0.18750000,-4.0661268450e-01
0.19000000,-3.9169221457e-01
0.19250000,-3.7580026672e-01
0.19500000,-3.5897625627e-01
0.19750000,-3.4126191026e-01
0.20000000,-3.2270116394e-01
0.20250000,-3.0334005180e-01
0.20500000,-2.8322659342e-01
0.20750000,-2.6241067436e-01
0.21000000,-2.4094392240e-01
0.21250000,-2.1887957954e-01
0.21500000,-1.9627236994e-01
0.21750000,-1.7317836415e-01
0.22000000,-1.4965484010e-01
0.22250000,-1.2576014101e-01
0.22500000,-1.0155353069e-01
0.22750000,-7.7095046548e-02
0.23000000,-5.2445350706e-02
0.23250000,-2.7665579517e-02
0.23500000,-2.8171919539e-03
0.23750000,2.2038182830e-02
0.24000000,4.6838898350e-02
0.24250000,7.1523443688e-02
0.24500000,9.6030596052e-02
0.24750000,1.2029957262e-01
0.25000000,1.4427018130e-01
0.25250000,1.6788297001e-01
0.25500000,1.9107937414e-01
0.25750000,2.1380186179e-01
0.26000000,2.3599407649e-01
0.26250000,2.5760097693e-01
0.26500000,2.7856897352e-01
0.26750000,2.9884606129e-01
0.27000000,3.1838194885e-01
0.27250000,3.3712818314e-01
0.27500000,3.5503826963e-01
0.27750000,3.7206778757e-01
0.28000000,3.8817450024e-01
0.28250000,4.0331845964e-01
0.28500000,4.1746210561e-01
0.28750000,4.3057035899e-01
0.29000000,4.4261070858e-01
0.29250000,4.5355329182e-01
0.29500000,4.6337096883e-01
0.29750000,4.7203938975e-01
0.30000000,4.7953705507e-01
0.30250000,4.8584536905e-01
0.30500000,4.9094868576e-01
0.30750000,4.9483434790e-01
0.31000000,4.9749271824e-01
0.31250000,4.9891720346e-01
0.31500000,4.9910427055e-01
0.31750000,4.9805345554e-01
0.32000000,4.9576736466e-01
0.32250000,4.9225166790e-01
0.32500000,4.8751508492e-01
0.32750000,4.8156936342e-01
0.33000000,4.7442925002e-01
0.33250000,4.6611245370e-01
0.33500000,4.5663960182e-01
0.33750000,4.4603418902e-01
0.34000000,4.3432251893e-01
0.34250000,4.2153363893e-01
0.34500000,4.0769926807e-01
0.34750000,3.9285371848e-01
0.35000000,3.7703381019e-01
0.35250000,3.6027877985e-01
0.35500000,3.4263018343e-01
0.35750000,3.2413179309e-01
0.36000000,3.0482948868e-01
0.36250000,2.8477114392e-01
0.36500000,2.6400650767e-01
0.36750000,2.4258708052e-01
0.37000000,2.2056598711e-01
0.37250000,1.9799784430e-01
0.37500000,1.7493862578e-01
0.37750000,1.5144552318e-01
0.38000000,1.2757680428e-01
0.38250000,1.0339166844e-01
0.38500000,7.8950099825e-02
0.38750000,5.4312718588e-02
0.39000000,2.9540630545e-02
0.39250000,4.6952756118e-03
0.39500000,-2.0161724579e-02
0.39750000,-4.4968719511e-02
0.40000000,-6.9664182693e-02
0.40250000,-9.4186864254e-02
0.40500000,-1.1847594286e-01
0.40750000,-1.4247117655e-01
0.41000000,-1.6611305218e-01
0.41250000,-1.8934293299e-01
0.41500000,-2.1210320406e-01
0.41750000,-2.3433741519e-01
0.42000000,-2.5599042094e-01
0.42250000,-2.7700851735e-01
0.42500000,-2.9733957519e-01
0.42750000,-3.1693316922e-01
0.43000000,-3.3574070325e-01
0.43250000,-3.5371553072e-01
0.43500000,-3.7081307031e-01
0.43750000,-3.8699091658e-01
0.44000000,-4.0220894512e-01
0.44250000,-4.1642941206e-01
0.44500000,-4.2961704770e-01
0.44750000,-4.4173914396e-01
0.45000000,-4.5276563553e-01
0.45250000,-4.6266917443e-01
0.45500000,-4.7142519782e-01
0.45750000,-4.7901198894e-01
0.46000000,-4.8541073100e-01
0.46250000,-4.9060555377e-01
0.46500000,-4.9458357302e-01
0.46750000,-4.9733492243e-01
0.47000000,-4.9885277810e-01
0.47250000,-4.9913337542e-01
0.47500000,-4.9817601845e-01
0.47750000,-4.9598308164e-01
0.48000000,-4.9256000393e-01
0.48250000,-4.8791527525e-01
0.48500000,-4.8206041550e-01
0.48750000,-4.7500994594e-01
0.49000000,-4.6678135321e-01
0.49250000,-4.5739504591e-01
0.49500000,-4.4687430404e-01
0.49750000,-4.3524522122e-01
0.50000000,-4.2253663999e-01
0.50250000,-4.0878008025e-01
0.50500000,-3.9400966114e-01
0.50750000,-3.7826201636e-01
0.51000000,-3.6157620333e-01
0.51250000,-3.4399360632e-01
0.51500000,-3.2555783383e-01
0.51750000,-3.0631461040e-01
0.52000000,-2.8631166320e-01
0.52250000,-2.6559860370e-01
0.52500000,-2.4422680458e-01
0.52750000,-2.2224927234e-01
0.53000000,-1.9972051581e-01
0.53250000,-1.7669641098e-01
0.53500000,-1.5323406240e-01
0.53750000,-1.2939166157e-01
0.54000000,-1.0522834258e-01
0.54250000,-8.0804035484e-02
0.54500000,-5.6179317619e-02
0.54750000,-3.1415263396e-02
0.55000000,-6.5732928034e-03
0.55250000,1.8284980918e-02
0.55500000,4.3097904095e-02
0.55750000,6.7803935531e-02
0.56000000,9.2341799146e-02
0.56250000,1.1665063595e-01
0.56500000,1.4067015498e-01
0.56750000,1.6434078285e-01
0.57000000,1.8760381150e-01
0.57250000,2.1040154379e-01
0.57500000,2.3267743662e-01
0.57750000,2.5437624115e-01
0.58000000,2.7544413984e-01
0.58250000,2.9582887994e-01
0.58500000,3.1547990307e-01
0.58750000,3.3434847061e-01
0.59000000,3.5238778461e-01
0.59250000,3.6955310381e-01
0.59500000,3.8580185468e-01
0.59750000,4.0109373693e-01
0.60000000,4.1539082354e-01
0.60250000,4.2865765475e-01
0.60500000,4.4086132608e-01
0.60750000,4.5197156989e-01
0.61000000,4.6196083047e-01
0.61250000,4.7080433239e-01
0.61500000,4.7848014192e-01
0.61750000,4.8496922146e-01
0.62000000,4.9025547676e-01
0.62250000,4.9432579680e-01
0.62500000,4.9717008635e-01
0.62750000,4.9878129098e-01
0.63000000,4.9915541456e-01
0.63250000,4.9829152919e-01
0.63500000,4.9619177748e-01
0.63750000,4.9286136727e-01
0.64000000,4.8830855865e-01
0.64250000,4.8254464353e-01
0.64500000,4.7558391762e-01
0.64750000,4.6744364496e-01
0.65000000,4.5814401512e-01
0.65250000,4.4770809311e-01
0.65500000,4.3616176217e-01
0.65750000,4.2353365961e-01
0.66000000,4.0985510574e-01
0.66250000,3.9516002620e-01
0.66500000,3.7948486785e-01
0.66750000,3.6286850832e-01
0.67000000,3.4535215964e-01
0.67250000,3.2697926598e-01
0.67500000,3.0779539592e-01
0.67750000,2.8784812945e-01
0.68000000,2.6718693992e-01
0.68250000,2.4586307137e-01
0.68500000,2.2392941141e-01
0.68750000,2.0144036007e-01
0.69000000,1.7845169486e-01
0.69250000,1.5502043244e-01
0.69500000,1.3120468719e-01
0.69750000,1.0706352711e-01
0.70000000,8.2656827281e-02
0.70250000,5.8045121375e-02
0.70500000,3.3289451531e-02
0.70750000,8.4512169434e-03
0.71000000,-1.6407978415e-02
0.71250000,-4.1226478584e-02
0.71500000,-6.5942728537e-02
0.71750000,-9.0495426847e-02
0.72000000,-1.1482367773e-01
0.72250000,-1.3886714208e-01
0.72500000,-1.6256618712e-01
0.72750000,-1.8586203429e-01
0.73000000,-2.0869690508e-01
0.73250000,-2.3101416426e-01
0.73500000,-2.5275846040e-01
0.73750000,-2.7387586314e-01
0.74000000,-2.9431399695e-01
0.74250000,-3.1402217100e-01
0.74500000,-3.3295150494e-01
0.74750000,-3.5105505010e-01
0.75000000,-3.6828790592e-01
0.75250000,-3.8460733136e-01
0.75500000,-3.9997285086e-01
0.75750000,-4.1434635474e-01
0.76000000,-4.2769219372e-01
0.76250000,-4.3997726736e-01
0.76500000,-4.5117110613e-01
0.76750000,-4.6124594700e-01
0.77000000,-4.7017680225e-01
0.77250000,-4.7794152152e-01
0.77500000,-4.8452084670e-01
0.77750000,-4.8989845970e-01
0.78000000,-4.9406102291e-01
0.78250000,-4.9699821233e-01
0.78500000,-4.9870274310e-01
0.78750000,-4.9917038764e-01
0.79000000,-4.9839998610e-01
0.79250000,-4.9639344923e-01
0.79500000,-4.9315575366e-01
0.79750000,-4.8869492955e-01
0.80000000,-4.8302204065e-01
0.80250000,-4.7615115693e-01
0.80500000,-4.6809931958e-01
0.80750000,-4.5888649884e-01
0.81000000,-4.4853554442e-01
0.81250000,-4.3707212882e-01
0.81500000,-4.2452468370e-01
0.81750000,-4.1092432932e-01
0.82000000,-3.9630479738e-01
0.82250000,-3.8070234735e-01
0.82500000,-3.6415567655e-01
0.82750000,-3.4670582415e-01
0.83000000,-3.2839606940e-01
0.83250000,-3.0927182429e-01
0.83500000,-2.8938052092e-01
0.83750000,-2.6877149384e-01
0.84000000,-2.4749585771e-01
0.84250000,-2.2560638053e-01
0.84500000,-2.0315735274e-01
0.84750000,-1.8020445258e-01
0.85000000,-1.5680460800e-01
0.85250000,-1.3301585548e-01
0.85500000,-1.0889719605e-01
0.85750000,-8.4508448987e-02
0.86000000,-5.9910103445e-02
0.86250000,-3.5163168421e-02
0.86500000,-1.0329021448e-02
0.86750000,1.4530743641e-02
0.87000000,3.9354469472e-02
0.87250000,6.4080588057e-02
0.87500000,8.8647773494e-02
0.87750000,1.1299509407e-01
0.88000000,1.3706216337e-01
0.88250000,1.6078929009e-01
0.88500000,1.8411762602e-01
0.88750000,2.0698931205e-01
0.89000000,2.2934762166e-01
0.89250000,2.5113710161e-01
0.89500000,2.7230370946e-01
0.89750000,2.9279494764e-01
0.90000000,3.1255999362e-01
0.90250000,3.3154982600e-01
0.90500000,3.4971734605e-01
0.90750000,3.6701749455e-01
0.91000000,3.8340736355e-01
