step,drift,rate_of_change
0,0.000000000e+00,5.070386475e-06
20,1.034772750e-04,5.070386475e-06
40,2.069545500e-04,5.070386475e-06
61,3.104318250e-04,5.070386475e-06
81,4.139091000e-04,5.070386475e-06
102,5.173863750e-04,5.070386475e-06
122,6.208636500e-04,5.070386475e-06
142,7.243409250e-04,5.070386475e-06
163,8.278182000e-04,5.070386475e-06
183,9.312954750e-04,5.070386475e-06
204,1.034772750e-03,5.070386475e-06
224,1.138250025e-03,5.070386475e-06
244,1.241727300e-03,5.070386475e-06
265,1.345204575e-03,5.070386475e-06
285,1.448681850e-03,5.070386475e-06
306,1.552159125e-03,5.070386475e-06
326,1.655636400e-03,5.070386475e-06
346,1.759113675e-03,5.070386475e-06
367,1.862590950e-03,5.070386475e-06
387,1.966068225e-03,5.070386475e-06
408,2.069545500e-03,5.070386475e-06
428,2.173022775e-03,5.070386475e-06
448,2.276500050e-03,5.070386475e-06
469,2.379977325e-03,5.070386475e-06
489,2.483454600e-03,5.070386475e-06
510,2.586931875e-03,5.070386475e-06
530,2.690409150e-03,5.070386475e-06
551,2.793886425e-03,5.070386475e-06
571,2.897363700e-03,5.070386475e-06
591,3.000840975e-03,5.070386475e-06
612,3.104318250e-03,5.070386475e-06
632,3.207795525e-03,5.070386475e-06
653,3.311272800e-03,5.070386475e-06
673,3.414750075e-03,5.070386475e-06
693,3.518227350e-03,5.070386475e-06
714,3.621704625e-03,5.070386475e-06
734,3.725181900e-03,5.070386475e-06
755,3.828659175e-03,5.070386475e-06
775,3.932136450e-03,5.070386475e-06
795,4.035613725e-03,5.070386475e-06
816,4.139091000e-03,5.070386475e-06
836,4.242568275e-03,5.070386475e-06
857,4.346045550e-03,5.070386475e-06
877,4.449522825e-03,5.070386475e-06
897,4.553000100e-03,5.070386475e-06
918,4.656477375e-03,5.070386475e-06
938,4.759954650e-03,5.070386475e-06
959,4.863431925e-03,5.070386475e-06
979,4.966909200e-03,5.070386475e-06
1000,5.070386475e-03,5.070386475e-06
