step,energy,drift,timestamp
0,5.2651726253e-06,0.000000e+00,2025-11-14T23:53:00.458209Z
25,3.5549327846e-03,6.741788e+02,2025-11-14T23:53:00.572216Z
50,1.3631100199e-02,2.587918e+03,2025-11-14T23:53:00.685404Z
75,3.0102428949e-02,5.716273e+03,2025-11-14T23:53:00.796305Z
100,5.2763303329e-02,1.002019e+04,2025-11-14T23:53:00.905976Z
125,8.1342821441e-02,1.544822e+04,2025-11-14T23:53:01.001609Z
150,1.1550889937e-01,2.193729e+04,2025-11-14T23:53:01.100144Z
175,1.5486801532e-01,2.941266e+04,2025-11-14T23:53:01.195938Z
200,1.9896508704e-01,3.778790e+04,2025-11-14T23:53:01.295556Z
225,2.4728795204e-01,4.696573e+04,2025-11-14T23:53:01.400493Z
250,2.9927719662e-01,5.683991e+04,2025-11-14T23:53:01.513223Z
275,3.5433798885e-01,6.729746e+04,2025-11-14T23:53:01.618920Z
300,4.1184954130e-01,7.822047e+04,2025-11-14T23:53:01.729160Z
325,4.7117049581e-01,8.948714e+04,2025-11-14T23:53:01.833502Z
350,5.3164235552e-01,1.009724e+05,2025-11-14T23:53:01.948855Z
375,5.9259473150e-01,1.125489e+05,2025-11-14T23:53:02.055432Z
400,6.5335436714e-01,1.240888e+05,2025-11-14T23:53:02.152340Z
425,7.1325645385e-01,1.354659e+05,2025-11-14T23:53:02.257532Z
450,7.7165477115e-01,1.465573e+05,2025-11-14T23:53:02.353673Z
475,8.2792831583e-01,1.572452e+05,2025-11-14T23:53:02.457435Z
500,8.8148513951e-01,1.674171e+05,2025-11-14T23:53:02.570074Z
525,9.3176627505e-01,1.769668e+05,2025-11-14T23:53:02.684239Z
550,9.7825202661e-01,1.857958e+05,2025-11-14T23:53:02.798280Z
575,1.0204702132e+00,1.938141e+05,2025-11-14T23:53:02.903480Z
600,1.0580037021e+00,2.009428e+05,2025-11-14T23:53:03.007703Z
625,1.0904947582e+00,2.071137e+05,2025-11-14T23:53:03.123075Z
650,1.1176461020e+00,2.122705e+05,2025-11-14T23:53:03.249729Z
675,1.1392209012e+00,2.163681e+05,2025-11-14T23:53:03.360549Z
700,1.1550441253e+00,2.193734e+05,2025-11-14T23:53:03.464269Z
725,1.1650056840e+00,2.212654e+05,2025-11-14T23:53:03.566954Z
750,1.1690634446e+00,2.220361e+05,2025-11-14T23:53:03.670467Z
775,1.1672437115e+00,2.216904e+05,2025-11-14T23:53:03.779287Z
800,1.1596384562e+00,2.202460e+05,2025-11-14T23:53:03.901765Z
825,1.1464008876e+00,2.177318e+05,2025-11-14T23:53:04.016918Z
850,1.1277417554e+00,2.141879e+05,2025-11-14T23:53:04.122505Z
875,1.1039274065e+00,2.096649e+05,2025-11-14T23:53:04.232469Z
900,1.0752783888e+00,2.042237e+05,2025-11-14T23:53:04.340815Z
925,1.0421663858e+00,1.979348e+05,2025-11-14T23:53:04.455990Z
950,1.0050083501e+00,1.908775e+05,2025-11-14T23:53:04.567740Z
975,9.6425885615e-01,1.831381e+05,2025-11-14T23:53:04.696210Z
1000,9.2040290854e-01,1.748086e+05,2025-11-14T23:53:04.814290Z
1025,8.7395065354e-01,1.659861e+05,2025-11-14T23:53:04.926230Z
1050,8.2543341461e-01,1.567713e+05,2025-11-14T23:53:05.035694Z
1075,7.7539909231e-01,1.472685e+05,2025-11-14T23:53:05.144072Z
1100,7.2440548243e-01,1.375834e+05,2025-11-14T23:53:05.266945Z
1125,6.7301195548e-01,1.278223e+05,2025-11-14T23:53:05.381368Z
1150,6.2177144541e-01,1.180904e+05,2025-11-14T23:53:05.491707Z
1175,5.7122444728e-01,1.084901e+05,2025-11-14T23:53:05.608466Z
1200,5.2189498888e-01,9.912110e+04,2025-11-14T23:53:05.725377Z
1225,4.7428694035e-01,9.007904e+04,2025-11-14T23:53:05.842142Z
1250,4.2887901837e-01,8.145483e+04,2025-11-14T23:53:05.956145Z
1275,3.8611839771e-01,7.333342e+04,2025-11-14T23:53:06.070849Z
1300,3.4641449554e-01,6.579257e+04,2025-11-14T23:53:06.180662Z
1325,3.1013472118e-01,5.890205e+04,2025-11-14T23:53:06.282518Z
1350,2.7760259761e-01,5.272331e+04,2025-11-14T23:53:06.389753Z
1375,2.4909695765e-01,4.730931e+04,2025-11-14T23:53:06.513808Z
1400,2.2485046070e-01,4.270424e+04,2025-11-14T23:53:06.626268Z
1425,2.0504685306e-01,3.894299e+04,2025-11-14T23:53:06.742322Z
1450,1.8981809067e-01,3.605064e+04,2025-11-14T23:53:06.853346Z
1475,1.7924308423e-01,3.404215e+04,2025-11-14T23:53:06.960402Z
1500,1.7334883862e-01,3.292268e+04,2025-11-14T23:53:07.077626Z
1525,1.7211307230e-01,3.268797e+04,2025-11-14T23:53:07.187832Z
1550,1.7546657397e-01,3.332489e+04,2025-11-14T23:53:07.302856Z
1575,1.8329432392e-01,3.481160e+04,2025-11-14T23:53:07.411048Z
1600,1.9543603489e-01,3.711764e+04,2025-11-14T23:53:07.521267Z
1625,2.1168773554e-01,4.020428e+04,2025-11-14T23:53:07.635171Z
1650,2.3180544333e-01,4.402518e+04,2025-11-14T23:53:07.748091Z
1675,2.5551040275e-01,4.852740e+04,2025-11-14T23:53:07.852829Z
1700,2.8249425689e-01,5.365237e+04,2025-11-14T23:53:07.965858Z
1725,3.1242288392e-01,5.933663e+04,2025-11-14T23:53:08.068000Z
1750,3.4493910807e-01,6.551235e+04,2025-11-14T23:53:08.159895Z
1775,3.7966570750e-01,7.210788e+04,2025-11-14T23:53:08.258765Z
1800,4.1620997901e-01,7.904864e+04,2025-11-14T23:53:08.367654Z
1825,4.5416974946e-01,8.625823e+04,2025-11-14T23:53:08.470749Z
1850,4.9313942797e-01,9.365964e+04,2025-11-14T23:53:08.583965Z
1875,5.3271466219e-01,1.011761e+05,2025-11-14T23:53:08.701969Z
1900,5.7249540861e-01,1.087315e+05,2025-11-14T23:53:08.808763Z
1925,6.1208858606e-01,1.162513e+05,2025-11-14T23:53:08.914398Z
1950,6.5111170105e-01,1.236629e+05,2025-11-14T23:53:09.025964Z
1975,6.8919772972e-01,1.308965e+05,2025-11-14T23:53:09.130066Z
2000,7.2600015123e-01,1.378862e+05,2025-11-14T23:53:09.244092Z
2025,7.6119664106e-01,1.445710e+05,2025-11-14T23:53:09.345852Z
2050,7.9449089600e-01,1.508945e+05,2025-11-14T23:53:09.454456Z
2075,8.2561347667e-01,1.568055e+05,2025-11-14T23:53:09.558134Z
2100,8.5432311332e-01,1.622583e+05,2025-11-14T23:53:09.665000Z
2125,8.8040912619e-01,1.672127e+05,2025-11-14T23:53:09.760546Z
2150,9.0369421698e-01,1.716352e+05,2025-11-14T23:53:09.876180Z
2175,9.2403619010e-01,1.754987e+05,2025-11-14T23:53:09.993823Z
2200,9.4132780123e-01,1.787828e+05,2025-11-14T23:53:10.105774Z
2225,9.5549530415e-01,1.814736e+05,2025-11-14T23:53:10.222624Z
2250,9.6649710439e-01,1.835632e+05,2025-11-14T23:53:10.343202Z
2275,9.7432346683e-01,1.850496e+05,2025-11-14T23:53:10.440455Z
2300,9.7899690904e-01,1.859372e+05,2025-11-14T23:53:10.544602Z
2325,9.8057196991e-01,1.862364e+05,2025-11-14T23:53:10.667747Z
2350,9.7913334213e-01,1.859631e+05,2025-11-14T23:53:10.771771Z
2375,9.7479261079e-01,1.851387e+05,2025-11-14T23:53:10.893483Z
2400,9.6768488479e-01,1.837888e+05,2025-11-14T23:53:11.001417Z
2425,9.5796648226e-01,1.819430e+05,2025-11-14T23:53:11.101802Z
2450,9.4581366692e-01,1.796348e+05,2025-11-14T23:53:11.210758Z
2475,9.3142131541e-01,1.769013e+05,2025-11-14T23:53:11.322906Z
2500,9.1500035600e-01,1.737825e+05,2025-11-14T23:53:11.421187Z
2525,8.9677388311e-01,1.703208e+05,2025-11-14T23:53:11.521489Z
2550,8.7697302485e-01,1.665601e+05,2025-11-14T23:53:11.633823Z
2575,8.5583383830e-01,1.625452e+05,2025-11-14T23:53:11.736925Z
2600,8.3359555722e-01,1.583216e+05,2025-11-14T23:53:11.841858Z
2625,8.1049930599e-01,1.539349e+05,2025-11-14T23:53:11.949540Z
2650,7.8678604174e-01,1.494311e+05,2025-11-14T23:53:12.058936Z
2675,7.6269330830e-01,1.448553e+05,2025-11-14T23:53:12.166935Z
2700,7.3845160776e-01,1.402511e+05,2025-11-14T23:53:12.272852Z
2725,7.1428168367e-01,1.356606e+05,2025-11-14T23:53:12.397044Z
2750,6.9039331709e-01,1.311235e+05,2025-11-14T23:53:12.511793Z
2775,6.6698501120e-01,1.266777e+05,2025-11-14T23:53:12.612887Z
2800,6.4424331543e-01,1.223584e+05,2025-11-14T23:53:12.729097Z
2825,6.2234108460e-01,1.181986e+05,2025-11-14T23:53:12.837523Z
2850,6.0143516479e-01,1.142280e+05,2025-11-14T23:53:12.944417Z
2875,5.8166473284e-01,1.104730e+05,2025-11-14T23:53:13.058418Z
2900,5.6315111230e-01,1.069568e+05,2025-11-14T23:53:13.172790Z
2925,5.4599872648e-01,1.036991e+05,2025-11-14T23:53:13.279682Z
2950,5.3029600789e-01,1.007167e+05,2025-11-14T23:53:13.384411Z
2975,5.1611533339e-01,9.802339e+04,2025-11-14T23:53:13.496031Z
3000,5.0351215331e-01,9.562970e+04,2025-11-14T23:53:13.611658Z
3025,4.9252440555e-01,9.354283e+04,2025-11-14T23:53:13.733870Z
3050,4.8317319778e-01,9.176678e+04,2025-11-14T23:53:13.867961Z
3075,4.7546471061e-01,9.030273e+04,2025-11-14T23:53:13.987244Z
3100,4.6939227876e-01,8.914941e+04,2025-11-14T23:53:14.092813Z
3125,4.6493756558e-01,8.830333e+04,2025-11-14T23:53:14.204998Z
3150,4.6207068813e-01,8.775884e+04,2025-11-14T23:53:14.314860Z
3175,4.6075019647e-01,8.750804e+04,2025-11-14T23:53:14.430374Z
3200,4.6092399482e-01,8.754105e+04,2025-11-14T23:53:14.537977Z
3225,4.6253145120e-01,8.784635e+04,2025-11-14T23:53:14.654695Z
3250,4.6550586335e-01,8.841127e+04,2025-11-14T23:53:14.760672Z
3275,4.6977613210e-01,8.922231e+04,2025-11-14T23:53:14.870630Z
3300,4.7526722641e-01,9.026522e+04,2025-11-14T23:53:14.978676Z
3325,4.8190012125e-01,9.152499e+04,2025-11-14T23:53:15.089590Z
3350,4.8959233410e-01,9.298595e+04,2025-11-14T23:53:15.202761Z
3375,4.9825957105e-01,9.463209e+04,2025-11-14T23:53:15.320879Z
3400,5.0781789507e-01,9.644748e+04,2025-11-14T23:53:15.426188Z
3425,5.1818526458e-01,9.841653e+04,2025-11-14T23:53:15.535826Z
3450,5.2928177624e-01,1.005241e+05,2025-11-14T23:53:15.636884Z
3475,5.4102902412e-01,1.027552e+05,2025-11-14T23:53:15.742054Z
3500,5.5334966007e-01,1.050952e+05,2025-11-14T23:53:15.842230Z
3525,5.6616789281e-01,1.075297e+05,2025-11-14T23:53:15.940450Z
3550,5.7941063636e-01,1.100449e+05,2025-11-14T23:53:16.033357Z
3575,5.9300827950e-01,1.126275e+05,2025-11-14T23:53:16.130859Z
3600,6.0689429441e-01,1.152648e+05,2025-11-14T23:53:16.234431Z
3625,6.2100391487e-01,1.179446e+05,2025-11-14T23:53:16.341954Z
3650,6.3527296088e-01,1.206547e+05,2025-11-14T23:53:16.440009Z
3675,6.4963778805e-01,1.233829e+05,2025-11-14T23:53:16.540986Z
3700,6.6403638285e-01,1.261176e+05,2025-11-14T23:53:16.640655Z
3725,6.7840967799e-01,1.288475e+05,2025-11-14T23:53:16.742372Z
3750,6.9270206633e-01,1.315620e+05,2025-11-14T23:53:16.846753Z
3775,7.0686089297e-01,1.342512e+05,2025-11-14T23:53:16.941905Z
3800,7.2083562485e-01,1.369054e+05,2025-11-14T23:53:17.054540Z
3825,7.3457756992e-01,1.395153e+05,2025-11-14T23:53:17.170200Z
3850,7.4804029914e-01,1.420723e+05,2025-11-14T23:53:17.274257Z
