x,chi
0.000000e+00,1.000000e-02
5.000000e-02,1.002000e-02
1.000000e-01,1.003900e-02
1.500000e-01,1.005900e-02
2.000000e-01,1.007800e-02
2.500000e-01,1.009800e-02
3.000000e-01,1.011700e-02
3.500000e-01,1.013700e-02
4.000000e-01,1.015600e-02
4.500000e-01,1.017600e-02
5.000000e-01,1.019500e-02
5.500000e-01,1.021500e-02
6.000000e-01,1.023400e-02
6.500000e-01,1.025400e-02
7.000000e-01,1.027300e-02
7.500000e-01,1.029300e-02
8.000000e-01,1.031200e-02
8.500000e-01,1.033200e-02
9.000000e-01,1.035200e-02
9.500000e-01,1.037100e-02
1.000000e+00,1.039100e-02
1.050000e+00,1.041000e-02
1.100000e+00,1.043000e-02
1.150000e+00,1.044900e-02
1.200000e+00,1.046900e-02
1.250000e+00,1.048800e-02
1.300000e+00,1.050800e-02
1.350000e+00,1.052700e-02
1.400000e+00,1.054700e-02
1.450000e+00,1.056600e-02
1.500000e+00,1.058600e-02
1.550000e+00,1.060500e-02
1.600000e+00,1.062500e-02
1.650000e+00,1.064500e-02
1.700000e+00,1.066400e-02
1.750000e+00,1.068400e-02
1.800000e+00,1.070300e-02
1.850000e+00,1.072300e-02
1.900000e+00,1.074200e-02
1.950000e+00,1.076200e-02
2.000000e+00,1.078100e-02
2.050000e+00,1.080100e-02
2.100000e+00,1.082000e-02
2.150000e+00,1.084000e-02
2.200000e+00,1.085900e-02
2.250000e+00,1.087900e-02
2.300000e+00,1.089800e-02
2.350000e+00,1.091800e-02
2.400000e+00,1.093700e-02
2.450000e+00,1.095700e-02
2.500000e+00,1.097700e-02
2.550000e+00,1.099600e-02
2.600000e+00,1.101600e-02
2.650000e+00,1.103500e-02
2.700000e+00,1.105500e-02
2.750000e+00,1.107400e-02
2.800000e+00,1.109400e-02
2.850000e+00,1.111300e-02
2.900000e+00,1.113300e-02
2.950000e+00,1.115200e-02
3.000000e+00,1.117200e-02
3.050000e+00,1.119100e-02
3.100000e+00,1.121100e-02
3.150000e+00,1.123000e-02
3.200000e+00,1.125000e-02
3.250000e+00,1.127000e-02
3.300000e+00,1.128900e-02
3.350000e+00,1.130900e-02
3.400000e+00,1.132800e-02
3.450000e+00,1.134800e-02
3.500000e+00,1.136700e-02
3.550000e+00,1.138700e-02
3.600000e+00,1.140600e-02
3.650000e+00,1.142600e-02
3.700000e+00,1.144500e-02
3.750000e+00,1.146500e-02
3.800000e+00,1.148400e-02
3.850000e+00,1.150400e-02
3.900000e+00,1.152300e-02
3.950000e+00,1.154300e-02
4.000000e+00,1.156300e-02
4.050000e+00,1.158200e-02
4.100000e+00,1.160200e-02
4.150000e+00,1.162100e-02
4.200000e+00,1.164100e-02
4.250000e+00,1.166000e-02
4.300000e+00,1.168000e-02
4.350000e+00,1.169900e-02
4.400000e+00,1.171900e-02
4.450000e+00,1.173800e-02
4.500000e+00,1.175800e-02
4.550000e+00,1.177700e-02
4.600000e+00,1.179700e-02
4.650000e+00,1.181600e-02
4.700000e+00,1.183600e-02
4.750000e+00,1.185500e-02
4.800000e+00,1.187500e-02
4.850000e+00,1.189500e-02
4.900000e+00,1.191400e-02
4.950000e+00,1.193400e-02
5.000000e+00,1.195300e-02
5.050000e+00,1.197300e-02
5.100000e+00,1.199200e-02
5.150000e+00,1.201200e-02
5.200000e+00,1.203100e-02
5.250000e+00,1.205100e-02
5.300000e+00,1.207000e-02
5.350000e+00,1.209000e-02
5.400000e+00,1.210900e-02
5.450000e+00,1.212900e-02
5.500000e+00,1.214800e-02
5.550000e+00,1.216800e-02
5.600000e+00,1.218700e-02
5.650000e+00,1.220700e-02
5.700000e+00,1.222700e-02
5.750000e+00,1.224600e-02
5.800000e+00,1.226600e-02
5.850000e+00,1.228500e-02
5.900000e+00,1.230500e-02
5.950000e+00,1.232400e-02
6.000000e+00,1.234400e-02
6.050000e+00,1.236300e-02
6.100000e+00,1.238300e-02
6.150000e+00,1.240200e-02
6.200000e+00,1.242200e-02
6.250000e+00,1.244100e-02
6.300000e+00,1.246100e-02
6.350000e+00,1.248000e-02
6.400000e+00,1.250000e-02
6.450000e+00,1.252000e-02
6.500000e+00,1.253900e-02
6.550000e+00,1.255900e-02
6.600000e+00,1.257800e-02
6.650000e+00,1.259800e-02
6.700000e+00,1.261700e-02
6.750000e+00,1.263700e-02
6.800000e+00,1.265600e-02
6.850000e+00,1.267600e-02
6.900000e+00,1.269500e-02
6.950000e+00,1.271500e-02
7.000000e+00,1.273400e-02
7.050000e+00,1.275400e-02
7.100000e+00,1.277300e-02
7.150000e+00,1.279300e-02
7.200000e+00,1.281200e-02
7.250000e+00,1.283200e-02
7.300000e+00,1.285200e-02
7.350000e+00,1.287100e-02
7.400000e+00,1.289100e-02
7.450000e+00,1.291000e-02
7.500000e+00,1.293000e-02
7.550000e+00,1.294900e-02
7.600000e+00,1.296900e-02
7.650000e+00,1.298800e-02
7.700000e+00,1.300800e-02
7.750000e+00,1.302700e-02
7.800000e+00,1.304700e-02
7.850000e+00,1.306600e-02
7.900000e+00,1.308600e-02
7.950000e+00,1.310500e-02
8.000000e+00,1.312500e-02
8.050000e+00,1.314500e-02
8.100000e+00,1.316400e-02
8.150000e+00,1.318400e-02
8.200000e+00,1.320300e-02
8.250000e+00,1.322300e-02
8.300000e+00,1.324200e-02
8.350000e+00,1.326200e-02
8.400000e+00,1.328100e-02
8.450000e+00,1.330100e-02
8.500000e+00,1.332000e-02
8.550000e+00,1.334000e-02
8.600000e+00,1.335900e-02
8.650000e+00,1.337900e-02
8.700000e+00,1.339800e-02
8.750000e+00,1.341800e-02
8.800000e+00,1.343800e-02
8.850000e+00,1.345700e-02
8.900000e+00,1.347700e-02
8.950000e+00,1.349600e-02
9.000000e+00,1.351600e-02
9.050000e+00,1.353500e-02
9.100000e+00,1.355500e-02
9.150000e+00,1.357400e-02
9.200000e+00,1.359400e-02
9.250000e+00,1.361300e-02
9.300000e+00,1.363300e-02
9.350000e+00,1.365200e-02
9.400000e+00,1.367200e-02
9.450000e+00,1.369100e-02
9.500000e+00,1.371100e-02
9.550000e+00,1.373000e-02
9.600000e+00,1.375000e-02
9.650000e+00,1.377000e-02
9.700000e+00,1.378900e-02
9.750000e+00,1.380900e-02
9.800000e+00,1.382800e-02
9.850000e+00,1.384800e-02
9.900000e+00,1.386700e-02
9.950000e+00,1.388700e-02
1.000000e+01,1.390600e-02
1.005000e+01,1.392600e-02
1.010000e+01,1.394500e-02
1.015000e+01,1.396500e-02
1.020000e+01,1.398400e-02
1.025000e+01,1.400400e-02
1.030000e+01,1.402300e-02
1.035000e+01,1.404300e-02
1.040000e+01,1.406200e-02
1.045000e+01,1.408200e-02
1.050000e+01,1.410200e-02
1.055000e+01,1.412100e-02
1.060000e+01,1.414100e-02
1.065000e+01,1.416000e-02
1.070000e+01,1.418000e-02
1.075000e+01,1.419900e-02
1.080000e+01,1.421900e-02
1.085000e+01,1.423800e-02
1.090000e+01,1.425800e-02
1.095000e+01,1.427700e-02
1.100000e+01,1.429700e-02
1.105000e+01,1.431600e-02
1.110000e+01,1.433600e-02
1.115000e+01,1.435500e-02
1.120000e+01,1.437500e-02
1.125000e+01,1.439500e-02
1.130000e+01,1.441400e-02
1.135000e+01,1.443400e-02
1.140000e+01,1.445300e-02
1.145000e+01,1.447300e-02
1.150000e+01,1.449200e-02
1.155000e+01,1.451200e-02
1.160000e+01,1.453100e-02
1.165000e+01,1.455100e-02
1.170000e+01,1.457000e-02
1.175000e+01,1.459000e-02
1.180000e+01,1.460900e-02
1.185000e+01,1.462900e-02
1.190000e+01,1.464800e-02
1.195000e+01,1.466800e-02
1.200000e+01,1.468700e-02
1.205000e+01,1.470700e-02
1.210000e+01,1.472700e-02
1.215000e+01,1.474600e-02
1.220000e+01,1.476600e-02
1.225000e+01,1.478500e-02
1.230000e+01,1.480500e-02
1.235000e+01,1.482400e-02
1.240000e+01,1.484400e-02
1.245000e+01,1.486300e-02
1.250000e+01,1.488300e-02
1.255000e+01,1.490200e-02
1.260000e+01,1.492200e-02
1.265000e+01,1.494100e-02
1.270000e+01,1.496100e-02
1.275000e+01,1.498000e-02
1.280000e+01,1.500000e-02
1.285000e+01,1.502000e-02
1.290000e+01,1.503900e-02
1.295000e+01,1.505900e-02
1.300000e+01,1.507800e-02
1.305000e+01,1.509800e-02
1.310000e+01,1.511700e-02
1.315000e+01,1.513700e-02
1.320000e+01,1.515600e-02
1.325000e+01,1.517600e-02
1.330000e+01,1.519500e-02
1.335000e+01,1.521500e-02
1.340000e+01,1.523400e-02
1.345000e+01,1.525400e-02
1.350000e+01,1.527300e-02
1.355000e+01,1.529300e-02
1.360000e+01,1.531300e-02
1.365000e+01,1.533200e-02
