time,E_rms
0.00000000e+00,7.0710678119e-01
1.50000000e-01,7.0729948210e-01
3.00000000e-01,7.0796222726e-01
4.50000000e-01,7.0882622541e-01
6.00000000e-01,7.0954204186e-01
7.50000000e-01,7.0982100869e-01
9.00000000e-01,7.0955083127e-01
1.05000000e+00,7.0884026440e-01
1.20000000e+00,7.0797584705e-01
1.35000000e+00,7.0730716573e-01
1.50000000e+00,7.0710540863e-01
1.65000000e+00,7.0745253045e-01
1.80000000e+00,7.0820756626e-01
1.95000000e+00,7.0906451786e-01
2.10000000e+00,7.0967710737e-01
2.25000000e+00,7.0979846400e-01
2.40000000e+00,7.0937974722e-01
2.55000000e+00,7.0858956324e-01
2.70000000e+00,7.0774680304e-01
2.85000000e+00,7.0719259432e-01
3.00000000e+00,7.0715184183e-01
3.15000000e+00,7.0764110150e-01
3.30000000e+00,7.0846177235e-01
3.45000000e+00,7.0928152571e-01
3.60000000e+00,7.0976940051e-01
3.75000000e+00,7.0972889665e-01
3.90000000e+00,7.0917631443e-01
4.05000000e+00,7.0833427531e-01
4.20000000e+00,7.0754288276e-01
4.35000000e+00,7.0712274188e-01
4.50000000e+00,7.0724443669e-01
4.65000000e+00,7.0785853006e-01
4.80000000e+00,7.0871589005e-01
4.95000000e+00,7.0946963071e-01
5.10000000e+00,7.0981568868e-01
5.25000000e+00,7.0961474284e-01
5.40000000e+00,7.0894767145e-01
5.55000000e+00,7.0808338943e-01
5.70000000e+00,7.0737129095e-01
5.85000000e+00,7.0710008143e-01
6.00000000e+00,7.0737991559e-01
6.15000000e+00,7.0809713752e-01
6.30000000e+00,7.0896097653e-01
6.45000000e+00,7.0962223484e-01
6.60000000e+00,7.0981435110e-01
6.75000000e+00,7.0946000171e-01
6.90000000e+00,7.0870184874e-01
7.05000000e+00,7.0784574875e-01
7.20000000e+00,7.0723809492e-01
7.35000000e+00,7.0712541538e-01
7.50000000e+00,7.0755348521e-01
7.65000000e+00,7.0834850535e-01
7.80000000e+00,7.0918841575e-01
7.95000000e+00,7.0973398912e-01
8.10000000e+00,7.0976543459e-01
8.25000000e+00,7.0927009734e-01
8.40000000e+00,7.0844748869e-01
8.55000000e+00,7.0762973815e-01
8.70000000e+00,7.0714800738e-01
8.85000000e+00,7.0719784665e-01
9.00000000e+00,7.0775900855e-01
9.15000000e+00,7.0860377392e-01
9.30000000e+00,7.0939021999e-01
9.45000000e+00,7.0980097860e-01
9.60000000e+00,7.0967065200e-01
9.75000000e+00,7.0905169114e-01
9.90000000e+00,7.0819354321e-01
1.00500000e+01,7.0744298657e-01
1.02000000e+01,7.0710421725e-01
1.03500000e+01,7.0731481097e-01
1.05000000e+01,7.0798922458e-01
1.06500000e+01,7.0885395566e-01
1.08000000e+01,7.0955930815e-01
1.09500000e+01,7.0982085735e-01
1.11000000e+01,7.0953332320e-01
1.12500000e+01,7.0881245085e-01
1.14000000e+01,7.0794895911e-01
1.15500000e+01,7.0729209515e-01
1.17000000e+01,7.0710827506e-01
1.18500000e+01,7.0747216911e-01
1.20000000e+01,7.0823600732e-01
1.21500000e+01,7.0909025138e-01
1.23000000e+01,7.0968975171e-01
1.24500000e+01,7.0979292939e-01
1.26000000e+01,7.0935826060e-01
1.27500000e+01,7.0856078369e-01
1.29000000e+01,7.0772236241e-01
1.30500000e+01,7.0718240128e-01
1.32000000e+01,7.0716003713e-01
1.33500000e+01,7.0766435555e-01
1.35000000e+01,7.0849065471e-01
1.36500000e+01,7.0930435874e-01
1.38000000e+01,7.0977697997e-01
1.39500000e+01,7.0971817255e-01
1.41000000e+01,7.0915160296e-01
1.42500000e+01,7.0830554262e-01
1.44000000e+01,7.0752175263e-01
1.45500000e+01,7.0711778721e-01
1.47000000e+01,7.0725767072e-01
1.48500000e+01,7.0788457795e-01
