time,projection,step
0.00000000e+00,1.0000000000e+00,0
2.50000000e-03,9.9510902333e-01,1
5.00000000e-03,9.8040848360e-01,2
7.50000000e-03,9.5604329544e-01,3
1.00000000e-02,9.2225364545e-01,4
1.25000000e-02,8.7937262448e-01,5
1.50000000e-02,8.2782294408e-01,6
1.75000000e-02,7.6811276951e-01,7
2.00000000e-02,7.0083071037e-01,8
2.25000000e-02,6.2664001822e-01,9
2.50000000e-02,5.4627204836e-01,10
2.75000000e-02,4.6051905035e-01,11
3.00000000e-02,3.7022635812e-01,12
3.25000000e-02,2.7628405694e-01,13
3.50000000e-02,1.7961820907e-01,14
3.75000000e-02,8.1181724907e-02,15
4.00000000e-02,-1.8055030613e-02,16
4.25000000e-02,-1.1711380366e-01,17
4.50000000e-02,-2.1501809493e-01,18
4.75000000e-02,-3.1080278571e-01,19
5.00000000e-02,-4.0352365187e-01,20
5.25000000e-02,-4.9226667177e-01,21
5.50000000e-02,-5.7615703647e-01,22
5.75000000e-02,-6.5436777347e-01,23
6.00000000e-02,-7.2612789872e-01,24
6.25000000e-02,-7.9073001692e-01,25
6.50000000e-02,-8.4753729475e-01,26
6.75000000e-02,-8.9598973875e-01,27
7.00000000e-02,-9.3560971550e-01,28
7.25000000e-02,-9.6600666010e-01,29
7.50000000e-02,-9.8688092625e-01,30
7.75000000e-02,-9.9802674008e-01,31
8.00000000e-02,-9.9933422863e-01,32
8.25000000e-02,-9.9079050299e-01,33
8.50000000e-02,-9.7247978528e-01,34
8.75000000e-02,-9.4458257849e-01,35
9.00000000e-02,-9.0737388708e-01,36
9.25000000e-02,-8.6122050602e-01,37
9.50000000e-02,-8.0657740506e-01,38
9.75000000e-02,-7.4398324373e-01,39
1.00000000e-01,-6.7405506133e-01,40
1.02500000e-01,-5.9748219429e-01,41
1.05000000e-01,-5.1501948088e-01,42
1.07500000e-01,-4.2747982016e-01,43
1.10000000e-01,-3.3572615860e-01,44
1.12500000e-01,-2.4066298336e-01,45
1.15000000e-01,-1.4322740605e-01,46
1.17500000e-01,-4.4379924869e-02,47
1.20000000e-01,5.4905043721e-02,48
1.22500000e-01,1.5364877062e-01,49
1.25000000e-01,2.5087786217e-01,50
1.27500000e-01,3.4563385564e-01,51
1.30000000e-01,4.3698266756e-01,52
1.32500000e-01,5.2402380169e-01,53
1.35000000e-01,6.0589922592e-01,54
1.37500000e-01,6.8180183056e-01,55
1.40000000e-01,7.5098338464e-01,56
1.42500000e-01,8.1276191181e-01,57
1.45000000e-01,8.6652841312e-01,58
1.47500000e-01,9.1175287037e-01,59
1.50000000e-01,9.4798947093e-01,60
1.52500000e-01,9.7488100248e-01,61
1.55000000e-01,9.9216237428e-01,62
1.57500000e-01,9.9966323042e-01,63
1.60000000e-01,9.9730962913e-01,64
1.62500000e-01,9.8512477169e-01,65
1.65000000e-01,9.6322877371e-01,66
1.67500000e-01,9.3183748106e-01,67
1.70000000e-01,8.9126034211e-01,68
1.72500000e-01,8.4189735725e-01,69
1.75000000e-01,7.8423513580e-01,70
1.77500000e-01,7.1884209909e-01,71
1.80000000e-01,6.4636287710e-01,72
1.82500000e-01,5.6751195385e-01,73
1.85000000e-01,4.8306662420e-01,74
1.87500000e-01,3.9385933137e-01,75
1.90000000e-01,3.0076946100e-01,76
1.92500000e-01,2.0471467228e-01,77
1.95000000e-01,1.0664185193e-01,78
1.97500000e-01,7.5177799639e-03,79
2.00000000e-01,-9.1680400606e-02,80
2.02500000e-01,-1.8997481621e-01,81
2.05000000e-01,-2.8639650240e-01,82
2.07500000e-01,-3.7999495567e-01,83
2.10000000e-01,-4.6984750331e-01,84
2.12500000e-01,-5.5506839894e-01,85
