step,time,kinetic,gradient,potential,total
0,2.00000000e-04,2.7424523231e-01,4.8724276927e+00,0.0000000000e+00,5.1466729250e+00
240,4.82000000e-02,3.0639720596e+00,2.4596593188e+00,0.0000000000e+00,5.5236313784e+00
480,9.62000000e-02,2.9625055540e+00,2.5244910368e+00,0.0000000000e+00,5.4869965908e+00
720,1.44200000e-01,2.8235806781e+00,2.6186474361e+00,0.0000000000e+00,5.4422281143e+00
960,1.92200000e-01,2.3367773484e+00,3.0618459576e+00,0.0000000000e+00,5.3986233060e+00
1200,2.40200000e-01,2.6548831378e+00,2.8006058494e+00,0.0000000000e+00,5.4554889872e+00
1440,2.88200000e-01,3.1489844810e+00,2.3309484831e+00,0.0000000000e+00,5.4799329641e+00
1680,3.36200000e-01,3.0069301836e+00,2.4283632501e+00,0.0000000000e+00,5.4352934337e+00
1920,3.84200000e-01,3.1643192596e+00,2.3399303648e+00,0.0000000000e+00,5.5042496244e+00
2160,4.32200000e-01,2.6700920701e+00,2.7605771916e+00,0.0000000000e+00,5.4306692617e+00
2400,4.80200000e-01,2.8397445157e+00,2.6113417312e+00,0.0000000000e+00,5.4510862469e+00
2640,5.28200000e-01,2.9564328369e+00,2.4998710283e+00,0.0000000000e+00,5.4563038652e+00
2880,5.76200000e-01,3.0060000704e+00,2.4731062621e+00,0.0000000000e+00,5.4791063325e+00
3120,6.24200000e-01,3.0368607291e+00,2.4363961222e+00,0.0000000000e+00,5.4732568513e+00
3360,6.72200000e-01,2.6680911362e+00,2.7504993064e+00,0.0000000000e+00,5.4185904427e+00
3600,7.20200000e-01,3.1277894591e+00,2.3656571501e+00,0.0000000000e+00,5.4934466092e+00
3840,7.68200000e-01,2.8099283880e+00,2.6332283342e+00,0.0000000000e+00,5.4431567222e+00
4080,8.16200000e-01,2.9910331240e+00,2.4816914150e+00,0.0000000000e+00,5.4727245390e+00
4320,8.64200000e-01,2.7858074246e+00,2.6543005224e+00,0.0000000000e+00,5.4401079470e+00
4560,9.12200000e-01,2.9251443842e+00,2.5409386033e+00,0.0000000000e+00,5.4660829875e+00
4800,9.60200000e-01,2.9243764192e+00,2.5384179514e+00,0.0000000000e+00,5.4627943706e+00
5040,1.00820000e+00,2.8662988801e+00,2.5849466889e+00,0.0000000000e+00,5.4512455689e+00
5280,1.05620000e+00,2.8765606370e+00,2.5786162418e+00,0.0000000000e+00,5.4551768787e+00
5520,1.10420000e+00,2.9233247676e+00,2.5406241761e+00,0.0000000000e+00,5.4639489437e+00
5760,1.15220000e+00,2.9046772580e+00,2.5543168427e+00,0.0000000000e+00,5.4589941007e+00
6000,1.20020000e+00,2.8746901733e+00,2.5796996091e+00,0.0000000000e+00,5.4543897824e+00
6240,1.24820000e+00,2.8337456813e+00,2.6155900899e+00,0.0000000000e+00,5.4493357713e+00
6480,1.29620000e+00,2.9311076531e+00,2.5375194763e+00,0.0000000000e+00,5.4686271294e+00
6720,1.34420000e+00,2.9461533755e+00,2.5130711020e+00,0.0000000000e+00,5.4592244775e+00
6960,1.39220000e+00,2.8601204290e+00,2.5900645303e+00,0.0000000000e+00,5.4501849593e+00
7200,1.44020000e+00,3.0045739978e+00,2.4667447597e+00,0.0000000000e+00,5.4713187575e+00
7440,1.48820000e+00,2.8208618257e+00,2.6253518339e+00,0.0000000000e+00,5.4462136596e+00
7680,1.53620000e+00,3.0579472758e+00,2.4249131978e+00,0.0000000000e+00,5.4828604736e+00
7920,1.58420000e+00,2.7130109153e+00,2.7040971447e+00,0.0000000000e+00,5.4171080600e+00
8160,1.63220000e+00,3.2344708451e+00,2.2853641312e+00,0.0000000000e+00,5.5198349763e+00
8400,1.68020000e+00,2.7740564840e+00,2.6631552217e+00,0.0000000000e+00,5.4372117057e+00
8640,1.72820000e+00,2.9942824528e+00,2.4713269712e+00,0.0000000000e+00,5.4656094240e+00
8880,1.77620000e+00,2.9219884708e+00,2.5157125602e+00,0.0000000000e+00,5.4377010310e+00
9120,1.82420000e+00,3.4262298669e+00,2.1011299120e+00,0.0000000000e+00,5.5273597789e+00
9360,1.87220000e+00,2.8168670599e+00,2.6488882652e+00,0.0000000000e+00,5.4657553251e+00
9600,1.92020000e+00,2.2304690833e+00,3.1341893162e+00,0.0000000000e+00,5.3646583995e+00
9840,1.96820000e+00,2.7777209734e+00,2.6987261263e+00,0.0000000000e+00,5.4764470997e+00
10080,2.01620000e+00,2.8869796357e+00,2.5746878147e+00,0.0000000000e+00,5.4616674504e+00
10320,2.06420000e+00,2.4274192071e+00,3.0060393366e+00,0.0000000000e+00,5.4334585436e+00
10560,2.11220000e+00,2.4494970191e+00,2.9950559229e+00,0.0000000000e+00,5.4445529420e+00
10800,2.16020000e+00,2.0178413344e+00,3.4010200162e+00,0.0000000000e+00,5.4188613506e+00
11040,2.20820000e+00,2.5269192438e+00,2.8617205928e+00,0.0000000000e+00,5.3886398366e+00
11280,2.25620000e+00,2.8403758041e+00,2.5993329035e+00,0.0000000000e+00,5.4397087076e+00
11520,2.30420000e+00,3.6000796545e+00,1.9848062450e+00,0.0000000000e+00,5.5848858995e+00
11760,2.35220000e+00,2.4082885176e+00,2.9716041536e+00,0.0000000000e+00,5.3798926712e+00
12000,2.40020000e+00,2.5324854097e+00,2.8816371604e+00,0.0000000000e+00,5.4141225701e+00
12240,2.44820000e+00,2.8335745722e+00,2.6263955522e+00,0.0000000000e+00,5.4599701244e+00
12480,2.49620000e+00,3.1688223224e+00,2.3318264361e+00,0.0000000000e+00,5.5006487585e+00
12720,2.54420000e+00,2.5607873751e+00,2.8455544779e+00,0.0000000000e+00,5.4063418530e+00
12960,2.59220000e+00,2.6364748461e+00,2.8069407150e+00,0.0000000000e+00,5.4434155611e+00
13200,2.64020000e+00,3.1030471194e+00,2.3961227386e+00,0.0000000000e+00,5.4991698580e+00
13440,2.68820000e+00,2.6059241602e+00,2.7929708507e+00,0.0000000000e+00,5.3988950109e+00
13680,2.73620000e+00,3.2311727767e+00,2.2733988618e+00,0.0000000000e+00,5.5045716385e+00
13920,2.78420000e+00,2.7396299964e+00,2.6956679280e+00,0.0000000000e+00,5.4352979244e+00
14160,2.83220000e+00,3.1132641029e+00,2.3809970099e+00,0.0000000000e+00,5.4942611128e+00
14400,2.88020000e+00,2.5984514285e+00,2.8079273929e+00,0.0000000000e+00,5.4063788214e+00
14640,2.92820000e+00,3.0536791570e+00,2.4342241017e+00,0.0000000000e+00,5.4879032587e+00
14880,2.97620000e+00,2.9377743066e+00,2.5246231545e+00,0.0000000000e+00,5.4623974611e+00
15120,3.02420000e+00,2.8505661923e+00,2.5985366194e+00,0.0000000000e+00,5.4491028116e+00
15360,3.07220000e+00,2.9025777706e+00,2.5555655099e+00,0.0000000000e+00,5.4581432805e+00
15600,3.12020000e+00,2.8674666370e+00,2.5881846528e+00,0.0000000000e+00,5.4556512897e+00
15840,3.16820000e+00,2.9826218297e+00,2.4893386237e+00,0.0000000000e+00,5.4719604533e+00
16080,3.21620000e+00,2.8142686114e+00,2.6289478809e+00,0.0000000000e+00,5.4432164923e+00
16320,3.26420000e+00,2.8953358222e+00,2.5636557715e+00,0.0000000000e+00,5.4589915938e+00
16560,3.31220000e+00,2.9131638988e+00,2.5498638968e+00,0.0000000000e+00,5.4630277956e+00
16800,3.36020000e+00,2.8967422895e+00,2.5629722393e+00,0.0000000000e+00,5.4597145288e+00
17040,3.40820000e+00,2.8461633652e+00,2.6030494119e+00,0.0000000000e+00,5.4492127771e+00
17280,3.45620000e+00,2.9033179590e+00,2.5546820840e+00,0.0000000000e+00,5.4580000430e+00
17520,3.50420000e+00,2.9214734716e+00,2.5409456026e+00,0.0000000000e+00,5.4624190742e+00
17760,3.55220000e+00,2.9851546244e+00,2.4817090086e+00,0.0000000000e+00,5.4668636330e+00
18000,3.60020000e+00,2.7423811008e+00,2.6933078557e+00,0.0000000000e+00,5.4356889565e+00
18240,3.64820000e+00,2.9827692191e+00,2.4931350430e+00,0.0000000000e+00,5.4759042621e+00
18480,3.69620000e+00,2.7805846748e+00,2.6608090588e+00,0.0000000000e+00,5.4413937336e+00
18720,3.74420000e+00,3.0693694490e+00,2.4091216229e+00,0.0000000000e+00,5.4784910719e+00
18960,3.79220000e+00,3.1504509255e+00,2.3142014639e+00,0.0000000000e+00,5.4646523895e+00
19200,3.84020000e+00,3.0633940652e+00,2.4118876441e+00,0.0000000000e+00,5.4752817092e+00
19440,3.88820000e+00,3.0730987884e+00,2.4049440690e+00,0.0000000000e+00,5.4780428573e+00
19680,3.93620000e+00,2.5029314848e+00,2.9001425970e+00,0.0000000000e+00,5.4030740817e+00
19920,3.98420000e+00,3.4836516157e+00,2.0374811958e+00,0.0000000000e+00,5.5211328114e+00
20160,4.03220000e+00,2.9675133711e+00,2.5025971558e+00,0.0000000000e+00,5.4701105269e+00
20400,4.08020000e+00,2.7732280943e+00,2.6917685930e+00,0.0000000000e+00,5.4649966873e+00
