lag,normalized_autocorr
-2.400000000000000000e+04,-4.166493062789051121e-05
-2.399900000000000000e+04,-8.332986125578102242e-05
-2.399800000000000000e+04,-1.249947918836715540e-04
-2.399700000000000000e+04,-1.666597225115620719e-04
-2.399600000000000000e+04,-2.083246531394525899e-04
-2.399500000000000000e+04,-2.499895837673431079e-04
-2.399400000000000000e+04,-2.916545143952335717e-04
-2.399300000000000000e+04,-3.333194450231240897e-04
-2.399200000000000000e+04,-3.749843756510146077e-04
-2.399100000000000000e+04,-4.166493062789050714e-04
-2.399000000000000000e+04,-4.583142369067955894e-04
-2.398900000000000000e+04,-4.999791675346861074e-04
-2.398800000000000000e+04,-5.416440981625765712e-04
-2.398700000000000000e+04,-5.833090287904670350e-04
-2.398600000000000000e+04,-6.249739594183576072e-04
-2.398500000000000000e+04,-6.666388900462481793e-04
-2.398400000000000000e+04,-7.083038206741386431e-04
-2.398300000000000000e+04,-7.499687513020292153e-04
-2.398200000000000000e+04,-7.916336819299196791e-04
-2.398100000000000000e+04,-8.332986125578101429e-04
-2.398000000000000000e+04,-8.749635431857006066e-04
-2.397900000000000000e+04,-9.166284738135911788e-04
-2.397800000000000000e+04,-9.582934044414816426e-04
-2.397700000000000000e+04,-9.999583350693722148e-04
-2.397600000000000000e+04,-1.041623265697262787e-03
-2.397500000000000000e+04,-1.083288196325153359e-03
-2.397400000000000000e+04,-1.124953126953043931e-03
-2.397300000000000000e+04,-1.166618057580934504e-03
-2.397200000000000000e+04,-1.208282988208825076e-03
-2.397100000000000000e+04,-1.249947918836715865e-03
-2.397000000000000000e+04,-1.291612849464606437e-03
-2.396900000000000000e+04,-1.333277780092496359e-03
-2.396800000000000000e+04,-1.374942710720386931e-03
-2.396700000000000000e+04,-1.416607641348277503e-03
-2.396600000000000000e+04,-1.458272571976168075e-03
-2.396500000000000000e+04,-1.499937502604058864e-03
-2.396400000000000000e+04,-1.541602433231949437e-03
-2.396300000000000000e+04,-1.583267363859840009e-03
-2.396200000000000000e+04,-1.624932294487730581e-03
-2.396100000000000000e+04,-1.666597225115621153e-03
-2.396000000000000000e+04,-1.708262155743511725e-03
-2.395900000000000000e+04,-1.749927086371402514e-03
-2.395800000000000000e+04,-1.791592016999293087e-03
-2.395700000000000000e+04,-1.833256947627183659e-03
-2.395600000000000000e+04,-1.874921878255074231e-03
-2.395500000000000000e+04,-1.916586808882964803e-03
-2.395400000000000000e+04,-1.958251739510855592e-03
-2.395300000000000000e+04,-1.999916670138744863e-03
-2.395200000000000000e+04,-2.041581600766635002e-03
-2.395100000000000000e+04,-2.083246531394525574e-03
-2.395000000000000000e+04,-2.124911462022415713e-03
-2.394900000000000000e+04,-2.166576392650306285e-03
-2.394800000000000000e+04,-2.208241323278196857e-03
-2.394700000000000000e+04,-2.249906253906086995e-03
-2.394600000000000000e+04,-2.291571184533977568e-03
-2.394500000000000000e+04,-2.333236115161867706e-03
-2.394400000000000000e+04,-2.374901045789758278e-03
-2.394300000000000000e+04,-2.416565976417648417e-03
-2.394200000000000000e+04,-2.458230907045538989e-03
-2.394100000000000000e+04,-2.499895837673429561e-03
-2.394000000000000000e+04,-2.541560768301319700e-03
-2.393900000000000000e+04,-2.583225698929210272e-03
-2.393800000000000000e+04,-2.624890629557100410e-03
-2.393700000000000000e+04,-2.666555560184992717e-03
-2.393600000000000000e+04,-2.708220490812882856e-03
-2.393500000000000000e+04,-2.749885421440773428e-03
-2.393400000000000000e+04,-2.791550352068664000e-03
-2.393300000000000000e+04,-2.833215282696554139e-03
-2.393200000000000000e+04,-2.874880213324444711e-03
-2.393100000000000000e+04,-2.916545143952334850e-03
-2.393000000000000000e+04,-2.958210074580225422e-03
-2.392900000000000000e+04,-2.999875005208115560e-03
-2.392800000000000000e+04,-3.041539935836006132e-03
-2.392700000000000000e+04,-3.083204866463896705e-03
-2.392600000000000000e+04,-3.124869797091786843e-03
-2.392500000000000000e+04,-3.166534727719677415e-03
-2.392400000000000000e+04,-3.208199658347567554e-03
-2.392300000000000000e+04,-3.249864588975458126e-03
-2.392200000000000000e+04,-3.291529519603348698e-03
-2.392100000000000000e+04,-3.333194450231241005e-03
-2.392000000000000000e+04,-3.374859380859131577e-03
-2.391900000000000000e+04,-3.416524311487021716e-03
-2.391800000000000000e+04,-3.458189242114912288e-03
-2.391700000000000000e+04,-3.499854172742802427e-03
-2.391600000000000000e+04,-3.541519103370692999e-03
-2.391500000000000000e+04,-3.583184033998583571e-03
-2.391400000000000000e+04,-3.624848964626473709e-03
-2.391300000000000000e+04,-3.666513895254364282e-03
-2.391200000000000000e+04,-3.708178825882254420e-03
-2.391100000000000000e+04,-3.749843756510144992e-03
-2.391000000000000000e+04,-3.791508687138035131e-03
-2.390900000000000000e+04,-3.833173617765925703e-03
-2.390800000000000000e+04,-3.874838548393816275e-03
-2.390700000000000000e+04,-3.916503479021706847e-03
-2.390600000000000000e+04,-3.958168409649596986e-03
-2.390500000000000000e+04,-3.999833340277489727e-03
-2.390400000000000000e+04,-4.041498270905379865e-03
-2.390300000000000000e+04,-4.083163201533270004e-03
-2.390200000000000000e+04,-4.124828132161161010e-03
-2.390100000000000000e+04,-4.166493062789051148e-03
-2.390000000000000000e+04,-4.208157993416941287e-03
-2.389900000000000000e+04,-4.249822924044831425e-03
-2.389800000000000000e+04,-4.291487854672722431e-03
-2.389700000000000000e+04,-4.333152785300612569e-03
-2.389600000000000000e+04,-4.374817715928502708e-03
-2.389500000000000000e+04,-4.416482646556393714e-03
-2.389400000000000000e+04,-4.458147577184283852e-03
-2.389300000000000000e+04,-4.499812507812173991e-03
-2.389200000000000000e+04,-4.541477438440064129e-03
-2.389100000000000000e+04,-4.583142369067955135e-03
-2.389000000000000000e+04,-4.624807299695845274e-03
-2.388900000000000000e+04,-4.666472230323737147e-03
-2.388800000000000000e+04,-4.708137160951628153e-03
-2.388700000000000000e+04,-4.749802091579518291e-03
-2.388600000000000000e+04,-4.791467022207408430e-03
-2.388500000000000000e+04,-4.833131952835298568e-03
-2.388400000000000000e+04,-4.874796883463189574e-03
-2.388300000000000000e+04,-4.916461814091079713e-03
-2.388200000000000000e+04,-4.958126744718969851e-03
-2.388100000000000000e+04,-4.999791675346860857e-03
-2.388000000000000000e+04,-5.041456605974750996e-03
-2.387900000000000000e+04,-5.083121536602641134e-03
-2.387800000000000000e+04,-5.124786467230531273e-03
-2.387700000000000000e+04,-5.166451397858422279e-03
-2.387600000000000000e+04,-5.208116328486312417e-03
-2.387500000000000000e+04,-5.249781259114202556e-03
-2.387400000000000000e+04,-5.291446189742093562e-03
-2.387300000000000000e+04,-5.333111120369986302e-03
-2.387200000000000000e+04,-5.374776050997876441e-03
-2.387100000000000000e+04,-5.416440981625766579e-03
-2.387000000000000000e+04,-5.458105912253657585e-03
-2.386900000000000000e+04,-5.499770842881547724e-03
-2.386800000000000000e+04,-5.541435773509437862e-03
-2.386700000000000000e+04,-5.583100704137328868e-03
-2.386600000000000000e+04,-5.624765634765219006e-03
-2.386500000000000000e+04,-5.666430565393109145e-03
-2.386400000000000000e+04,-5.708095496021000151e-03
-2.386300000000000000e+04,-5.749760426648890289e-03
-2.386200000000000000e+04,-5.791425357276780428e-03
-2.386100000000000000e+04,-5.833090287904670566e-03
