# synthesized from summary endpoints; real time series not captured in legacy run
time,energy
0.000000,4.539243636e+01
0.020408,4.539207970e+01
0.040816,4.539172219e+01
0.061224,4.539136302e+01
0.081633,4.539100139e+01
0.102041,4.539063654e+01
0.122449,4.539026777e+01
0.142857,4.538989442e+01
0.163265,4.538951595e+01
0.183673,4.538913187e+01
0.204082,4.538874179e+01
0.224490,4.538834542e+01
0.244898,4.538794257e+01
0.265306,4.538753316e+01
0.285714,4.538711722e+01
0.306122,4.538669489e+01
0.326531,4.538626639e+01
0.346939,4.538583208e+01
0.367347,4.538539239e+01
0.387755,4.538494784e+01
0.408163,4.538449903e+01
0.428571,4.538404665e+01
0.448980,4.538359142e+01
0.469388,4.538313412e+01
0.489796,4.538267557e+01
0.510204,4.538221659e+01
0.530612,4.538175804e+01
0.551020,4.538130074e+01
0.571429,4.538084551e+01
0.591837,4.538039313e+01
0.612245,4.537994433e+01
0.632653,4.537949977e+01
0.653061,4.537906008e+01
0.673469,4.537862577e+01
0.693878,4.537819728e+01
0.714286,4.537777494e+01
0.734694,4.537735900e+01
0.755102,4.537694959e+01
0.775510,4.537654674e+01
0.795918,4.537615037e+01
0.816327,4.537576029e+01
0.836735,4.537537621e+01
0.857143,4.537499774e+01
0.877551,4.537462440e+01
0.897959,4.537425562e+01
0.918367,4.537389077e+01
0.938776,4.537352914e+01
0.959184,4.537316997e+01
0.979592,4.537281247e+01
1.000000,4.537245580e+01
