t,projection
0.00000000,4.9902486535e-01
0.00250000,4.9840719707e-01
0.00500000,4.9655337557e-01
0.00750000,4.9346799872e-01
0.01000000,4.8915871889e-01
0.01250000,4.8363622399e-01
0.01500000,4.7691421096e-01
0.01750000,4.6900935177e-01
0.02000000,4.5994125213e-01
0.02250000,4.4973240279e-01
0.02500000,4.3840812382e-01
0.02750000,4.2599650178e-01
0.03000000,4.1252832007e-01
0.03250000,3.9803698257e-01
0.03500000,3.8255843080e-01
0.03750000,3.6613105479e-01
0.04000000,3.4879559783e-01
0.04250000,3.3059505545e-01
0.04500000,3.1157456877e-01
0.04750000,2.9178131254e-01
0.05000000,2.7126437814e-01
0.05250000,2.5007465183e-01
0.05500000,2.2826468852e-01
0.05750000,2.0588858144e-01
0.06000000,1.8300182797e-01
0.06250000,1.5966119203e-01
0.06500000,1.3592456321e-01
0.06750000,1.1185081329e-01
0.07000000,8.7499650152e-02
0.07250000,6.2931469737e-02
0.07500000,3.8207206225e-02
0.07750000,1.3388180919e-02
0.08000000,-1.1464049854e-02
0.08250000,-3.6287847405e-02
0.08500000,-6.1021643568e-02
0.08750000,-8.5604093401e-02
0.09000000,-1.0997422733e-01
0.09250000,-1.3407160236e-01
0.09500000,-1.5783645202e-01
0.09750000,-1.8120983454e-01
0.10000000,-2.0413377909e-01
0.10250000,-2.2655142954e-01
0.10500000,-2.4840718545e-01
0.10750000,-2.6964684002e-01
0.11000000,-2.9021771451e-01
0.11250000,-3.1006878888e-01
0.11500000,-3.2915082835e-01
0.11750000,-3.4741650550e-01
0.12000000,-3.6482051767e-01
0.12250000,-3.8131969929e-01
0.12500000,-3.9687312897e-01
0.12750000,-4.1144223099e-01
0.13000000,-4.2499087095e-01
0.13250000,-4.3748544540e-01
0.13500000,-4.4889496522e-01
0.13750000,-4.5919113243e-01
0.14000000,-4.6834841040e-01
0.14250000,-4.7634408718e-01
0.14500000,-4.8315833184e-01
0.14750000,-4.8877424362e-01
0.15000000,-4.9317789392e-01
0.15250000,-4.9635836076e-01
0.15500000,-4.9830775593e-01
0.15750000,-4.9902124451e-01
0.16000000,-4.9849705692e-01
0.16250000,-4.9673649324e-01
0.16500000,-4.9374392004e-01
0.16750000,-4.8952675952e-01
0.17000000,-4.8409547111e-01
0.17250000,-4.7746352554e-01
0.17500000,-4.6964737140e-01
0.17750000,-4.6066639438e-01
0.18000000,-4.5054286917e-01
0.18250000,-4.3930190420e-01
0.18500000,-4.2697137940e-01
0.18750000,-4.1358187703e-01
0.19000000,-3.9916660583e-01
0.19250000,-3.8376131866e-01
0.19500000,-3.6740422384e-01
0.19750000,-3.5013589035e-01
0.20000000,-3.3199914723e-01
0.20250000,-3.1303897737e-01
0.20500000,-2.9330240593e-01
0.20750000,-2.7283838369e-01
0.21000000,-2.5169766568e-01
0.21250000,-2.2993268525e-01
0.21500000,-2.0759742409e-01
0.21750000,-1.8474727825e-01
0.22000000,-1.6143892085e-01
0.22250000,-1.3773016145e-01
0.22500000,-1.1367980268e-01
0.22750000,-8.9347494423e-02
0.23000000,-6.4793585851e-02
0.23250000,-4.0078975749e-02
0.23500000,-1.5264961475e-02
0.23750000,9.5869130693e-03
0.24000000,3.4415010081e-02
0.24250000,5.9157750730e-02
0.24500000,8.3753767889e-02
0.24750000,1.0814205833e-01
0.25000000,1.3226213405e-01
0.25250000,1.5605417224e-01
0.25500000,1.7945916371e-01
0.25750000,2.0241905925e-01
0.26000000,2.2487691354e-01
0.26250000,2.4677702644e-01
0.26500000,2.6806508114e-01
0.26750000,2.8868827884e-01
0.27000000,3.0859546974e-01
0.27250000,3.2773727988e-01
0.27500000,3.4606623359e-01
0.27750000,3.6353687127e-01
0.28000000,3.8010586212e-01
0.28250000,3.9573211160e-01
0.28500000,4.1037686337e-01
0.28750000,4.2400379541e-01
0.29000000,4.3657911010e-01
0.29250000,4.4807161806e-01
0.29500000,4.5845281548e-01
0.29750000,4.6769695484e-01
0.30000000,4.7578110875e-01
0.30250000,4.8268522684e-01
0.30500000,4.8839218546e-01
0.30750000,4.9288783018e-01
0.31000000,4.9616101086e-01
0.31250000,4.9820360933e-01
0.31500000,4.9901055952e-01
0.31750000,4.9857986004e-01
0.32000000,4.9691257910e-01
0.32250000,4.9401285192e-01
0.32500000,4.8988787040e-01
0.32750000,4.8454786537e-01
0.33000000,4.7800608114e-01
0.33250000,4.7027874270e-01
0.33500000,4.6138501544e-01
0.33750000,4.5134695766e-01
0.34000000,4.4018946582e-01
0.34250000,4.2794021281e-01
0.34500000,4.1462957932e-01
0.34750000,4.0029057849e-01
0.35000000,3.8495877400e-01
0.35250000,3.6867219192e-01
0.35500000,3.5147122634e-01
0.35750000,3.3339853923e-01
0.36000000,3.1449895459e-01
0.36250000,2.9481934733e-01
0.36500000,2.7440852694e-01
0.36750000,2.5331711650e-01
0.37000000,2.3159742707e-01
0.37250000,2.0930332799e-01
0.37500000,1.8649011324e-01
0.37750000,1.6321436435e-01
0.38000000,1.3953380997e-01
0.38250000,1.1550718282e-01
0.38500000,9.1194073889e-02
0.38750000,6.6654784747e-02
0.39000000,4.1950177914e-02
0.39250000,1.7141525940e-02
0.39500000,-7.7096405726e-03
0.39750000,-3.2541685578e-02
0.40000000,-5.7293020455e-02
0.40250000,-8.1902256758e-02
0.40500000,-1.0630835848e-01
0.40750000,-1.3045079342e-01
0.41000000,-1.5426968335e-01
0.41250000,-1.7770595246e-01
0.41500000,-2.0070147396e-01
0.41750000,-2.2319921418e-01
0.42000000,-2.4514337405e-01
0.42250000,-2.6647952752e-01
0.42500000,-2.8715475650e-01
0.42750000,-3.0711778212e-01
0.43000000,-3.2631909196e-01
0.43250000,-3.4471106277e-01
0.43500000,-3.6224807865e-01
0.43750000,-3.7888664417e-01
0.44000000,-3.9458549224e-01
0.44250000,-4.0930568645e-01
0.44500000,-4.2301071767e-01
0.44750000,-4.3566659459e-01
0.45000000,-4.4724192799e-01
0.45250000,-4.5770800867e-01
0.45500000,-4.6703887855e-01
0.45750000,-4.7521139516e-01
0.46000000,-4.8220528895e-01
0.46250000,-4.8800321362e-01
0.46500000,-4.9259078911e-01
0.46750000,-4.9595663729e-01
0.47000000,-4.9809241015e-01
0.47250000,-4.9899281053e-01
0.47500000,-4.9865560526e-01
0.47750000,-4.9708163067e-01
0.48000000,-4.9427479054e-01
0.48250000,-4.9024204643e-01
0.48500000,-4.8499340037e-01
0.48750000,-4.7854187009e-01
0.49000000,-4.7090345673e-01
0.49250000,-4.6209710513e-01
0.49500000,-4.5214465688e-01
0.49750000,-4.4107079611e-01
0.50000000,-4.2890298830e-01
0.50250000,-4.1567141211e-01
0.50500000,-4.0140888463e-01
0.50750000,-3.8615077985e-01
0.51000000,-3.6993494107e-01
0.51250000,-3.5280158690e-01
0.51500000,-3.3479321163e-01
0.51750000,-3.1595447977e-01
0.52000000,-2.9633211527e-01
0.52250000,-2.7597478566e-01
0.52500000,-2.5493298135e-01
0.52750000,-2.3325889038e-01
0.53000000,-2.1100626899e-01
0.53250000,-1.8823030828e-01
0.53500000,-1.6498749738e-01
0.53750000,-1.4133548326e-01
0.54000000,-1.1733292783e-01
0.54250000,-9.3039362412e-02
0.54500000,-6.8515040077e-02
0.54750000,-4.3820786233e-02
0.55000000,-1.9017847750e-02
0.55250000,5.8322589382e-03
0.55500000,3.0667900415e-02
0.55750000,5.5427479139e-02
0.56000000,8.0049586219e-02
0.56250000,1.0447315372e-01
0.56500000,1.2863760614e-01
0.56750000,1.5248301062e-01
0.57000000,1.7595022560e-01
0.57250000,1.9898104754e-01
0.57500000,2.2151835521e-01
0.57750000,2.4350625142e-01
0.58000000,2.6489020162e-01
0.58250000,2.8561716919e-01
0.58500000,3.0563574694e-01
