x,p_initial,p_final
0.000000,0.0000000000e+00,-4.6771786123e-15
0.020000,3.4448427995e-18,-7.2308465670e-15
0.040000,1.0773741280e-17,-1.2140682013e-14
0.060000,2.5134261379e-17,-1.8430335864e-14
0.080000,5.1836366197e-17,-2.5296835737e-14
0.100000,9.9671751121e-17,-3.5023206448e-14
0.120000,1.8295788411e-16,-4.5783068681e-14
0.140000,3.2466383485e-16,-6.0646006057e-14
0.160000,5.6112931039e-16,-7.6532997065e-14
0.180000,9.4909759351e-16,-9.7036721986e-14
0.200000,1.5760600711e-15,-1.1724155237e-13
0.220000,2.5752659554e-15,-1.4057286789e-13
0.240000,4.1471909888e-15,-1.5943955143e-13
0.260000,6.5897751648e-15,-1.7607705094e-13
0.280000,1.0340297022e-14,-1.7988236766e-13
0.300000,1.6032268457e-14,-1.7178625876e-13
0.320000,2.4571045928e-14,-1.4126847276e-13
0.340000,3.7231666224e-14,-9.3576453761e-14
0.360000,5.5781224033e-14,-3.3674041446e-14
0.380000,8.2625089541e-14,3.1991588132e-15
0.400000,1.2097010869e-13,-5.4633227408e-14
0.420000,1.7498661224e-13,-3.5511331574e-13
0.440000,2.4993152012e-13,-1.1806028035e-12
0.460000,3.5216251973e-13,-3.0185721015e-12
0.480000,4.8892159279e-13,-6.7270510656e-12
0.500000,6.6768555725e-13,-1.3694832362e-11
0.520000,8.9475834788e-13,-2.6213543790e-11
0.540000,1.1725957955e-12,-4.7863610161e-11
0.560000,1.4950830615e-12,-8.4266759996e-11
0.580000,1.8395930368e-12,-1.4398231078e-10
0.600000,2.1540948831e-12,-2.3993769648e-10
0.620000,2.3367951573e-12,-3.9138258109e-10
0.640000,2.2047018972e-12,-6.2649682213e-10
0.660000,1.4460062237e-12,-9.8638345437e-10
0.680000,-4.5084582374e-13,-1.5296729900e-09
0.700000,-4.3012149782e-12,-2.3401956864e-09
0.720000,-1.1374835024e-11,-3.5348849701e-09
0.740000,-2.3610855498e-11,-5.2776826312e-09
0.760000,-4.3921211201e-11,-7.7927398553e-09
0.780000,-7.6613560822e-11,-1.1388239265e-08
0.800000,-1.2797417098e-10,-1.6477833779e-08
0.820000,-2.0706219064e-10,-2.3619250528e-08
0.840000,-3.2677987738e-10,-3.3548058878e-08
0.860000,-5.0529847313e-10,-4.7236742227e-08
0.880000,-7.6793632793e-10,-6.5946010044e-08
0.900000,-1.1496039421e-09,-9.1309706957e-08
0.920000,-1.6979487629e-09,-1.2540942412e-07
0.940000,-2.4773490850e-09,-1.7088805680e-07
0.960000,-3.5739186440e-09,-2.3105250757e-07
0.980000,-5.1016876796e-09,-3.1001259475e-07
1.000000,-7.2101171940e-09,-4.1281262176e-07
1.020000,-1.0093073891e-08,-5.4558110961e-07
1.040000,-1.3999334863e-08,-7.1568239357e-07
1.060000,-1.9244592166e-08,-9.3184490634e-07
1.080000,-2.6224774066e-08,-1.2043060397e-06
1.100000,-3.5430275421e-08,-1.5448629455e-06
1.120000,-4.7460375266e-08,-1.9669564606e-06
1.140000,-6.3036693844e-08,-2.4855616816e-06
1.160000,-8.3013981519e-08,-3.1171201448e-06
1.180000,-1.0838581528e-07,-3.8791622331e-06
1.200000,-1.4028188418e-07,-4.7899551811e-06
1.220000,-1.7995245644e-07,-5.8677353275e-06
1.240000,-2.2873433041e-07,-7.1299093107e-06
1.260000,-2.8799108317e-07,-8.5917898876e-06
1.280000,-3.5901876876e-07,-1.0265196708e-05
1.300000,-4.4290642970e-07,-1.2156652206e-05
1.320000,-5.4033895481e-07,-1.4265306292e-05
1.340000,-6.5132806355e-07,-1.6580676320e-05
1.360000,-7.7485569768e-07,-1.9080010775e-05
1.380000,-9.0841308439e-07,-2.1725885320e-05
1.400000,-1.0474184985e-06,-2.4463469462e-05
1.420000,-1.1844976613e-06,-2.7218637154e-05
1.440000,-1.3086132057e-06,-2.9896094588e-05
1.460000,-1.4040342205e-06,-3.2379111257e-05
1.480000,-1.4491441159e-06,-3.4530063151e-05
1.500000,-1.4150955304e-06,-3.6193439436e-05
1.520000,-1.2643353301e-06,-3.7200978269e-05
1.540000,-9.4904150759e-07,-3.7380163195e-05
1.560000,-4.0953745144e-07,-3.6566545344e-05
1.580000,4.2722203776e-07,-3.4620278675e-05
1.600000,1.6489643696e-06,-3.1448207953e-05
1.620000,3.3590444607e-06,-2.7030915744e-05
1.640000,5.6768099363e-06,-2.1456543125e-05
1.660000,8.7371273658e-06,-1.4959963991e-05
1.680000,1.2688762056e-05,-7.9687437462e-06
1.700000,1.7691256284e-05,-1.1540081044e-06
1.720000,2.3909907424e-05,4.5136051556e-06
1.740000,3.1508412163e-05,7.7049770987e-06
1.760000,4.0638720751e-05,6.6721363673e-06
1.780000,5.1427641282e-05,-8.1096210145e-07
1.800000,6.3959754319e-05,-1.7503306014e-05
1.820000,7.8256248924e-05,-4.6743751014e-05
1.840000,9.4249378301e-05,-9.2486136145e-05
1.860000,1.1175236242e-04,-1.5931760676e-04
1.880000,1.3042474063e-04,-2.5245627317e-04
1.900000,1.4973340249e-04,-3.7772255038e-04
1.920000,1.6890980002e-04,-5.4148036791e-04
1.940000,1.8690416807e-04,-7.5054447003e-04
1.960000,2.0233794495e-04,-1.0120493962e-03
1.980000,2.1345598368e-04,-1.3332811550e-03
2.000000,2.1808056168e-04,-1.7214663319e-03
2.020000,2.1356961384e-04,-2.1835261743e-03
2.040000,1.9678200885e-04,-2.7257921215e-03
2.060000,1.6405303372e-04,-3.3536950431e-03
2.080000,1.1118351614e-04,-4.0714313247e-03
2.100000,3.3446166840e-05,-4.8816174361e-03
2.120000,-7.4387269350e-05,-5.7849485450e-03
2.140000,-2.1799463598e-04,-6.7798676050e-03
2.160000,-4.0342471971e-04,-7.8622735839e-03
2.180000,-6.3698890035e-04,-9.0252697043e-03
2.200000,-9.2512150488e-04,-1.0258985128e-02
2.220000,-1.2742083632e-03,-1.1550472710e-02
2.240000,-1.6903843850e-03,-1.2883706204e-02
2.260000,-2.1793025038e-03,-1.4239689659e-02
2.280000,-2.7458780259e-03,-1.5596678439e-02
2.300000,-3.3940142128e-03,-1.6930535610e-02
2.320000,-4.1263167475e-03,-1.8215199373e-02
2.340000,-4.9438064908e-03,-1.9423283102e-02
2.360000,-5.8456415238e-03,-2.0526773836e-02
2.380000,-6.8288607916e-03,-2.1497826362e-02
2.400000,-7.8881625945e-03,-2.2309629103e-02
2.420000,-9.0157316156e-03,-2.2937302116e-02
2.440000,-1.0201128034e-02,-2.3358819940e-02
2.460000,-1.1431251467e-02,-2.3555891911e-02
2.480000,-1.2690390990e-02,-2.3514796140e-02
2.500000,-1.3960370227e-02,-2.3227104765e-02
2.520000,-1.5220793588e-02,-2.2690278568e-02
2.540000,-1.6449396143e-02,-2.1908101620e-02
2.560000,-1.7622495505e-02,-2.0890910253e-02
2.580000,-1.8715539585e-02,-1.9655626571e-02
2.600000,-1.9703739369e-02,-1.8225550374e-02
2.620000,-2.0562771173e-02,-1.6629935238e-02
2.640000,-2.1269528333e-02,-1.4903335615e-02
2.660000,-2.1802898355e-02,-1.3084744022e-02
2.680000,-2.2144538288e-02,-1.1216555790e-02
2.700000,-2.2279618813e-02,-9.3433705284e-03
2.720000,-2.2197506438e-02,-7.5106978240e-03
