step,time,momentum
0,0.0,1.8356333120195248e-11
20,0.1,1.8356438591382585e-11
40,0.2,1.8356682840448004e-11
60,0.3,1.8356705044908495e-11
80,0.4,1.8356877129477313e-11
100,0.5,1.8356810516095835e-11
120,0.6,1.8356965947319282e-11
140,0.7000000000000001,1.8356871578362188e-11
160,0.8,1.8356577369260663e-11
180,0.9,1.8356705044908495e-11
200,1.0,1.8356632880411895e-11
220,1.1,1.835671059602362e-11
240,1.2,1.8356749453829482e-11
260,1.3,1.8356860476131945e-11
280,1.4000000000000001,1.835694374285879e-11
300,1.5,1.8356999254010023e-11
320,1.6,1.8357215747499823e-11
340,1.7,1.835747109879549e-11
360,1.8,1.8357365627608148e-11
380,1.9000000000000001,1.8357149134118345e-11
400,2.0,1.8357004805125145e-11
420,2.1,1.8357187991924207e-11
440,2.2,1.8357193543039332e-11
460,2.3000000000000003,1.8357126929657854e-11
480,2.4,1.835709917408224e-11
500,2.5,1.835676610717485e-11
520,2.6,1.8356699493793373e-11
540,2.7,1.8356721698253866e-11
560,2.8000000000000003,1.8356649533757263e-11
580,2.9,1.8356521858109432e-11
600,3.0,1.8356405284691848e-11
620,3.1,1.8356366426885985e-11
640,3.2,1.835638863134648e-11
660,3.3000000000000003,1.835616103562643e-11
680,3.4,1.8356188791202044e-11
700,3.5,1.8356327569080123e-11
720,3.6,1.8356111075590323e-11
740,3.7,1.835603891109372e-11
760,3.8000000000000003,1.8355961195481998e-11
780,3.9,1.8355778008682935e-11
800,4.0,1.8355722497531704e-11
820,4.1,1.8355733599761948e-11
840,4.2,1.8355905684330766e-11
860,4.3,1.835590013321564e-11
880,4.4,1.8355533759617516e-11
900,4.5,1.8355356123933576e-11
920,4.6000000000000005,1.8355539310732638e-11
940,4.7,1.835600282884542e-11
960,4.8,1.835673002492655e-11
980,4.9,1.8356917375061955e-11
