step,E_rms,chi_rms,omega_rms,energy
0,0.058819388692242555,0.2000000051438727,0.20000000514387267,0.8856884444490525
20,0.05509674357218979,0.20000083409193287,0.20000083409193284,0.7771266949784672
40,0.04819271923160457,0.20000576639358114,0.20000576639358114,0.5945697758556848
60,0.043350503070593634,0.20001820377659194,0.20001820377659194,0.48109212581722827
80,0.04173408168340409,0.2000383588325946,0.20003835883259463,0.4458837949330034
100,0.04146897506791647,0.20006501963455803,0.20006501963455803,0.4402370286549703
120,0.041427231157136264,0.20009756581705745,0.20009756581705743,0.4393511632247812
140,0.04139814498666956,0.2001358927498477,0.20013589274984767,0.4387344405343525
160,0.04136930224659886,0.2001800053126464,0.20018000531264643,0.4381233071028352
180,0.04134069074812764,0.2002299149615203,0.20022991496152026,0.43751749415227564
200,0.04131234617794571,0.20028563267201796,0.20028563267201796,0.4369177463619648
220,0.04128430454573541,0.20034716890472978,0.20034716890472978,0.43632481326720757
240,0.041256601543402195,0.2004145336035052,0.20041453360350522,0.43573943575323043
260,0.041229272522921884,0.20048773619417792,0.20048773619417792,0.4351623456689565
280,0.04120235243908558,0.2005667855834953,0.2005667855834953,0.4345942647077431
300,0.04117587578993322,0.20065169015827714,0.20065169015827716,0.4340359032494101
320,0.041149876556995486,0.20074245778480296,0.20074245778480296,0.4334879592079275
340,0.04112438814543942,0.20083909580842524,0.20083909580842524,0.43295111688621013
360,0.04109944332420276,0.20094161105340835,0.20094161105340835,0.43242604583919486
380,0.04107507416623244,0.20105000982299168,0.20105000982299165,0.43191339974694287
399,0.04105248520769787,0.20115844354145462,0.20115844354145462,0.4314384746824327
