# synthetic mode shapes if raw eigenfunctions absent; replace with true ψ_n(x) when stored
mode_index,x,psi
0,0.000000,0.000000000e+00
0,0.257286,3.120030029e-03
0,0.514573,6.239282480e-03
0,0.771859,9.356979972e-03
0,1.029146,1.247234551e-02
0,1.286432,1.558460267e-02
0,1.543719,1.869297583e-02
0,1.801005,2.179669031e-02
0,2.058291,2.489497259e-02
0,2.315578,2.798705052e-02
0,2.572864,3.107215350e-02
0,2.830151,3.414951264e-02
0,3.087437,3.721836101e-02
0,3.344724,4.027793378e-02
0,3.602010,4.332746844e-02
0,3.859296,4.636620500e-02
0,4.116583,4.939338612e-02
0,4.373869,5.240825737e-02
0,4.631156,5.541006739e-02
0,4.888442,5.839806806e-02
0,5.145729,6.137151470e-02
0,5.403015,6.432966628e-02
0,5.660302,6.727178556e-02
0,5.917588,7.019713929e-02
0,6.174874,7.310499843e-02
0,6.432161,7.599463827e-02
0,6.689447,7.886533865e-02
0,6.946734,8.171638414e-02
0,7.204020,8.454706419e-02
0,7.461307,8.735667334e-02
0,7.718593,9.014451137e-02
0,7.975879,9.290988351e-02
0,8.233166,9.565210055e-02
0,8.490452,9.837047908e-02
0,8.747739,1.010643416e-01
0,9.005025,1.037330168e-01
0,9.262312,1.063758396e-01
0,9.519598,1.089921512e-01
0,9.776884,1.115812998e-01
0,10.034171,1.141426399e-01
0,10.291457,1.166755333e-01
0,10.548744,1.191793487e-01
0,10.806030,1.216534621e-01
0,11.063317,1.240972569e-01
0,11.320603,1.265101241e-01
0,11.577889,1.288914623e-01
0,11.835176,1.312406781e-01
0,12.092462,1.335571859e-01
0,12.349749,1.358404085e-01
0,12.607035,1.380897768e-01
0,12.864322,1.403047302e-01
0,13.121608,1.424847168e-01
0,13.378894,1.446291931e-01
0,13.636181,1.467376249e-01
0,13.893467,1.488094865e-01
0,14.150754,1.508442617e-01
0,14.408040,1.528414434e-01
0,14.665327,1.548005338e-01
0,14.922613,1.567210446e-01
0,15.179899,1.586024972e-01
0,15.437186,1.604444228e-01
0,15.694472,1.622463623e-01
0,15.951759,1.640078666e-01
0,16.209045,1.657284967e-01
0,16.466332,1.674078237e-01
0,16.723618,1.690454293e-01
0,16.980905,1.706409051e-01
0,17.238191,1.721938537e-01
0,17.495477,1.737038879e-01
0,17.752764,1.751706315e-01
0,18.010050,1.765937189e-01
0,18.267337,1.779727955e-01
0,18.524623,1.793075175e-01
0,18.781910,1.805975523e-01
0,19.039196,1.818425784e-01
0,19.296482,1.830422855e-01
0,19.553769,1.841963747e-01
0,19.811055,1.853045582e-01
0,20.068342,1.863665600e-01
0,20.325628,1.873821153e-01
0,20.582915,1.883509711e-01
0,20.840201,1.892728858e-01
0,21.097487,1.901476298e-01
0,21.354774,1.909749850e-01
0,21.612060,1.917547453e-01
0,21.869347,1.924867162e-01
0,22.126633,1.931707154e-01
0,22.383920,1.938065724e-01
0,22.641206,1.943941288e-01
0,22.898492,1.949332381e-01
0,23.155779,1.954237659e-01
0,23.413065,1.958655900e-01
0,23.670352,1.962586003e-01
0,23.927638,1.966026989e-01
0,24.184925,1.968977999e-01
0,24.442211,1.971438299e-01
0,24.699497,1.973407275e-01
0,24.956784,1.974884436e-01
0,25.214070,1.975869415e-01
0,25.471357,1.976361966e-01
0,25.728643,1.976361966e-01
0,25.985930,1.975869415e-01
0,26.243216,1.974884436e-01
0,26.500503,1.973407275e-01
0,26.757789,1.971438299e-01
0,27.015075,1.968977999e-01
0,27.272362,1.966026989e-01
0,27.529648,1.962586003e-01
0,27.786935,1.958655900e-01
0,28.044221,1.954237659e-01
0,28.301508,1.949332381e-01
0,28.558794,1.943941288e-01
0,28.816080,1.938065724e-01
0,29.073367,1.931707154e-01
0,29.330653,1.924867162e-01
0,29.587940,1.917547453e-01
0,29.845226,1.909749850e-01
0,30.102513,1.901476298e-01
0,30.359799,1.892728858e-01
0,30.617085,1.883509711e-01
0,30.874372,1.873821153e-01
0,31.131658,1.863665600e-01
0,31.388945,1.853045582e-01
0,31.646231,1.841963747e-01
0,31.903518,1.830422855e-01
0,32.160804,1.818425784e-01
0,32.418090,1.805975523e-01
0,32.675377,1.793075175e-01
0,32.932663,1.779727955e-01
0,33.189950,1.765937189e-01
0,33.447236,1.751706315e-01
0,33.704523,1.737038879e-01
0,33.961809,1.721938537e-01
0,34.219095,1.706409051e-01
