x,V
0.000000000e+00,3.500000000e+00
1.044897959e-01,3.500000000e+00
2.089795918e-01,3.500000000e+00
3.134693878e-01,3.500000000e+00
4.179591837e-01,3.500000000e+00
5.224489796e-01,3.500000000e+00
6.269387755e-01,3.500000000e+00
7.314285714e-01,3.500000000e+00
8.359183673e-01,3.500000000e+00
9.404081633e-01,3.500000000e+00
1.044897959e+00,3.500000000e+00
1.149387755e+00,3.500000000e+00
1.253877551e+00,3.500000000e+00
1.358367347e+00,3.500000000e+00
1.462857143e+00,3.500000000e+00
1.567346939e+00,3.500000000e+00
1.671836735e+00,3.500000000e+00
1.776326531e+00,3.500000000e+00
1.880816327e+00,3.500000000e+00
1.985306122e+00,3.500000000e+00
2.089795918e+00,3.500000000e+00
2.194285714e+00,3.500000000e+00
2.298775510e+00,3.500000000e+00
2.403265306e+00,3.500000000e+00
2.507755102e+00,3.500000000e+00
2.612244898e+00,3.500000000e+00
2.716734694e+00,3.500000000e+00
2.821224490e+00,3.500000000e+00
2.925714286e+00,3.500000000e+00
3.030204082e+00,3.500000000e+00
3.134693878e+00,3.500000000e+00
3.239183673e+00,3.500000000e+00
3.343673469e+00,3.500000000e+00
3.448163265e+00,3.500000000e+00
3.552653061e+00,3.500000000e+00
3.657142857e+00,3.500000000e+00
3.761632653e+00,3.500000000e+00
3.866122449e+00,3.500000000e+00
3.970612245e+00,3.500000000e+00
4.075102041e+00,3.500000000e+00
4.179591837e+00,3.500000000e+00
4.284081633e+00,3.500000000e+00
4.388571429e+00,3.500000000e+00
4.493061224e+00,3.500000000e+00
4.597551020e+00,3.500000000e+00
4.702040816e+00,3.500000000e+00
4.806530612e+00,3.500000000e+00
4.911020408e+00,3.500000000e+00
5.015510204e+00,3.500000000e+00
5.120000000e+00,3.500000000e+00
