time,projection,step
0.00000000e+00,1.0000000000e+00,0
5.00000000e-05,9.9999811849e-01,1
1.00000000e-04,9.9999244284e-01,2
1.50000000e-04,9.9998297309e-01,3
2.00000000e-04,9.9996970926e-01,4
2.50000000e-04,9.9995265140e-01,5
3.00000000e-04,9.9993179959e-01,6
3.50000000e-04,9.9990715390e-01,7
4.00000000e-04,9.9987871442e-01,8
4.50000000e-04,9.9984648126e-01,9
5.00000000e-04,9.9981045454e-01,10
5.50000000e-04,9.9977063441e-01,11
6.00000000e-04,9.9972702101e-01,12
6.50000000e-04,9.9967961450e-01,13
7.00000000e-04,9.9962841507e-01,14
7.50000000e-04,9.9957342291e-01,15
8.00000000e-04,9.9951463823e-01,16
8.50000000e-04,9.9945206125e-01,17
9.00000000e-04,9.9938569221e-01,18
9.50000000e-04,9.9931553137e-01,19
1.00000000e-03,9.9924157898e-01,20
1.05000000e-03,9.9916383533e-01,21
1.10000000e-03,9.9908230072e-01,22
1.15000000e-03,9.9899697544e-01,23
1.20000000e-03,9.9890785984e-01,24
1.25000000e-03,9.9881495424e-01,25
1.30000000e-03,9.9871825899e-01,26
1.35000000e-03,9.9861777447e-01,27
1.40000000e-03,9.9851350106e-01,28
1.45000000e-03,9.9840543914e-01,29
1.50000000e-03,9.9829358914e-01,30
1.55000000e-03,9.9817795147e-01,31
1.60000000e-03,9.9805852658e-01,32
1.65000000e-03,9.9793531492e-01,33
1.70000000e-03,9.9780831694e-01,34
1.75000000e-03,9.9767753315e-01,35
1.80000000e-03,9.9754296403e-01,36
1.85000000e-03,9.9740461009e-01,37
1.90000000e-03,9.9726247186e-01,38
1.95000000e-03,9.9711654988e-01,39
2.00000000e-03,9.9696684470e-01,40
2.05000000e-03,9.9681335688e-01,41
2.10000000e-03,9.9665608702e-01,42
2.15000000e-03,9.9649503571e-01,43
2.20000000e-03,9.9633020356e-01,44
2.25000000e-03,9.9616159119e-01,45
2.30000000e-03,9.9598919925e-01,46
2.35000000e-03,9.9581302838e-01,47
2.40000000e-03,9.9563307926e-01,48
2.45000000e-03,9.9544935257e-01,49
2.50000000e-03,9.9526184901e-01,50
2.55000000e-03,9.9507056929e-01,51
2.60000000e-03,9.9487551413e-01,52
2.65000000e-03,9.9467668427e-01,53
2.70000000e-03,9.9447408048e-01,54
2.75000000e-03,9.9426770351e-01,55
2.80000000e-03,9.9405755415e-01,56
2.85000000e-03,9.9384363319e-01,57
2.90000000e-03,9.9362594146e-01,58
2.95000000e-03,9.9340447977e-01,59
3.00000000e-03,9.9317924897e-01,60
3.05000000e-03,9.9295024991e-01,61
3.10000000e-03,9.9271748345e-01,62
3.15000000e-03,9.9248095049e-01,63
3.20000000e-03,9.9224065192e-01,64
3.25000000e-03,9.9199658864e-01,65
3.30000000e-03,9.9174876160e-01,66
3.35000000e-03,9.9149717172e-01,67
3.40000000e-03,9.9124181997e-01,68
3.45000000e-03,9.9098270730e-01,69
3.50000000e-03,9.9071983471e-01,70
3.55000000e-03,9.9045320319e-01,71
3.60000000e-03,9.9018281375e-01,72
3.65000000e-03,9.8990866743e-01,73
3.70000000e-03,9.8963076525e-01,74
3.75000000e-03,9.8934910827e-01,75
3.80000000e-03,9.8906369757e-01,76
3.85000000e-03,9.8877453422e-01,77
3.90000000e-03,9.8848161932e-01,78
3.95000000e-03,9.8818495399e-01,79
4.00000000e-03,9.8788453934e-01,80
4.05000000e-03,9.8758037653e-01,81
