k,|F|
-6.250000000000000000e+01,3.651263592409622832e-11
-6.225585937500000000e+01,4.470642839022537438e-11
-6.201171875000000000e+01,6.321100597515305161e-11
-6.176757812500000000e+01,8.558960126155178996e-11
-6.152343750000000000e+01,1.095036437885914085e-10
-6.127929687500000000e+01,1.341474323470942787e-10
-6.103515625000000000e+01,1.591967574137545911e-10
-6.079101562500000000e+01,1.845015279365578443e-10
-6.054687500000000000e+01,2.099851122872214709e-10
-6.030273437500000000e+01,2.356057162330687972e-10
-6.005859375000000000e+01,2.613395742383757445e-10
-5.981445312500000000e+01,2.871731806315372006e-10
-5.957031250000000000e+01,3.130990184273223043e-10
-5.932617187500000000e+01,3.391136052388819667e-10
-5.908203125000000000e+01,3.652155087010645963e-10
-5.883789062500000000e+01,3.914053364668616082e-10
-5.859375000000000000e+01,4.176846696823360393e-10
-5.834960937500000000e+01,4.440560785166651147e-10
-5.810546875000000000e+01,4.705226212648775802e-10
-5.786132812500000000e+01,4.970878676688068312e-10
-5.761718750000000000e+01,5.237558855800513367e-10
-5.737304687500000000e+01,5.505306746589347893e-10
-5.712890625000000000e+01,5.774169872129015624e-10
-5.688476562500000000e+01,6.044194189227243987e-10
-5.664062500000000000e+01,6.315426994506270710e-10
-5.639648437500000000e+01,6.587920593893954673e-10
-5.615234375000000000e+01,6.861725635197680178e-10
-5.590820312500000000e+01,7.136893663939447171e-10
-5.566406250000000000e+01,7.413480430346521652e-10
-5.541992187500000000e+01,7.691539198076716823e-10
-5.517578125000000000e+01,7.971128077287793353e-10
-5.493164062500000000e+01,8.252301937970254377e-10
-5.468750000000000000e+01,8.535121029327529695e-10
-5.444335937500000000e+01,8.819642335655146191e-10
-5.419921875000000000e+01,9.105928069338335428e-10
-5.395507812500000000e+01,9.394038195894284277e-10
-5.371093750000000000e+01,9.684034937330722274e-10
-5.346679687500000000e+01,9.975982058698942702e-10
-5.322265625000000000e+01,1.026994382181243695e-09
-5.297851562500000000e+01,1.056598573052657204e-09
-5.273437500000000000e+01,1.086417374961455708e-09
-5.249023437500000000e+01,1.116457655442981777e-09
-5.224609375000000000e+01,1.146726253301398462e-09
-5.200195312500000000e+01,1.177230149534434135e-09
-5.175781250000000000e+01,1.207976615262947602e-09
-5.151367187500000000e+01,1.238972777354417794e-09
-5.126953125000000000e+01,1.270226148920350919e-09
-5.102539062500000000e+01,1.301744130209192206e-09
-5.078125000000000000e+01,1.333534671998781618e-09
-5.053710937500000000e+01,1.365605331601715400e-09
-5.029296875000000000e+01,1.397964256642654170e-09
-5.004882812500000000e+01,1.430619549105290461e-09
-4.980468750000000000e+01,1.463579494867236840e-09
-4.956054687500000000e+01,1.496852652177204588e-09
-4.931640625000000000e+01,1.530447555864399387e-09
-4.907226562500000000e+01,1.564373096727950604e-09
-4.882812500000000000e+01,1.598638349267991960e-09
-4.858398437500000000e+01,1.633252396461320368e-09
-4.833984375000000000e+01,1.668224751328844064e-09
-4.809570312500000000e+01,1.703564923833567986e-09
-4.785156250000000000e+01,1.739282852882774369e-09
-4.760742187500000000e+01,1.775388426298864973e-09
-4.736328125000000000e+01,1.811892117141149827e-09
-4.711914062500000000e+01,1.848804224083507423e-09
-4.687500000000000000e+01,1.886135562587974685e-09
-4.663085937500000000e+01,1.923897200335936122e-09
-4.638671875000000000e+01,1.962100249078957708e-09
-4.614257812500000000e+01,2.000756330504445358e-09
-4.589843750000000000e+01,2.039877250805593415e-09
-4.565429687500000000e+01,2.079475017824021662e-09
-4.541015625000000000e+01,2.119562051068687057e-09
-4.516601562500000000e+01,2.160150889865856808e-09
-4.492187500000000000e+01,2.201254908313240775e-09
-4.467773437500000000e+01,2.242887024929551280e-09
-4.443359375000000000e+01,2.285061093089707422e-09
-4.418945312500000000e+01,2.327791189985555782e-09
-4.394531250000000000e+01,2.371091516612860493e-09
-4.370117187500000000e+01,2.414977010429563150e-09
-4.345703125000000000e+01,2.459462717544601022e-09
-4.321289062500000000e+01,2.504564117550995346e-09
-4.296875000000000000e+01,2.550297521829730017e-09
-4.272460937500000000e+01,2.596678798496104378e-09
-4.248046875000000000e+01,2.643725205781459415e-09
-4.223632812500000000e+01,2.691454001864127073e-09
-4.199218750000000000e+01,2.739882737472789167e-09
-4.174804687500000000e+01,2.789030062386747035e-09
-4.150390625000000000e+01,2.838914453734655784e-09
-4.125976562500000000e+01,2.889555438014091604e-09
-4.101562500000000000e+01,2.940972998763861038e-09
-4.077148437500000000e+01,2.993187238701186014e-09
-4.052734375000000000e+01,3.046219736833658424e-09
-4.028320312500000000e+01,3.100091872044310348e-09
-4.003906250000000000e+01,3.154825839413324250e-09
-3.979492187500000000e+01,3.210445092281827412e-09
-3.955078125000000000e+01,3.266973034113045575e-09
-3.930664062500000000e+01,3.324434058141864649e-09
-3.906250000000000000e+01,3.382853367441586279e-09
-3.881835937500000000e+01,3.442256987132236464e-09
-3.857421875000000000e+01,3.502671622296109081e-09
-3.833007812500000000e+01,3.564124725876697039e-09
-3.808593750000000000e+01,3.626644951763660866e-09
-3.784179687500000000e+01,3.690261523887303630e-09
-3.759765625000000000e+01,3.755004715856506619e-09
-3.735351562500000000e+01,3.820905942499229338e-09
-3.710937500000000000e+01,3.887997319800815186e-09
-3.686523437500000000e+01,3.956312286749011888e-09
-3.662109375000000000e+01,4.025885404520063755e-09
-3.637695312500000000e+01,4.096751948256960613e-09
-3.613281250000000000e+01,4.168949158461867725e-09
-3.588867187500000000e+01,4.242514607400815838e-09
-3.564453125000000000e+01,4.317487986056584438e-09
-3.540039062500000000e+01,4.393909804982796751e-09
-3.515625000000000000e+01,4.471822135119893284e-09
-3.491210937500000000e+01,4.551268685779119326e-09
-3.466796875000000000e+01,4.632294319867961861e-09
-3.442382812500000000e+01,4.714945899801750940e-09
-3.417968750000000000e+01,4.799271859497158690e-09
-3.393554687500000000e+01,4.885321813710513271e-09
-3.369140625000000000e+01,4.973148357026580247e-09
-3.344726562500000000e+01,5.062804726522559702e-09
-3.320312500000000000e+01,5.154346984406062194e-09
-3.295898437500000000e+01,5.247832928951560243e-09
-3.271484375000000000e+01,5.343322612463550199e-09
-3.247070312500000000e+01,5.440878150103819193e-09
-3.222656250000000000e+01,5.540564477376428196e-09
-3.198242187500000000e+01,5.642448473540667718e-09
-3.173828125000000000e+01,5.746600028581803303e-09
-3.149414062500000000e+01,5.853091526457631381e-09
-3.125000000000000000e+01,5.961998267981871041e-09
-3.100585937500000000e+01,6.073398541701999225e-09
-3.076171875000000000e+01,6.187373774062693390e-09
-3.051757812500000000e+01,6.304008541045341371e-09
-3.027343750000000000e+01,6.423391143479091667e-09
-3.002929687500000000e+01,6.545613305607818354e-09
-2.978515625000000000e+01,6.670770219904884011e-09
-2.954101562500000000e+01,6.798961962722701698e-09
-2.929687500000000000e+01,6.930291803097571588e-09
-2.905273437500000000e+01,7.064868017706696858e-09
-2.880859375000000000e+01,7.202803329593736581e-09
-2.856445312500000000e+01,7.344215259085135840e-09
-2.832031250000000000e+01,7.489226620487825666e-09
-2.807617187500000000e+01,7.637965492957279269e-09
-2.783203125000000000e+01,7.790565635079438297e-09
-2.758789062500000000e+01,7.947166856978771659e-09
-2.734375000000000000e+01,8.107915421789743938e-09
-2.709960937500000000e+01,8.272963683325864313e-09
-2.685546875000000000e+01,8.442472066500174864e-09
-2.661132812500000000e+01,8.616607176273646814e-09
-2.636718750000000000e+01,8.795544523486769645e-09
-2.612304687500000000e+01,8.979467313401527589e-09
-2.587890625000000000e+01,9.168567559241549202e-09
-2.563476562500000000e+01,9.363047023466787366e-09
-2.539062500000000000e+01,9.563116645836056471e-09
-2.514648437500000000e+01,9.768998162232694214e-09
-2.490234375000000000e+01,9.980924440154122185e-09
-2.465820312500000000e+01,1.019913953841861101e-08
-2.441406250000000000e+01,1.042390053714357028e-08
-2.416992187500000000e+01,1.065547723844225286e-08
-2.392578125000000000e+01,1.089415395008614267e-08
-2.368164062500000000e+01,1.114022900684653691e-08
-2.343750000000000000e+01,1.139401748130968525e-08
-2.319335937500000000e+01,1.165585088134722350e-08
-2.294921875000000000e+01,1.192607875672244209e-08
-2.270507812500000000e+01,1.220506950842036752e-08
-2.246093750000000000e+01,1.249321231482674887e-08
-2.221679687500000000e+01,1.279091802837081157e-08
-2.197265625000000000e+01,1.309862076729266176e-08
-2.172851562500000000e+01,1.341677906165149589e-08
-2.148437500000000000e+01,1.374587907232683537e-08
-2.124023437500000000e+01,1.408643399826565926e-08
-2.099609375000000000e+01,1.443898912700760180e-08
-2.075195312500000000e+01,1.480412074830415669e-08
-2.050781250000000000e+01,1.518244174787388204e-08
-2.026367187500000000e+01,1.557460170793204592e-08
-2.001953125000000000e+01,1.598129096807761066e-08
-1.977539062500000000e+01,1.640324362939320755e-08
-1.953125000000000000e+01,1.684124033986413715e-08
-1.928710937500000000e+01,1.729611253083005636e-08
-1.904296875000000000e+01,1.776874593203430818e-08
-1.879882812500000000e+01,1.826008563732015606e-08
-1.855468750000000000e+01,1.877113957911256917e-08
-1.831054687500000000e+01,1.930298533758519227e-08
-1.806640625000000000e+01,1.985677444461609196e-08
-1.782226562500000000e+01,2.043373966248290993e-08
-1.757812500000000000e+01,2.103520166769299462e-08
-1.733398437500000000e+01,2.166257547955794723e-08
-1.708984375000000000e+01,2.231738126192361053e-08
-1.684570312500000000e+01,2.300125159737169921e-08
-1.660156250000000000e+01,2.371594165770225671e-08
-1.635742187500000000e+01,2.446334257268880775e-08
-1.611328125000000000e+01,2.524549120554891265e-08
-1.586914062500000000e+01,2.606458637361899605e-08
-1.562500000000000000e+01,2.692300350738535809e-08
-1.538085937500000000e+01,2.782331147671298187e-08
-1.513671875000000000e+01,2.876829231214485977e-08
-1.489257812500000000e+01,2.976096370592413614e-08
-1.464843750000000000e+01,3.080460074109195088e-08
-1.440429687500000000e+01,3.190276577471709155e-08
-1.416015625000000000e+01,3.305933634307689758e-08
-1.391601562500000000e+01,3.427854160185535773e-08
-1.367187500000000000e+01,3.556499896220309117e-08
-1.342773437500000000e+01,3.692375907249353274e-08
-1.318359375000000000e+01,3.836035477489483811e-08
-1.293945312500000000e+01,3.988085701413687631e-08
-1.269531250000000000e+01,4.149194147328772888e-08
-1.245117187500000000e+01,4.320095282151399069e-08
-1.220703125000000000e+01,4.501598049662308441e-08
-1.196289062500000000e+01,4.694600526447333948e-08
-1.171875000000000000e+01,4.900111176669094129e-08
-1.147460937500000000e+01,5.119223720953314630e-08
-1.123046875000000000e+01,5.353023777516698246e-08
-1.098632812500000000e+01,5.602808938946591036e-08
-1.074218750000000000e+01,5.871046772429543890e-08
-1.049804687500000000e+01,6.160846343678997310e-08
-1.025390625000000000e+01,6.470189208321840421e-08
-1.000976562500000000e+01,6.789012437256419361e-08
-9.765625000000000000e+00,7.117458923945517368e-08
-9.521484375000000000e+00,7.514585172327614518e-08
-9.277343750000000000e+00,8.145337835287595366e-08
-9.033203125000000000e+00,8.974044110264348548e-08
-8.789062500000000000e+00,9.096312124623273668e-08
-8.544921875000000000e+00,7.394382946775462748e-08
-8.300781250000000000e+00,5.302147296751591326e-08
-8.056640625000000000e+00,1.295292088328947049e-07
-7.812500000000000000e+00,3.410522216323573270e-07
-7.568359375000000000e+00,6.470185852887877125e-07
-7.324218750000000000e+00,9.997042265727954581e-07
-7.080078125000000000e+00,1.593109912166487080e-06
-6.835937500000000000e+00,3.149148262976992366e-06
-6.591796875000000000e+00,6.336028889086330510e-06
-6.347656250000000000e+00,1.072668116486223211e-05
-6.103515625000000000e+00,1.634421107759836736e-05
-5.859375000000000000e+00,2.938084699744318383e-05
-5.615234375000000000e+00,5.413963257902453994e-05
-5.371093750000000000e+00,8.077060803219764410e-05
-5.126953125000000000e+00,1.097167341998386120e-04
-4.882812500000000000e+00,1.875690344860719903e-04
-4.638671875000000000e+00,3.070896416886594298e-04
-4.394531250000000000e+00,3.923160152327471680e-04
-4.150390625000000000e+00,5.239827401722410832e-04
-3.906250000000000000e+00,8.622930362419104931e-04
-3.662109375000000000e+00,1.151982733821779129e-03
-3.417968750000000000e+00,1.302410191279625975e-03
-3.173828125000000000e+00,1.894096329823504506e-03
-2.929687500000000000e+00,2.621174071042260603e-03
-2.685546875000000000e+00,2.824241548714547662e-03
-2.441406250000000000e+00,3.469810675836722345e-03
-2.197265625000000000e+00,4.722027290658028197e-03
-1.953125000000000000e+00,5.086784659727731223e-03
-1.708984375000000000e+00,5.513089072650244858e-03
-1.464843750000000000e+00,6.960519173508303292e-03
-1.220703125000000000e+00,7.484502052739645632e-03
-9.765625000000000000e-01,7.627979242574082358e-03
-7.324218750000000000e-01,8.645697272514905538e-03
-4.882812500000000000e-01,9.010254763051214755e-03
-2.441406250000000000e-01,3.841623751687017058e-02
0.000000000000000000e+00,5.193654945209407597e-02
2.441406250000000000e-01,3.841623751687016364e-02
4.882812500000000000e-01,9.010254763051213020e-03
7.324218750000000000e-01,8.645697272514905538e-03
9.765625000000000000e-01,7.627979242574082358e-03
1.220703125000000000e+00,7.484502052739645632e-03
1.464843750000000000e+00,6.960519173508303292e-03
1.708984375000000000e+00,5.513089072650245726e-03
1.953125000000000000e+00,5.086784659727731223e-03
2.197265625000000000e+00,4.722027290658029064e-03
2.441406250000000000e+00,3.469810675836721911e-03
2.685546875000000000e+00,2.824241548714547662e-03
2.929687500000000000e+00,2.621174071042260603e-03
3.173828125000000000e+00,1.894096329823504940e-03
3.417968750000000000e+00,1.302410191279626409e-03
3.662109375000000000e+00,1.151982733821779129e-03
3.906250000000000000e+00,8.622930362419104931e-04
4.150390625000000000e+00,5.239827401722419505e-04
4.394531250000000000e+00,3.923160152327472222e-04
4.638671875000000000e+00,3.070896416886588877e-04
