t,E_sum_sq,rel_drift
0.000000000000000000e+00,3.381444179123350158e-01,9.006360253860415041e-03
2.000000000000000042e-03,3.366872633578228413e-01,4.658282522892699326e-03
4.000000000000000083e-03,3.351261510653508191e-01,0.000000000000000000e+00
6.000000000000000125e-03,3.334628515650289726e-01,-4.963204139797186554e-03
8.000000000000000167e-03,3.316992490046397069e-01,-1.022570769191585328e-02
1.000000000000000021e-02,3.298373385595037566e-01,-1.578155715104347448e-02
1.200000000000000025e-02,3.278792236921104775e-01,-2.162447588826681838e-02
1.400000000000000029e-02,3.258271132657232227e-01,-2.774787276393196264e-02
1.600000000000000033e-02,3.236833185163878746e-01,-3.414485116302234252e-02
1.800000000000000211e-02,3.214502498879889258e-01,-4.080821843919617969e-02
2.000000000000000042e-02,3.191304137352046766e-01,-4.773049575300650216e-02
2.199999999999999872e-02,3.167264088994080629e-01,-5.490392828924514634e-02
2.400000000000000050e-02,3.142409231627548705e-01,-6.232049583776962109e-02
2.600000000000000228e-02,3.116767295858785536e-01,-6.997192372164219576e-02
2.800000000000000058e-02,3.090366827347858503e-01,-7.784969405588830493e-02
2.999999999999999889e-02,3.063237148027102008e-01,-8.594505731969583062e-02
3.200000000000000067e-02,3.035408316328350731e-01,-9.424904422441354734e-02
3.400000000000000244e-02,3.006911086479420736e-01,-1.027524778592816684e-01
3.600000000000000422e-02,2.977776866931748367e-01,-1.114459860964204380e-01
3.799999999999999906e-02,2.948037677982339733e-01,-1.203200142362325920e-01
4.000000000000000083e-02,2.917726108654312700e-01,-1.293648378740382132e-01
4.200000000000000261e-02,2.886875272901368583e-01,-1.385705759684455751e-01
4.399999999999999745e-02,2.855518765202448295e-01,-1.479272040916879138e-01
4.599999999999999922e-02,2.823690615613645427e-01,-1.574245678419123051e-01
4.800000000000000100e-02,2.791425244345187018e-01,-1.670523963971856929e-01
5.000000000000000278e-02,2.758757415931856749e-01,-1.768003161908158483e-01
5.200000000000000455e-02,2.725722193065770460e-01,-1.866578646874249015e-01
5.399999999999999939e-02,2.692354890160756908e-01,-1.966145042391102826e-01
5.600000000000000117e-02,2.658691026717888706e-01,-2.066596360009415323e-01
5.800000000000000294e-02,2.624766280561853238e-01,-2.167826138849981155e-01
5.999999999999999778e-02,2.590616441017901117e-01,-2.269727585321381080e-01
6.199999999999999956e-02,2.556277362099040884e-01,-2.372193712807099120e-01
6.400000000000000133e-02,2.521784915772958824e-01,-2.475117481114741114e-01
6.600000000000000311e-02,2.487174945377866320e-01,-2.578391935480862651e-01
6.800000000000000488e-02,2.452483219256051394e-01,-2.681910344926176082e-01
7.000000000000000666e-02,2.417745384673425368e-01,-2.785566339757364340e-01
7.200000000000000844e-02,2.382996922092700531e-01,-2.889254048013676357e-01
7.399999999999999634e-02,2.348273099867125013e-01,-2.992868230658600193e-01
7.599999999999999811e-02,2.313608929420862825e-01,-3.096304415319410253e-01
7.799999999999999989e-02,2.279039120981153910e-01,-3.199459028380232106e-01
8.000000000000000167e-02,2.244598039926352928e-01,-3.302229525237354024e-01
8.200000000000000344e-02,2.210319663812789215e-01,-3.404514518528967693e-01
8.400000000000000522e-02,2.176237540142165749e-01,-3.506213904155180416e-01
8.600000000000000699e-02,2.142384744929837770e-01,-3.607228984908238401e-01
8.799999999999999489e-02,2.108793842132913321e-01,-3.707462591537086793e-01
8.999999999999999667e-02,2.075496843995562335e-01,-3.806819201075021808e-01
9.199999999999999845e-02,2.042525172367307684e-01,-3.905205052264011933e-01
9.400000000000000022e-02,2.009909621048387163e-01,-4.002528257914293452e-01
9.600000000000000200e-02,1.977680319214455140e-01,-4.098698914043266139e-01
9.800000000000000377e-02,1.945866695971057991e-01,-4.193629205643200075e-01
1.000000000000000056e-01,1.914497446086355359e-01,-4.287233508933113724e-01
1.020000000000000073e-01,1.883600496948542591e-01,-4.379428489956208592e-01
1.040000000000000091e-01,1.853202976792355794e-01,-4.470133199390415868e-01
1.059999999999999970e-01,1.823331184236874625e-01,-4.559269163446100781e-01
1.079999999999999988e-01,1.794010559174627484e-01,-4.646760470731545745e-01
1.100000000000000006e-01,1.765265655049736426e-01,-4.732533854973606235e-01
1.120000000000000023e-01,1.737120112560501251e-01,-4.816518773487908356e-01
1.140000000000000041e-01,1.709596634819451344e-01,-4.898647481300038020e-01
1.160000000000000059e-01,1.682716964001459981e-01,-4.978855100826422575e-01
1.180000000000000077e-01,1.656501859508067165e-01,-5.057079687030919812e-01
1.199999999999999956e-01,1.630971077673623038e-01,-5.133262287980689953e-01
1.219999999999999973e-01,1.606143353036356691e-01,-5.207347000732410747e-01
1.239999999999999991e-01,1.582036381194879548e-01,-5.279281022487628539e-01
1.260000000000000009e-01,1.558666803268060619e-01,-5.349014696963726445e-01
1.280000000000000027e-01,1.536050191973584167e-01,-5.416501555934831735e-01
1.300000000000000044e-01,1.514201039337873533e-01,-5.481698355904792708e-01
1.320000000000000062e-01,1.493132746047427795e-01,-5.544565109882273468e-01
1.340000000000000080e-01,1.472857612448964515e-01,-5.605065114235886492e-01
1.360000000000000098e-01,1.453386831203110907e-01,-5.663164970615214289e-01
1.380000000000000115e-01,1.434730481593739504e-01,-5.718834602931474054e-01
1.400000000000000133e-01,1.416897525492398502e-01,-5.772047269399461777e-01
1.420000000000000151e-01,1.399895804974652935e-01,-5.822779569650271547e-01
1.440000000000000169e-01,1.383732041582539929e-01,-5.871011446932091760e-01
1.459999999999999909e-01,1.368411837224737526e-01,-5.916726185424150408e-01
1.479999999999999927e-01,1.353939676703474759e-01,-5.959910402696531051e-01
1.499999999999999944e-01,1.340318931854667384e-01,-6.000554037356218284e-01
1.519999999999999962e-01,1.327551867285237108e-01,-6.038650331927215564e-01
1.539999999999999980e-01,1.315639647689114955e-01,-6.074195811019951208e-01
1.559999999999999998e-01,1.304582346720969122e-01,-6.107190254852505884e-01
1.580000000000000016e-01,1.294378957404318242e-01,-6.137636668193316991e-01
1.600000000000000033e-01,1.285027404048343647e-01,-6.165541244801995280e-01
1.620000000000000051e-01,1.276524555645421055e-01,-6.190913327451744719e-01
1.640000000000000069e-01,1.268866240719145611e-01,-6.213765363623586779e-01
1.660000000000000087e-01,1.262047263590470592e-01,-6.234112856968996308e-01
1.680000000000000104e-01,1.256061422027428820e-01,-6.251974314644003217e-01
1.700000000000000122e-01,1.250901526241898210e-01,-6.267371190623772792e-01
1.720000000000000140e-01,1.246559419194858409e-01,-6.280327825112714812e-01
1.740000000000000158e-01,1.243025998169698387e-01,-6.290871380170794946e-01
1.759999999999999898e-01,1.240291237571303357e-01,-6.299031771682175318e-01
1.779999999999999916e-01,1.238344212906882930e-01,-6.304841597797596897e-01
1.799999999999999933e-01,1.237173125902851223e-01,-6.308336063986847986e-01
1.819999999999999951e-01,1.236765330710460492e-01,-6.309552904842431476e-01
1.839999999999999969e-01,1.237107361151406903e-01,-6.308532302780016643e-01
1.859999999999999987e-01,1.238184958953198467e-01,-6.305316803785485646e-01
1.880000000000000004e-01,1.239983102922765090e-01,-6.299951230362312860e-01
1.900000000000000022e-01,1.242486039005543524e-01,-6.292482591836724426e-01
1.920000000000000040e-01,1.245677311176154323e-01,-6.282959992181443853e-01
1.940000000000000058e-01,1.249539793105724633e-01,-6.271434535521939191e-01
1.960000000000000075e-01,1.254055720549982211e-01,-6.257959229491950603e-01
1.980000000000000093e-01,1.259206724401392974e-01,-6.242588886607529641e-01
2.000000000000000111e-01,1.264973864347868626e-01,-6.225380023831103005e-01
2.020000000000000129e-01,1.271337663079924185e-01,-6.206390760498995407e-01
2.040000000000000147e-01,1.278278140987620382e-01,-6.185680714787454848e-01
2.060000000000000164e-01,1.285774851288181697e-01,-6.163310898893560319e-01
2.080000000000000182e-01,1.293806915524835510e-01,-6.139343613108431130e-01
2.099999999999999922e-01,1.302353059377183153e-01,-6.113842338960830958e-01
2.119999999999999940e-01,1.311391648723266856e-01,-6.086871631609731548e-01
2.139999999999999958e-01,1.320900725893466854e-01,-6.058497011664463194e-01
2.159999999999999976e-01,1.330858046056422883e-01,-6.028784856610904797e-01
2.179999999999999993e-01,1.341241113677343888e-01,-5.997802292021677806e-01
2.200000000000000011e-01,1.352027218989330926e-01,-5.965617082727511233e-01
2.220000000000000029e-01,1.363193474418701312e-01,-5.932297524125851318e-01
2.240000000000000047e-01,1.374716850905777221e-01,-5.897912333801421658e-01
2.260000000000000064e-01,1.386574214063141519e-01,-5.862530543631748747e-01
2.280000000000000082e-01,1.398742360114042516e-01,-5.826221392548733835e-01
2.300000000000000100e-01,1.411198051554355681e-01,-5.789054220125104955e-01
2.320000000000000118e-01,1.423918052482373020e-01,-5.751098361152054972e-01
2.340000000000000135e-01,1.436879163541604776e-01,-5.712423041371641474e-01
2.360000000000000153e-01,1.450058256422818159e-01,-5.673097274524387945e-01
2.380000000000000171e-01,1.463432307872622462e-01,-5.633189760869339313e-01
2.399999999999999911e-01,1.476978433157120629e-01,-5.592768787330164582e-01
2.419999999999999929e-01,1.490673918930414121e-01,-5.551902129417147780e-01
2.439999999999999947e-01,1.504496255459087384e-01,-5.510656955070912799e-01
2.459999999999999964e-01,1.518423168155246250e-01,-5.469099730569375595e-01
2.479999999999999982e-01,1.532432648372169526e-01,-5.427296128635036299e-01
2.500000000000000000e-01,1.546502983418215071e-01,-5.385310938874950937e-01
2.520000000000000018e-01,1.560612785746248177e-01,-5.343207980680914071e-01
2.540000000000000036e-01,1.574741021277580866e-01,-5.301050018712205603e-01
2.560000000000000053e-01,1.588867036821156598e-01,-5.258898681078094661e-01
2.580000000000000071e-01,1.602970586550551690e-01,-5.216814380331761258e-01
2.600000000000000089e-01,1.617031857503226921e-01,-5.174856237381785240e-01
2.620000000000000107e-01,1.631031494068398979e-01,-5.133082008421533393e-01
2.640000000000000124e-01,1.644950621431872650e-01,-5.091548014970931346e-01
2.660000000000000142e-01,1.658770867948188843e-01,-5.050309077119073953e-01
2.680000000000000160e-01,1.672474386412495517e-01,-5.009418450050002747e-01
2.700000000000000178e-01,1.686043874206652471e-01,-4.968927763927716290e-01
2.720000000000000195e-01,1.699462592296193397e-01,-4.928886967210171499e-01
2.740000000000000213e-01,1.712714383056921641e-01,-4.889344273455591416e-01
2.760000000000000231e-01,1.725783686912098214e-01,-4.850346111677915073e-01
2.780000000000000249e-01,1.738655557763367776e-01,-4.811937080301669223e-01
2.800000000000000266e-01,1.751315677200785126e-01,-4.774159904759947559e-01
2.820000000000000284e-01,1.763750367479529069e-01,-4.737055398772531678e-01
2.840000000000000302e-01,1.775946603253116540e-01,-4.700662429334556691e-01
2.860000000000000320e-01,1.787892022055175278e-01,-4.665017885439415313e-01
2.880000000000000338e-01,1.799574933524059062e-01,-4.630156650552957331e-01
2.899999999999999800e-01,1.810984327366834401e-01,-4.596111578849345625e-01
2.919999999999999818e-01,1.822109880061376641e-01,-4.562913475212327929e-01
2.939999999999999836e-01,1.832941960297543860e-01,-4.530591078999043897e-01
2.959999999999999853e-01,1.843471633160582157e-01,-4.499171051556944967e-01
2.979999999999999871e-01,1.853690663062098065e-01,-4.468677967477919788e-01
2.999999999999999889e-01,1.863591515426091805e-01,-4.439134309567250858e-01
3.019999999999999907e-01,1.873167357139667866e-01,-4.410560467498719772e-01
3.039999999999999925e-01,1.882412055780144644e-01,-4.382974740120870183e-01
3.059999999999999942e-01,1.891320177632341282e-01,-4.356393341373329675e-01
3.079999999999999960e-01,1.899886984511852672e-01,-4.330830409765999423e-01
3.099999999999999978e-01,1.908108429412102569e-01,-4.306298021368035744e-01
3.119999999999999996e-01,1.915981150994915949e-01,-4.282806206247710690e-01
3.140000000000000013e-01,1.923502466946228062e-01,-4.260362968298651021e-01
3.160000000000000031e-01,1.930670366220414436e-01,-4.238974308382377765e-01
