t,projection
0.00000000,4.9902377584e-01
0.00125000,4.9841397607e-01
0.00250000,4.9657586086e-01
0.00375000,4.9351396016e-01
0.00500000,4.8923581986e-01
0.00625000,4.8375198322e-01
0.00750000,4.7707596487e-01
0.00875000,4.6922421751e-01
0.01000000,4.6021609136e-01
0.01125000,4.5007378649e-01
0.01250000,4.3882229809e-01
0.01375000,4.2648935485e-01
0.01500000,4.1310535068e-01
0.01625000,3.9870326978e-01
0.01750000,3.8331860531e-01
0.01875000,3.6698927199e-01
0.02000000,3.4975551261e-01
0.02125000,3.3165979888e-01
0.02250000,3.1274672676e-01
0.02375000,2.9306290653e-01
0.02500000,2.7265684793e-01
0.02625000,2.5157884066e-01
0.02750000,2.2988083036e-01
0.02875000,2.0761629066e-01
0.03000000,1.8484009137e-01
0.03125000,1.6160836324e-01
0.03250000,1.3797835967e-01
0.03375000,1.1400831557e-01
0.03500000,8.9757303892e-02
0.03625000,6.5285089982e-02
0.03750000,4.0651984349e-02
0.03875000,1.5918694006e-02
0.04000000,-8.8538271348e-03
0.04125000,-3.3604528477e-02
0.04250000,-5.8272413198e-02
0.04375000,-8.2796688575e-02
0.04500000,-1.0711691580e-01
0.04625000,-1.3117315894e-01
0.04750000,-1.5490613261e-01
0.04875000,-1.7825734815e-01
0.05000000,-2.0116925768e-01
0.05125000,-2.2358539599e-01
0.05250000,-2.4545051968e-01
0.05375000,-2.6671074327e-01
0.05500000,-2.8731367204e-01
0.05625000,-3.0720853115e-01
0.05750000,-3.2634629075e-01
0.05875000,-3.4467978681e-01
0.06000000,-3.6216383739e-01
0.06125000,-3.7875535394e-01
0.06250000,-3.9441344754e-01
0.06375000,-4.0909952962e-01
0.06500000,-4.2277740710e-01
0.06625000,-4.3541337155e-01
0.06750000,-4.4697628230e-01
0.06875000,-4.5743764315e-01
0.07000000,-4.6677167261e-01
0.07125000,-4.7495536746e-01
0.07250000,-4.8196855940e-01
0.07375000,-4.8779396479e-01
0.07500000,-4.9241722721e-01
0.07625000,-4.9582695288e-01
0.07750000,-4.9801473870e-01
0.07875000,-4.9897519299e-01
0.08000000,-4.9870594875e-01
0.08125000,-4.9720766953e-01
0.08250000,-4.9448404776e-01
0.08375000,-4.9054179566e-01
0.08500000,-4.8539062870e-01
0.08625000,-4.7904324168e-01
0.08750000,-4.7151527740e-01
0.08875000,-4.6282528813e-01
0.09000000,-4.5299468991e-01
0.09125000,-4.4204770974e-01
0.09250000,-4.3001132588e-01
0.09375000,-4.1691520137e-01
0.09500000,-4.0279161095e-01
0.09625000,-3.8767536145e-01
0.09750000,-3.7160370610e-01
0.09875000,-3.5461625267e-01
0.10000000,-3.3675486584e-01
0.10125000,-3.1806356409e-01
0.10250000,-2.9858841115e-01
0.10375000,-2.7837740254e-01
0.10500000,-2.5748034724e-01
0.10625000,-2.3594874495e-01
0.10750000,-2.1383565920e-01
0.10875000,-1.9119558654e-01
0.11000000,-1.6808432226e-01
0.11125000,-1.4455882288e-01
0.11250000,-1.2067706576e-01
0.11375000,-9.6497906259e-02
0.11500000,-7.2080932668e-02
0.11625000,-4.7486319351e-02
0.11750000,-2.2774678460e-02
0.11875000,1.9930894477e-03
0.12000000,2.6755945489e-02
0.12125000,5.1452862889e-02
0.12250000,7.6022977373e-02
0.12375000,1.0040573717e-01
0.12500000,1.2454105222e-01
0.12625000,1.4836944230e-01
0.12750000,1.7183218357e-01
0.12875000,1.9487145333e-01
0.13000000,2.1743047248e-01
0.13125000,2.3945364549e-01
0.13250000,2.6088669739e-01
0.13375000,2.8167680753e-01
0.13500000,3.0177273978e-01
0.13625000,3.2112496873e-01
0.13750000,3.3968580183e-01
0.13875000,3.5740949685e-01
0.14000000,3.7425237469e-01
0.14125000,3.9017292693e-01
0.14250000,4.0513191819e-01
0.14375000,4.1909248282e-01
0.14500000,4.3202021574e-01
0.14625000,4.4388325720e-01
0.14750000,4.5465237136e-01
0.14875000,4.6430101830e-01
0.15000000,4.7280541943e-01
0.15125000,4.8014461608e-01
0.15250000,4.8630052119e-01
0.15375000,4.9125796385e-01
0.15500000,4.9500472670e-01
0.15625000,4.9753157604e-01
0.15750000,4.9883228457e-01
0.15875000,4.9890364677e-01
0.16000000,4.9774548677e-01
0.16125000,4.9536065879e-01
0.16250000,4.9175504013e-01
0.16375000,4.8693751663e-01
0.16500000,4.8091996084e-01
0.16625000,4.7371720271e-01
0.16750000,4.6534699307e-01
0.16875000,4.5582995986e-01
