step,time,x_pos,correlation,inside_lightcone,lightcone_radius
10,0.100000,6.400000,3.2340838391e-177,False,0.100000
10,0.100000,12.800000,0.0000000000e+00,False,0.100000
10,0.100000,19.200000,0.0000000000e+00,False,0.100000
20,0.200000,6.400000,4.5362043938e-145,False,0.200000
20,0.200000,12.800000,0.0000000000e+00,False,0.200000
20,0.200000,19.200000,0.0000000000e+00,False,0.200000
30,0.300000,6.400000,2.5281374183e-123,False,0.300000
30,0.300000,12.800000,0.0000000000e+00,False,0.300000
30,0.300000,19.200000,0.0000000000e+00,False,0.300000
40,0.400000,6.400000,1.9004080956e-109,False,0.400000
40,0.400000,12.800000,0.0000000000e+00,False,0.400000
40,0.400000,19.200000,0.0000000000e+00,False,0.400000
50,0.500000,6.400000,1.1573074577e-99,False,0.500000
50,0.500000,12.800000,0.0000000000e+00,False,0.500000
50,0.500000,19.200000,0.0000000000e+00,False,0.500000
60,0.600000,6.400000,5.3480382542e-92,False,0.600000
60,0.600000,12.800000,0.0000000000e+00,False,0.600000
60,0.600000,19.200000,0.0000000000e+00,False,0.600000
70,0.700000,6.400000,1.2517279334e-85,False,0.700000
70,0.700000,12.800000,4.2242612719e-321,False,0.700000
70,0.700000,19.200000,1.2859887420e-119,False,0.700000
80,0.800000,6.400000,3.7988168273e-80,False,0.800000
80,0.800000,12.800000,1.3428025480e-284,False,0.800000
80,0.800000,19.200000,4.8415805770e-109,False,0.800000
90,0.900000,6.400000,2.5624942114e-75,False,0.900000
90,0.900000,12.800000,1.7845277766e-258,False,0.900000
90,0.900000,19.200000,8.2299190110e-101,False,0.900000
100,1.000000,6.400000,5.4038580443e-71,False,1.000000
100,1.000000,12.800000,2.1989810251e-240,False,1.000000
100,1.000000,19.200000,6.3480515616e-94,False,1.000000
110,1.100000,6.400000,4.4901539423e-67,False,1.100000
110,1.100000,12.800000,9.2917838084e-227,False,1.100000
110,1.100000,19.200000,5.9354457483e-88,False,1.100000
120,1.200000,6.400000,1.7339578876e-63,False,1.200000
120,1.200000,12.800000,1.3754603236e-215,False,1.200000
120,1.200000,19.200000,1.1584074131e-82,False,1.200000
130,1.300000,6.400000,3.5173490381e-60,False,1.300000
130,1.300000,12.800000,5.5373658219e-206,False,1.300000
130,1.300000,19.200000,6.6449380251e-78,False,1.300000
140,1.400000,6.400000,4.1157805848e-57,False,1.400000
140,1.400000,12.800000,1.7328317795e-197,False,1.400000
140,1.400000,19.200000,1.4147715171e-73,False,1.400000
150,1.500000,6.400000,2.9895884801e-54,False,1.500000
150,1.500000,12.800000,7.8262652655e-190,False,1.500000
150,1.500000,19.200000,1.3225549581e-69,False,1.500000
160,1.600000,6.400000,1.4294660310e-51,False,1.600000
160,1.600000,12.800000,7.6220580192e-183,False,1.600000
160,1.600000,19.200000,6.1565627017e-66,False,1.600000
170,1.700000,6.400000,4.7191846700e-49,False,1.700000
170,1.700000,12.800000,2.1151563449e-176,False,1.700000
170,1.700000,19.200000,1.5728241196e-62,False,1.700000
180,1.800000,6.400000,1.1189175431e-46,False,1.800000
180,1.800000,12.800000,2.0493220971e-170,False,1.800000
180,1.800000,19.200000,2.3814637599e-59,False,1.800000
190,1.900000,6.400000,1.9690831141e-44,False,1.900000
190,1.900000,12.800000,8.0846263626e-165,False,1.900000
190,1.900000,19.200000,2.2739646621e-56,False,1.900000
